context: Brother! response:	You're here again?
context: Brother!\You're here again? response:	Yurikano,
context: Brother!\You're here again?\Yurikano, response:	I promise you.
context: Brother!\You're here again?\Yurikano,\I promise you. response:	I will settle this war through negotiation,
context: Brother!\You're here again?\Yurikano,\I promise you.\I will settle this war through negotiation, response:	and show the people in the Polyhedron federation,
context: Brother!\You're here again?\Yurikano,\I promise you.\I will settle this war through negotiation,\and show the people in the Polyhedron federation, response:	not to mention Dizelmine,
context: Brother!\You're here again?\Yurikano,\I promise you.\I will settle this war through negotiation,\and show the people in the Polyhedron federation,\not to mention Dizelmine, response:	the beauty of this ocean once again.
context: Brother!\You're here again?\Yurikano,\I promise you.\I will settle this war through negotiation,\and show the people in the Polyhedron federation,\not to mention Dizelmine,\the beauty of this ocean once again. response:	I'll pray for your success.
context: You're here again?\Yurikano,\I promise you.\I will settle this war through negotiation,\and show the people in the Polyhedron federation,\not to mention Dizelmine,\the beauty of this ocean once again.\I'll pray for your success. response:	I'm going.
context: Yurikano,\I promise you.\I will settle this war through negotiation,\and show the people in the Polyhedron federation,\not to mention Dizelmine,\the beauty of this ocean once again.\I'll pray for your success.\I'm going. response:	I don't get it.
context: I promise you.\I will settle this war through negotiation,\and show the people in the Polyhedron federation,\not to mention Dizelmine,\the beauty of this ocean once again.\I'll pray for your success.\I'm going.\I don't get it. response:	You don't know the word hideout?
context: I will settle this war through negotiation,\and show the people in the Polyhedron federation,\not to mention Dizelmine,\the beauty of this ocean once again.\I'll pray for your success.\I'm going.\I don't get it.\You don't know the word hideout? response:	That's not what I meant!
context: and show the people in the Polyhedron federation,\not to mention Dizelmine,\the beauty of this ocean once again.\I'll pray for your success.\I'm going.\I don't get it.\You don't know the word hideout?\That's not what I meant! response:	Why do we have to hang out in a place like this?
context: not to mention Dizelmine,\the beauty of this ocean once again.\I'll pray for your success.\I'm going.\I don't get it.\You don't know the word hideout?\That's not what I meant!\Why do we have to hang out in a place like this? response:	Very soon, the main Kiss troop will rendezvous with us.
context: the beauty of this ocean once again.\I'll pray for your success.\I'm going.\I don't get it.\You don't know the word hideout?\That's not what I meant!\Why do we have to hang out in a place like this?\Very soon, the main Kiss troop will rendezvous with us. response:	My ship's not gonna be able to hold all of us at once.
