context: Party is over response:	But I still wanna dance
context: Party is over\But I still wanna dance response:	I can't even sleep
context: Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	5 The story of the Moriko Song, part 1
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\5 The story of the Moriko Song, part 1 response:	Hey!
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\5 The story of the Moriko Song, part 1\Hey! response:	Hyakkimaru.
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\5 The story of the Moriko Song, part 1\Hey!\Hyakkimaru. response:	Hey.
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\5 The story of the Moriko Song, part 1\Hey!\Hyakkimaru.\Hey. response:	You okay?
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\5 The story of the Moriko Song, part 1\Hey!\Hyakkimaru.\Hey.\You okay? response:	Still too noisy for you, huh?
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\5 The story of the Moriko Song, part 1\Hey!\Hyakkimaru.\Hey.\You okay?\Still too noisy for you, huh? response:	But it's so quiet here it creeps me out.
context: Light it up, baby. I'm gonna burn it up, yeah\5 The story of the Moriko Song, part 1\Hey!\Hyakkimaru.\Hey.\You okay?\Still too noisy for you, huh?\But it's so quiet here it creeps me out. response:	Sound.
context: 5 The story of the Moriko Song, part 1\Hey!\Hyakkimaru.\Hey.\You okay?\Still too noisy for you, huh?\But it's so quiet here it creeps me out.\Sound. response:	It was the most shocking sense that Hyakkimaru had so far recovered.
context: Hey!\Hyakkimaru.\Hey.\You okay?\Still too noisy for you, huh?\But it's so quiet here it creeps me out.\Sound.\It was the most shocking sense that Hyakkimaru had so far recovered. response:	It reverberated relentlessly in his head.
context: Hyakkimaru.\Hey.\You okay?\Still too noisy for you, huh?\But it's so quiet here it creeps me out.\Sound.\It was the most shocking sense that Hyakkimaru had so far recovered.\It reverberated relentlessly in his head. response:	He knew not how to select which of the innumerable sounds to listen to.
context: Hey.\You okay?\Still too noisy for you, huh?\But it's so quiet here it creeps me out.\Sound.\It was the most shocking sense that Hyakkimaru had so far recovered.\It reverberated relentlessly in his head.\He knew not how to select which of the innumerable sounds to listen to. response:	Hyakkimaru drowned in the flood of sound.
context: You okay?\Still too noisy for you, huh?\But it's so quiet here it creeps me out.\Sound.\It was the most shocking sense that Hyakkimaru had so far recovered.\It reverberated relentlessly in his head.\He knew not how to select which of the innumerable sounds to listen to.\Hyakkimaru drowned in the flood of sound. response:	Hey, maybe we should give up on going after the next monster.
context: Still too noisy for you, huh?\But it's so quiet here it creeps me out.\Sound.\It was the most shocking sense that Hyakkimaru had so far recovered.\It reverberated relentlessly in his head.\He knew not how to select which of the innumerable sounds to listen to.\Hyakkimaru drowned in the flood of sound.\Hey, maybe we should give up on going after the next monster. response:	The reward is handsome, but you're just not fit for it.
context: But it's so quiet here it creeps me out.\Sound.\It was the most shocking sense that Hyakkimaru had so far recovered.\It reverberated relentlessly in his head.\He knew not how to select which of the innumerable sounds to listen to.\Hyakkimaru drowned in the flood of sound.\Hey, maybe we should give up on going after the next monster.\The reward is handsome, but you're just not fit for it. response:	Is something there?
context: Sound.\It was the most shocking sense that Hyakkimaru had so far recovered.\It reverberated relentlessly in his head.\He knew not how to select which of the innumerable sounds to listen to.\Hyakkimaru drowned in the flood of sound.\Hey, maybe we should give up on going after the next monster.\The reward is handsome, but you're just not fit for it.\Is something there? response:	The bird monster! It's huge!
context: It was the most shocking sense that Hyakkimaru had so far recovered.\It reverberated relentlessly in his head.\He knew not how to select which of the innumerable sounds to listen to.\Hyakkimaru drowned in the flood of sound.\Hey, maybe we should give up on going after the next monster.\The reward is handsome, but you're just not fit for it.\Is something there?\The bird monster! It's huge! response:	Hyakkimaru, don't worry about the sound!
context: It reverberated relentlessly in his head.\He knew not how to select which of the innumerable sounds to listen to.\Hyakkimaru drowned in the flood of sound.\Hey, maybe we should give up on going after the next monster.\The reward is handsome, but you're just not fit for it.\Is something there?\The bird monster! It's huge!\Hyakkimaru, don't worry about the sound! response:	Your left!
context: He knew not how to select which of the innumerable sounds to listen to.\Hyakkimaru drowned in the flood of sound.\Hey, maybe we should give up on going after the next monster.\The reward is handsome, but you're just not fit for it.\Is something there?\The bird monster! It's huge!\Hyakkimaru, don't worry about the sound!\Your left! response:	Watch out!
context: Hyakkimaru drowned in the flood of sound.\Hey, maybe we should give up on going after the next monster.\The reward is handsome, but you're just not fit for it.\Is something there?\The bird monster! It's huge!\Hyakkimaru, don't worry about the sound!\Your left!\Watch out! response:	Priest!
context: Hey, maybe we should give up on going after the next monster.\The reward is handsome, but you're just not fit for it.\Is something there?\The bird monster! It's huge!\Hyakkimaru, don't worry about the sound!\Your left!\Watch out!\Priest! response:	Oh, it was you two? What a coincidence.
context: The reward is handsome, but you're just not fit for it.\Is something there?\The bird monster! It's huge!\Hyakkimaru, don't worry about the sound!\Your left!\Watch out!\Priest!\Oh, it was you two? What a coincidence. response:	Hey, hey.
context: Is something there?\The bird monster! It's huge!\Hyakkimaru, don't worry about the sound!\Your left!\Watch out!\Priest!\Oh, it was you two? What a coincidence.\Hey, hey. response:	Come on, snap out of it.
context: The bird monster! It's huge!\Hyakkimaru, don't worry about the sound!\Your left!\Watch out!\Priest!\Oh, it was you two? What a coincidence.\Hey, hey.\Come on, snap out of it. response:	What's wrong with you?
context: Hyakkimaru, don't worry about the sound!\Your left!\Watch out!\Priest!\Oh, it was you two? What a coincidence.\Hey, hey.\Come on, snap out of it.\What's wrong with you? response:	Hey...
context: Your left!\Watch out!\Priest!\Oh, it was you two? What a coincidence.\Hey, hey.\Come on, snap out of it.\What's wrong with you?\Hey... response:	I see, his ears eh? Good for him.
context: Watch out!\Priest!\Oh, it was you two? What a coincidence.\Hey, hey.\Come on, snap out of it.\What's wrong with you?\Hey...\I see, his ears eh? Good for him. response:	It's not good.
context: Priest!\Oh, it was you two? What a coincidence.\Hey, hey.\Come on, snap out of it.\What's wrong with you?\Hey...\I see, his ears eh? Good for him.\It's not good. response:	He's gotten weaker now that he can hear.
context: Oh, it was you two? What a coincidence.\Hey, hey.\Come on, snap out of it.\What's wrong with you?\Hey...\I see, his ears eh? Good for him.\It's not good.\He's gotten weaker now that he can hear. response:	How so?
context: Hey, hey.\Come on, snap out of it.\What's wrong with you?\Hey...\I see, his ears eh? Good for him.\It's not good.\He's gotten weaker now that he can hear.\How so? response:	I mean, he got beat up by that ghoul that even you could kill.
context: Come on, snap out of it.\What's wrong with you?\Hey...\I see, his ears eh? Good for him.\It's not good.\He's gotten weaker now that he can hear.\How so?\I mean, he got beat up by that ghoul that even you could kill. response:	Well, thank you.
context: What's wrong with you?\Hey...\I see, his ears eh? Good for him.\It's not good.\He's gotten weaker now that he can hear.\How so?\I mean, he got beat up by that ghoul that even you could kill.\Well, thank you. response:	He'll be all right, won't he?
context: Hey...\I see, his ears eh? Good for him.\It's not good.\He's gotten weaker now that he can hear.\How so?\I mean, he got beat up by that ghoul that even you could kill.\Well, thank you.\He'll be all right, won't he? response:	He's gotten past the worst of it.
context: I see, his ears eh? Good for him.\It's not good.\He's gotten weaker now that he can hear.\How so?\I mean, he got beat up by that ghoul that even you could kill.\Well, thank you.\He'll be all right, won't he?\He's gotten past the worst of it. response:	We could use some medicine, if only we had any.
context: It's not good.\He's gotten weaker now that he can hear.\How so?\I mean, he got beat up by that ghoul that even you could kill.\Well, thank you.\He'll be all right, won't he?\He's gotten past the worst of it.\We could use some medicine, if only we had any. response:	I'll go run and find some.
context: He's gotten weaker now that he can hear.\How so?\I mean, he got beat up by that ghoul that even you could kill.\Well, thank you.\He'll be all right, won't he?\He's gotten past the worst of it.\We could use some medicine, if only we had any.\I'll go run and find some. response:	There's a big town across the river.
context: How so?\I mean, he got beat up by that ghoul that even you could kill.\Well, thank you.\He'll be all right, won't he?\He's gotten past the worst of it.\We could use some medicine, if only we had any.\I'll go run and find some.\There's a big town across the river. response:	You better not. I heard there's a war brewing. It's dangerous.
context: I mean, he got beat up by that ghoul that even you could kill.\Well, thank you.\He'll be all right, won't he?\He's gotten past the worst of it.\We could use some medicine, if only we had any.\I'll go run and find some.\There's a big town across the river.\You better not. I heard there's a war brewing. It's dangerous. response:	Seems like the Sakai clan, who rules this area, betrayed an ally.
context: Well, thank you.\He'll be all right, won't he?\He's gotten past the worst of it.\We could use some medicine, if only we had any.\I'll go run and find some.\There's a big town across the river.\You better not. I heard there's a war brewing. It's dangerous.\Seems like the Sakai clan, who rules this area, betrayed an ally. response:	The 2 armies have their swords drawn.
context: He'll be all right, won't he?\He's gotten past the worst of it.\We could use some medicine, if only we had any.\I'll go run and find some.\There's a big town across the river.\You better not. I heard there's a war brewing. It's dangerous.\Seems like the Sakai clan, who rules this area, betrayed an ally.\The 2 armies have their swords drawn. response:	For strangers like us to go near them now would be suicidal.
context: He's gotten past the worst of it.\We could use some medicine, if only we had any.\I'll go run and find some.\There's a big town across the river.\You better not. I heard there's a war brewing. It's dangerous.\Seems like the Sakai clan, who rules this area, betrayed an ally.\The 2 armies have their swords drawn.\For strangers like us to go near them now would be suicidal. response:	That's why I turned back and came across you two.
context: We could use some medicine, if only we had any.\I'll go run and find some.\There's a big town across the river.\You better not. I heard there's a war brewing. It's dangerous.\Seems like the Sakai clan, who rules this area, betrayed an ally.\The 2 armies have their swords drawn.\For strangers like us to go near them now would be suicidal.\That's why I turned back and came across you two. response:	Dang it, why do samurai like to fight so much?
context: I'll go run and find some.\There's a big town across the river.\You better not. I heard there's a war brewing. It's dangerous.\Seems like the Sakai clan, who rules this area, betrayed an ally.\The 2 armies have their swords drawn.\For strangers like us to go near them now would be suicidal.\That's why I turned back and came across you two.\Dang it, why do samurai like to fight so much? response:	Sorry, that was too loud, huh.
context: There's a big town across the river.\You better not. I heard there's a war brewing. It's dangerous.\Seems like the Sakai clan, who rules this area, betrayed an ally.\The 2 armies have their swords drawn.\For strangers like us to go near them now would be suicidal.\That's why I turned back and came across you two.\Dang it, why do samurai like to fight so much?\Sorry, that was too loud, huh. response:	Don't move, now. Your wounds will open up.
context: You better not. I heard there's a war brewing. It's dangerous.\Seems like the Sakai clan, who rules this area, betrayed an ally.\The 2 armies have their swords drawn.\For strangers like us to go near them now would be suicidal.\That's why I turned back and came across you two.\Dang it, why do samurai like to fight so much?\Sorry, that was too loud, huh.\Don't move, now. Your wounds will open up. response:	Dear, dear.
context: Seems like the Sakai clan, who rules this area, betrayed an ally.\The 2 armies have their swords drawn.\For strangers like us to go near them now would be suicidal.\That's why I turned back and came across you two.\Dang it, why do samurai like to fight so much?\Sorry, that was too loud, huh.\Don't move, now. Your wounds will open up.\Dear, dear. response:	You're like a wounded beast hiding in his cave.
context: The 2 armies have their swords drawn.\For strangers like us to go near them now would be suicidal.\That's why I turned back and came across you two.\Dang it, why do samurai like to fight so much?\Sorry, that was too loud, huh.\Don't move, now. Your wounds will open up.\Dear, dear.\You're like a wounded beast hiding in his cave. response:	Hear this? This is a human's voice.
context: For strangers like us to go near them now would be suicidal.\That's why I turned back and came across you two.\Dang it, why do samurai like to fight so much?\Sorry, that was too loud, huh.\Don't move, now. Your wounds will open up.\Dear, dear.\You're like a wounded beast hiding in his cave.\Hear this? This is a human's voice. response:	The other sounds are the creatures in the woods, the fire, and the wind.
context: That's why I turned back and came across you two.\Dang it, why do samurai like to fight so much?\Sorry, that was too loud, huh.\Don't move, now. Your wounds will open up.\Dear, dear.\You're like a wounded beast hiding in his cave.\Hear this? This is a human's voice.\The other sounds are the creatures in the woods, the fire, and the wind. response:	You have to get used to it.
context: Dang it, why do samurai like to fight so much?\Sorry, that was too loud, huh.\Don't move, now. Your wounds will open up.\Dear, dear.\You're like a wounded beast hiding in his cave.\Hear this? This is a human's voice.\The other sounds are the creatures in the woods, the fire, and the wind.\You have to get used to it. response:	To come out of your cave and live in this world.
context: Sorry, that was too loud, huh.\Don't move, now. Your wounds will open up.\Dear, dear.\You're like a wounded beast hiding in his cave.\Hear this? This is a human's voice.\The other sounds are the creatures in the woods, the fire, and the wind.\You have to get used to it.\To come out of your cave and live in this world. response:	Hyakkimaru.
context: Don't move, now. Your wounds will open up.\Dear, dear.\You're like a wounded beast hiding in his cave.\Hear this? This is a human's voice.\The other sounds are the creatures in the woods, the fire, and the wind.\You have to get used to it.\To come out of your cave and live in this world.\Hyakkimaru. response:	He's hurt. Don't force him like that.
context: Dear, dear.\You're like a wounded beast hiding in his cave.\Hear this? This is a human's voice.\The other sounds are the creatures in the woods, the fire, and the wind.\You have to get used to it.\To come out of your cave and live in this world.\Hyakkimaru.\He's hurt. Don't force him like that. response:	He needs time to get used to it.
context: You're like a wounded beast hiding in his cave.\Hear this? This is a human's voice.\The other sounds are the creatures in the woods, the fire, and the wind.\You have to get used to it.\To come out of your cave and live in this world.\Hyakkimaru.\He's hurt. Don't force him like that.\He needs time to get used to it. response:	What a gentle voice.
context: Hear this? This is a human's voice.\The other sounds are the creatures in the woods, the fire, and the wind.\You have to get used to it.\To come out of your cave and live in this world.\Hyakkimaru.\He's hurt. Don't force him like that.\He needs time to get used to it.\What a gentle voice. response:	You shouldn't get up yet.
context: The other sounds are the creatures in the woods, the fire, and the wind.\You have to get used to it.\To come out of your cave and live in this world.\Hyakkimaru.\He's hurt. Don't force him like that.\He needs time to get used to it.\What a gentle voice.\You shouldn't get up yet. response:	Dear, dear.
context: You have to get used to it.\To come out of your cave and live in this world.\Hyakkimaru.\He's hurt. Don't force him like that.\He needs time to get used to it.\What a gentle voice.\You shouldn't get up yet.\Dear, dear. response:	I can't eat this tough meat.
context: To come out of your cave and live in this world.\Hyakkimaru.\He's hurt. Don't force him like that.\He needs time to get used to it.\What a gentle voice.\You shouldn't get up yet.\Dear, dear.\I can't eat this tough meat. response:	Oh, the red flower
context: Hyakkimaru.\He's hurt. Don't force him like that.\He needs time to get used to it.\What a gentle voice.\You shouldn't get up yet.\Dear, dear.\I can't eat this tough meat.\Oh, the red flower response:	In her hair
context: He's hurt. Don't force him like that.\He needs time to get used to it.\What a gentle voice.\You shouldn't get up yet.\Dear, dear.\I can't eat this tough meat.\Oh, the red flower\In her hair response:	It blooms and sways
context: He needs time to get used to it.\What a gentle voice.\You shouldn't get up yet.\Dear, dear.\I can't eat this tough meat.\Oh, the red flower\In her hair\It blooms and sways response:	Like the sun...
context: What a gentle voice.\You shouldn't get up yet.\Dear, dear.\I can't eat this tough meat.\Oh, the red flower\In her hair\It blooms and sways\Like the sun... response:	Are you hurt? Are you okay?
context: You shouldn't get up yet.\Dear, dear.\I can't eat this tough meat.\Oh, the red flower\In her hair\It blooms and sways\Like the sun...\Are you hurt? Are you okay? response:	Oh, you can't see.
context: Dear, dear.\I can't eat this tough meat.\Oh, the red flower\In her hair\It blooms and sways\Like the sun...\Are you hurt? Are you okay?\Oh, you can't see. response:	See? I'm right here.
context: I can't eat this tough meat.\Oh, the red flower\In her hair\It blooms and sways\Like the sun...\Are you hurt? Are you okay?\Oh, you can't see.\See? I'm right here. response:	What's wrong?
context: Oh, the red flower\In her hair\It blooms and sways\Like the sun...\Are you hurt? Are you okay?\Oh, you can't see.\See? I'm right here.\What's wrong? response:	You must have a fever.
context: In her hair\It blooms and sways\Like the sun...\Are you hurt? Are you okay?\Oh, you can't see.\See? I'm right here.\What's wrong?\You must have a fever. response:	You shouldn't be in the water. Come.
context: It blooms and sways\Like the sun...\Are you hurt? Are you okay?\Oh, you can't see.\See? I'm right here.\What's wrong?\You must have a fever.\You shouldn't be in the water. Come. response:	Oh no, hang on there.
context: Like the sun...\Are you hurt? Are you okay?\Oh, you can't see.\See? I'm right here.\What's wrong?\You must have a fever.\You shouldn't be in the water. Come.\Oh no, hang on there. response:	Hey!
context: Are you hurt? Are you okay?\Oh, you can't see.\See? I'm right here.\What's wrong?\You must have a fever.\You shouldn't be in the water. Come.\Oh no, hang on there.\Hey! response:	I've never seen him so weak before.
context: Oh, you can't see.\See? I'm right here.\What's wrong?\You must have a fever.\You shouldn't be in the water. Come.\Oh no, hang on there.\Hey!\I've never seen him so weak before. response:	It must be because of his wounds.
context: See? I'm right here.\What's wrong?\You must have a fever.\You shouldn't be in the water. Come.\Oh no, hang on there.\Hey!\I've never seen him so weak before.\It must be because of his wounds. response:	But he's also regained many things from the demons.
