context: The blue sky! The sparkling sun! response:	Summer vacation is finally here for us girls!
context: The blue sky! The sparkling sun!\Summer vacation is finally here for us girls! response:	But... But how dare they interfere with our vacation?!
context: The blue sky! The sparkling sun!\Summer vacation is finally here for us girls!\But... But how dare they interfere with our vacation?! response:	How dare they steal summer away from these helpless young girls?!
context: The blue sky! The sparkling sun!\Summer vacation is finally here for us girls!\But... But how dare they interfere with our vacation?!\How dare they steal summer away from these helpless young girls?! response:	In the name of the moon, Sailor Moon will punish you!
context: The blue sky! The sparkling sun!\Summer vacation is finally here for us girls!\But... But how dare they interfere with our vacation?!\How dare they steal summer away from these helpless young girls?!\In the name of the moon, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: The blue sky! The sparkling sun!\Summer vacation is finally here for us girls!\But... But how dare they interfere with our vacation?!\How dare they steal summer away from these helpless young girls?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: The blue sky! The sparkling sun!\Summer vacation is finally here for us girls!\But... But how dare they interfere with our vacation?!\How dare they steal summer away from these helpless young girls?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: The blue sky! The sparkling sun!\Summer vacation is finally here for us girls!\But... But how dare they interfere with our vacation?!\How dare they steal summer away from these helpless young girls?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: Summer vacation is finally here for us girls!\But... But how dare they interfere with our vacation?!\How dare they steal summer away from these helpless young girls?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: But... But how dare they interfere with our vacation?!\How dare they steal summer away from these helpless young girls?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: How dare they steal summer away from these helpless young girls?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
