context: It's been six months since we parted company. response:	It looks like you've gotten a little better.
context: It's been six months since we parted company.\It looks like you've gotten a little better. response:	Now then, how about I start training you properly?
context: It's been six months since we parted company.\It looks like you've gotten a little better.\Now then, how about I start training you properly? response:	Come at me!
context: It's been six months since we parted company.\It looks like you've gotten a little better.\Now then, how about I start training you properly?\Come at me! response:	One more time!
context: It's been six months since we parted company.\It looks like you've gotten a little better.\Now then, how about I start training you properly?\Come at me!\One more time! response:	Over here!
context: It's been six months since we parted company.\It looks like you've gotten a little better.\Now then, how about I start training you properly?\Come at me!\One more time!\Over here! response:	Do not lose sight of your opponent!
context: It's been six months since we parted company.\It looks like you've gotten a little better.\Now then, how about I start training you properly?\Come at me!\One more time!\Over here!\Do not lose sight of your opponent! response:	I can't see anything that fast.
context: It's been six months since we parted company.\It looks like you've gotten a little better.\Now then, how about I start training you properly?\Come at me!\One more time!\Over here!\Do not lose sight of your opponent!\I can't see anything that fast. response:	You don't see it. You feel it.
context: It looks like you've gotten a little better.\Now then, how about I start training you properly?\Come at me!\One more time!\Over here!\Do not lose sight of your opponent!\I can't see anything that fast.\You don't see it. You feel it. response:	That's easy for you to say...
context: Now then, how about I start training you properly?\Come at me!\One more time!\Over here!\Do not lose sight of your opponent!\I can't see anything that fast.\You don't see it. You feel it.\That's easy for you to say... response:	If you've got enough time to whine, think about what you should do instead.
context: Come at me!\One more time!\Over here!\Do not lose sight of your opponent!\I can't see anything that fast.\You don't see it. You feel it.\That's easy for you to say...\If you've got enough time to whine, think about what you should do instead. response:	Then move.
context: One more time!\Over here!\Do not lose sight of your opponent!\I can't see anything that fast.\You don't see it. You feel it.\That's easy for you to say...\If you've got enough time to whine, think about what you should do instead.\Then move. response:	We've only got six more months!
context: Over here!\Do not lose sight of your opponent!\I can't see anything that fast.\You don't see it. You feel it.\That's easy for you to say...\If you've got enough time to whine, think about what you should do instead.\Then move.\We've only got six more months! response:	When you're not eating or sleeping, you will fight me!
context: Do not lose sight of your opponent!\I can't see anything that fast.\You don't see it. You feel it.\That's easy for you to say...\If you've got enough time to whine, think about what you should do instead.\Then move.\We've only got six more months!\When you're not eating or sleeping, you will fight me! response:	Set your mind straight!
context: I can't see anything that fast.\You don't see it. You feel it.\That's easy for you to say...\If you've got enough time to whine, think about what you should do instead.\Then move.\We've only got six more months!\When you're not eating or sleeping, you will fight me!\Set your mind straight! response:	You can't mean it. I'll die.
context: You don't see it. You feel it.\That's easy for you to say...\If you've got enough time to whine, think about what you should do instead.\Then move.\We've only got six more months!\When you're not eating or sleeping, you will fight me!\Set your mind straight!\You can't mean it. I'll die. response:	Then get stronger! Even stronger than me! And...
context: That's easy for you to say...\If you've got enough time to whine, think about what you should do instead.\Then move.\We've only got six more months!\When you're not eating or sleeping, you will fight me!\Set your mind straight!\You can't mean it. I'll die.\Then get stronger! Even stronger than me! And... response:	Now, come on!
context: If you've got enough time to whine, think about what you should do instead.\Then move.\We've only got six more months!\When you're not eating or sleeping, you will fight me!\Set your mind straight!\You can't mean it. I'll die.\Then get stronger! Even stronger than me! And...\Now, come on! response:	The end still ain't in sight?
context: Then move.\We've only got six more months!\When you're not eating or sleeping, you will fight me!\Set your mind straight!\You can't mean it. I'll die.\Then get stronger! Even stronger than me! And...\Now, come on!\The end still ain't in sight? response:	Pretty fired up.
context: We've only got six more months!\When you're not eating or sleeping, you will fight me!\Set your mind straight!\You can't mean it. I'll die.\Then get stronger! Even stronger than me! And...\Now, come on!\The end still ain't in sight?\Pretty fired up. response:	Kami- sama,
context: When you're not eating or sleeping, you will fight me!\Set your mind straight!\You can't mean it. I'll die.\Then get stronger! Even stronger than me! And...\Now, come on!\The end still ain't in sight?\Pretty fired up.\Kami- sama, response:	Just how long will it be until you train us?
context: Set your mind straight!\You can't mean it. I'll die.\Then get stronger! Even stronger than me! And...\Now, come on!\The end still ain't in sight?\Pretty fired up.\Kami- sama,\Just how long will it be until you train us? response:	Yeah...
context: You can't mean it. I'll die.\Then get stronger! Even stronger than me! And...\Now, come on!\The end still ain't in sight?\Pretty fired up.\Kami- sama,\Just how long will it be until you train us?\Yeah... response:	We've already been here for two months, and yet you haven't taught us anything.
context: Then get stronger! Even stronger than me! And...\Now, come on!\The end still ain't in sight?\Pretty fired up.\Kami- sama,\Just how long will it be until you train us?\Yeah...\We've already been here for two months, and yet you haven't taught us anything. response:	We want to get stronger, like Goku.
context: Now, come on!\The end still ain't in sight?\Pretty fired up.\Kami- sama,\Just how long will it be until you train us?\Yeah...\We've already been here for two months, and yet you haven't taught us anything.\We want to get stronger, like Goku. response:	Please give us the same special training that you gave Goku!
context: The end still ain't in sight?\Pretty fired up.\Kami- sama,\Just how long will it be until you train us?\Yeah...\We've already been here for two months, and yet you haven't taught us anything.\We want to get stronger, like Goku.\Please give us the same special training that you gave Goku! response:	Goku's special training, huh?
