context: No! response:	Komari-san...
context: No!\Komari-san... response:	Are you alright?
context: No!\Komari-san...\Are you alright? response:	Let's head back.
context: No!\Komari-san...\Are you alright?\Let's head back. response:	Oh, you're back, Riki!
context: No!\Komari-san...\Are you alright?\Let's head back.\Oh, you're back, Riki! response:	What's that you've got there?
context: No!\Komari-san...\Are you alright?\Let's head back.\Oh, you're back, Riki!\What's that you've got there? response:	A cat?
context: No!\Komari-san...\Are you alright?\Let's head back.\Oh, you're back, Riki!\What's that you've got there?\A cat? response:	Come on in.
context: No!\Komari-san...\Are you alright?\Let's head back.\Oh, you're back, Riki!\What's that you've got there?\A cat?\Come on in. response:	Huh? Komari?
context: Komari-san...\Are you alright?\Let's head back.\Oh, you're back, Riki!\What's that you've got there?\A cat?\Come on in.\Huh? Komari? response:	Hey, what happened to her?
context: Are you alright?\Let's head back.\Oh, you're back, Riki!\What's that you've got there?\A cat?\Come on in.\Huh? Komari?\Hey, what happened to her? response:	I don't know either.
context: Let's head back.\Oh, you're back, Riki!\What's that you've got there?\A cat?\Come on in.\Huh? Komari?\Hey, what happened to her?\I don't know either. response:	You're both completely soaked.
context: Oh, you're back, Riki!\What's that you've got there?\A cat?\Come on in.\Huh? Komari?\Hey, what happened to her?\I don't know either.\You're both completely soaked. response:	She'll catch a cold like this, right?
context: What's that you've got there?\A cat?\Come on in.\Huh? Komari?\Hey, what happened to her?\I don't know either.\You're both completely soaked.\She'll catch a cold like this, right? response:	Go take her to the showers.
context: A cat?\Come on in.\Huh? Komari?\Hey, what happened to her?\I don't know either.\You're both completely soaked.\She'll catch a cold like this, right?\Go take her to the showers. response:	I'll go bury him.
context: Come on in.\Huh? Komari?\Hey, what happened to her?\I don't know either.\You're both completely soaked.\She'll catch a cold like this, right?\Go take her to the showers.\I'll go bury him. response:	Whatever happened,
context: Huh? Komari?\Hey, what happened to her?\I don't know either.\You're both completely soaked.\She'll catch a cold like this, right?\Go take her to the showers.\I'll go bury him.\Whatever happened, response:	cheer her up.
context: Hey, what happened to her?\I don't know either.\You're both completely soaked.\She'll catch a cold like this, right?\Go take her to the showers.\I'll go bury him.\Whatever happened,\cheer her up. response:	Masato
context: I don't know either.\You're both completely soaked.\She'll catch a cold like this, right?\Go take her to the showers.\I'll go bury him.\Whatever happened,\cheer her up.\Masato response:	Thanks, Masato.
context: You're both completely soaked.\She'll catch a cold like this, right?\Go take her to the showers.\I'll go bury him.\Whatever happened,\cheer her up.\Masato\Thanks, Masato. response:	I remember.
context: She'll catch a cold like this, right?\Go take her to the showers.\I'll go bury him.\Whatever happened,\cheer her up.\Masato\Thanks, Masato.\I remember. response:	Everything.
context: Go take her to the showers.\I'll go bury him.\Whatever happened,\cheer her up.\Masato\Thanks, Masato.\I remember.\Everything. response:	What I lost.
context: I'll go bury him.\Whatever happened,\cheer her up.\Masato\Thanks, Masato.\I remember.\Everything.\What I lost. response:	hitori ga tsurai kara futatsu no te wo tsunaida
