context: I finally made it to the magic academy, Luna Nova! response:	You only told us about a hundred times last night.
context: I finally made it to the magic academy, Luna Nova!\You only told us about a hundred times last night. response:	I have no idea why it was in that forest,
context: I finally made it to the magic academy, Luna Nova!\You only told us about a hundred times last night.\I have no idea why it was in that forest, response:	but I'll keep it safe until I can give it back to Chariot one day.
context: I finally made it to the magic academy, Luna Nova!\You only told us about a hundred times last night.\I have no idea why it was in that forest,\but I'll keep it safe until I can give it back to Chariot one day. response:	Animate, Alcor!
context: I finally made it to the magic academy, Luna Nova!\You only told us about a hundred times last night.\I have no idea why it was in that forest,\but I'll keep it safe until I can give it back to Chariot one day.\Animate, Alcor! response:	Move, move, move, move, move, move, move, move!
context: I finally made it to the magic academy, Luna Nova!\You only told us about a hundred times last night.\I have no idea why it was in that forest,\but I'll keep it safe until I can give it back to Chariot one day.\Animate, Alcor!\Move, move, move, move, move, move, move, move! response:	Right, you came to Luna Nova for your deadly poison collection.
context: I finally made it to the magic academy, Luna Nova!\You only told us about a hundred times last night.\I have no idea why it was in that forest,\but I'll keep it safe until I can give it back to Chariot one day.\Animate, Alcor!\Move, move, move, move, move, move, move, move!\Right, you came to Luna Nova for your deadly poison collection. response:	Figured I could stay a bit longer.
context: I finally made it to the magic academy, Luna Nova!\You only told us about a hundred times last night.\I have no idea why it was in that forest,\but I'll keep it safe until I can give it back to Chariot one day.\Animate, Alcor!\Move, move, move, move, move, move, move, move!\Right, you came to Luna Nova for your deadly poison collection.\Figured I could stay a bit longer. response:	How's this? Or this?!
context: You only told us about a hundred times last night.\I have no idea why it was in that forest,\but I'll keep it safe until I can give it back to Chariot one day.\Animate, Alcor!\Move, move, move, move, move, move, move, move!\Right, you came to Luna Nova for your deadly poison collection.\Figured I could stay a bit longer.\How's this? Or this?! response:	Make my cheeks tear!
context: I have no idea why it was in that forest,\but I'll keep it safe until I can give it back to Chariot one day.\Animate, Alcor!\Move, move, move, move, move, move, move, move!\Right, you came to Luna Nova for your deadly poison collection.\Figured I could stay a bit longer.\How's this? Or this?!\Make my cheeks tear! response:	We wear that for school functions and practical lessons. This is for regular classes.
context: but I'll keep it safe until I can give it back to Chariot one day.\Animate, Alcor!\Move, move, move, move, move, move, move, move!\Right, you came to Luna Nova for your deadly poison collection.\Figured I could stay a bit longer.\How's this? Or this?!\Make my cheeks tear!\We wear that for school functions and practical lessons. This is for regular classes. response:	That one's for school functions and practical lessons. This is for regular classes.
context: Animate, Alcor!\Move, move, move, move, move, move, move, move!\Right, you came to Luna Nova for your deadly poison collection.\Figured I could stay a bit longer.\How's this? Or this?!\Make my cheeks tear!\We wear that for school functions and practical lessons. This is for regular classes.\That one's for school functions and practical lessons. This is for regular classes. response:	After that is foundational magic pharmaceutics and magic numerology.
context: Move, move, move, move, move, move, move, move!\Right, you came to Luna Nova for your deadly poison collection.\Figured I could stay a bit longer.\How's this? Or this?!\Make my cheeks tear!\We wear that for school functions and practical lessons. This is for regular classes.\That one's for school functions and practical lessons. This is for regular classes.\After that is foundational magic pharmaceutics and magic numerology. response:	Today I take my first step as a witch!
context: Right, you came to Luna Nova for your deadly poison collection.\Figured I could stay a bit longer.\How's this? Or this?!\Make my cheeks tear!\We wear that for school functions and practical lessons. This is for regular classes.\That one's for school functions and practical lessons. This is for regular classes.\After that is foundational magic pharmaceutics and magic numerology.\Today I take my first step as a witch! response:	Today we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.
context: Figured I could stay a bit longer.\How's this? Or this?!\Make my cheeks tear!\We wear that for school functions and practical lessons. This is for regular classes.\That one's for school functions and practical lessons. This is for regular classes.\After that is foundational magic pharmaceutics and magic numerology.\Today I take my first step as a witch!\Today we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term. response:	Please rectify yourself, Professor Ursula.
context: How's this? Or this?!\Make my cheeks tear!\We wear that for school functions and practical lessons. This is for regular classes.\That one's for school functions and practical lessons. This is for regular classes.\After that is foundational magic pharmaceutics and magic numerology.\Today I take my first step as a witch!\Today we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Please rectify yourself, Professor Ursula. response:	How are you to guide the students as you are?
context: Make my cheeks tear!\We wear that for school functions and practical lessons. This is for regular classes.\That one's for school functions and practical lessons. This is for regular classes.\After that is foundational magic pharmaceutics and magic numerology.\Today I take my first step as a witch!\Today we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Please rectify yourself, Professor Ursula.\How are you to guide the students as you are? response:	I simply want to tutor her about fundamental magic during my spare time,
context: We wear that for school functions and practical lessons. This is for regular classes.\That one's for school functions and practical lessons. This is for regular classes.\After that is foundational magic pharmaceutics and magic numerology.\Today I take my first step as a witch!\Today we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Please rectify yourself, Professor Ursula.\How are you to guide the students as you are?\I simply want to tutor her about fundamental magic during my spare time, response:	and make sure she feels comfortable here.
context: That one's for school functions and practical lessons. This is for regular classes.\After that is foundational magic pharmaceutics and magic numerology.\Today I take my first step as a witch!\Today we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Please rectify yourself, Professor Ursula.\How are you to guide the students as you are?\I simply want to tutor her about fundamental magic during my spare time,\and make sure she feels comfortable here. response:	All the while, it is your lack of dignity as a teacher that makes me feel lost about how to handle you.
context: After that is foundational magic pharmaceutics and magic numerology.\Today I take my first step as a witch!\Today we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Please rectify yourself, Professor Ursula.\How are you to guide the students as you are?\I simply want to tutor her about fundamental magic during my spare time,\and make sure she feels comfortable here.\All the while, it is your lack of dignity as a teacher that makes me feel lost about how to handle you. response:	And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.
context: Today I take my first step as a witch!\Today we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Please rectify yourself, Professor Ursula.\How are you to guide the students as you are?\I simply want to tutor her about fundamental magic during my spare time,\and make sure she feels comfortable here.\All the while, it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you. response:	It is a form of phonemic orthography.
context: Today we commence lessons for Luna Nova's one thousand five hundred ninety-eighth term.\Please rectify yourself, Professor Ursula.\How are you to guide the students as you are?\I simply want to tutor her about fundamental magic during my spare time,\and make sure she feels comfortable here.\All the while, it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\It is a form of phonemic orthography. response:	You are the first person able to read this that I have witnessed as a teacher.
context: Please rectify yourself, Professor Ursula.\How are you to guide the students as you are?\I simply want to tutor her about fundamental magic during my spare time,\and make sure she feels comfortable here.\All the while, it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\It is a form of phonemic orthography.\You are the first person able to read this that I have witnessed as a teacher. response:	Now please turn to line 102 on page 923 of your textbooks.
context: How are you to guide the students as you are?\I simply want to tutor her about fundamental magic during my spare time,\and make sure she feels comfortable here.\All the while, it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\And yet it is your lack of dignity as a teacher that makes me feel lost about how to handle you.\It is a form of phonemic orthography.\You are the first person able to read this that I have witnessed as a teacher.\Now please turn to line 102 on page 923 of your textbooks. response:	You won't be able to find anyone who respects Shiny Chariot's magic.
