context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	I bet I'll scare the pants off Happy with this!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I bet I'll scare the pants off Happy with this! response:	Even Erza might be surprised!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I bet I'll scare the pants off Happy with this!\Even Erza might be surprised! response:	Wait...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I bet I'll scare the pants off Happy with this!\Even Erza might be surprised!\Wait... response:	I bet Lucy's reaction would be the best of the bunch!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I bet I'll scare the pants off Happy with this!\Even Erza might be surprised!\Wait...\I bet Lucy's reaction would be the best of the bunch! response:	This is the end for you. Get it, Boy?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I bet I'll scare the pants off Happy with this!\Even Erza might be surprised!\Wait...\I bet Lucy's reaction would be the best of the bunch!\This is the end for you. Get it, Boy? response:	Damn it! My transmissions to Wally and Millianna are being intercepted!
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\I bet I'll scare the pants off Happy with this!\Even Erza might be surprised!\Wait...\I bet Lucy's reaction would be the best of the bunch!\This is the end for you. Get it, Boy?\Damn it! My transmissions to Wally and Millianna are being intercepted! response:	Now I don't have any idea where they are!
context: and sit back from the screen,'kay?\I bet I'll scare the pants off Happy with this!\Even Erza might be surprised!\Wait...\I bet Lucy's reaction would be the best of the bunch!\This is the end for you. Get it, Boy?\Damn it! My transmissions to Wally and Millianna are being intercepted!\Now I don't have any idea where they are! response:	Transmissions?
context: I bet I'll scare the pants off Happy with this!\Even Erza might be surprised!\Wait...\I bet Lucy's reaction would be the best of the bunch!\This is the end for you. Get it, Boy?\Damn it! My transmissions to Wally and Millianna are being intercepted!\Now I don't have any idea where they are!\Transmissions? response:	Telepathic Communication Magic, yes?
context: Even Erza might be surprised!\Wait...\I bet Lucy's reaction would be the best of the bunch!\This is the end for you. Get it, Boy?\Damn it! My transmissions to Wally and Millianna are being intercepted!\Now I don't have any idea where they are!\Transmissions?\Telepathic Communication Magic, yes? response:	Are you okay, Sho?
context: Wait...\I bet Lucy's reaction would be the best of the bunch!\This is the end for you. Get it, Boy?\Damn it! My transmissions to Wally and Millianna are being intercepted!\Now I don't have any idea where they are!\Transmissions?\Telepathic Communication Magic, yes?\Are you okay, Sho? response:	Yeah.
context: I bet Lucy's reaction would be the best of the bunch!\This is the end for you. Get it, Boy?\Damn it! My transmissions to Wally and Millianna are being intercepted!\Now I don't have any idea where they are!\Transmissions?\Telepathic Communication Magic, yes?\Are you okay, Sho?\Yeah. response:	Since you're here for me...
context: This is the end for you. Get it, Boy?\Damn it! My transmissions to Wally and Millianna are being intercepted!\Now I don't have any idea where they are!\Transmissions?\Telepathic Communication Magic, yes?\Are you okay, Sho?\Yeah.\Since you're here for me... response:	Heaven's Game!
context: Damn it! My transmissions to Wally and Millianna are being intercepted!\Now I don't have any idea where they are!\Transmissions?\Telepathic Communication Magic, yes?\Are you okay, Sho?\Yeah.\Since you're here for me...\Heaven's Game! response:	Hey, can we really trust him?
context: Now I don't have any idea where they are!\Transmissions?\Telepathic Communication Magic, yes?\Are you okay, Sho?\Yeah.\Since you're here for me...\Heaven's Game!\Hey, can we really trust him? response:	I accept that he wasn't trying to kill us, but...
context: Transmissions?\Telepathic Communication Magic, yes?\Are you okay, Sho?\Yeah.\Since you're here for me...\Heaven's Game!\Hey, can we really trust him?\I accept that he wasn't trying to kill us, but... response:	I have no intention of making excuses.
context: Telepathic Communication Magic, yes?\Are you okay, Sho?\Yeah.\Since you're here for me...\Heaven's Game!\Hey, can we really trust him?\I accept that he wasn't trying to kill us, but...\I have no intention of making excuses. response:	You heard me then?
context: Are you okay, Sho?\Yeah.\Since you're here for me...\Heaven's Game!\Hey, can we really trust him?\I accept that he wasn't trying to kill us, but...\I have no intention of making excuses.\You heard me then? response:	Any wizard that'd die from something like that would be no match for Jellal.
context: Yeah.\Since you're here for me...\Heaven's Game!\Hey, can we really trust him?\I accept that he wasn't trying to kill us, but...\I have no intention of making excuses.\You heard me then?\Any wizard that'd die from something like that would be no match for Jellal. response:	And I was confident that Natsu wouldn't die.
context: Since you're here for me...\Heaven's Game!\Hey, can we really trust him?\I accept that he wasn't trying to kill us, but...\I have no intention of making excuses.\You heard me then?\Any wizard that'd die from something like that would be no match for Jellal.\And I was confident that Natsu wouldn't die. response:	Uh, what about me, then?
context: Heaven's Game!\Hey, can we really trust him?\I accept that he wasn't trying to kill us, but...\I have no intention of making excuses.\You heard me then?\Any wizard that'd die from something like that would be no match for Jellal.\And I was confident that Natsu wouldn't die.\Uh, what about me, then? response:	You people haven't realized Natsu's true power.
context: Hey, can we really trust him?\I accept that he wasn't trying to kill us, but...\I have no intention of making excuses.\You heard me then?\Any wizard that'd die from something like that would be no match for Jellal.\And I was confident that Natsu wouldn't die.\Uh, what about me, then?\You people haven't realized Natsu's true power. response:	When Natsu obtains the true power of the dragon,
context: I accept that he wasn't trying to kill us, but...\I have no intention of making excuses.\You heard me then?\Any wizard that'd die from something like that would be no match for Jellal.\And I was confident that Natsu wouldn't die.\Uh, what about me, then?\You people haven't realized Natsu's true power.\When Natsu obtains the true power of the dragon, response:	he will destroy all evil before him!
context: I have no intention of making excuses.\You heard me then?\Any wizard that'd die from something like that would be no match for Jellal.\And I was confident that Natsu wouldn't die.\Uh, what about me, then?\You people haven't realized Natsu's true power.\When Natsu obtains the true power of the dragon,\he will destroy all evil before him! response:	I can't wipe around my mouth!
context: You heard me then?\Any wizard that'd die from something like that would be no match for Jellal.\And I was confident that Natsu wouldn't die.\Uh, what about me, then?\You people haven't realized Natsu's true power.\When Natsu obtains the true power of the dragon,\he will destroy all evil before him!\I can't wipe around my mouth! response:	Eww!
context: Any wizard that'd die from something like that would be no match for Jellal.\And I was confident that Natsu wouldn't die.\Uh, what about me, then?\You people haven't realized Natsu's true power.\When Natsu obtains the true power of the dragon,\he will destroy all evil before him!\I can't wipe around my mouth!\Eww! response:	Maybe I really should take this off...
context: And I was confident that Natsu wouldn't die.\Uh, what about me, then?\You people haven't realized Natsu's true power.\When Natsu obtains the true power of the dragon,\he will destroy all evil before him!\I can't wipe around my mouth!\Eww!\Maybe I really should take this off... response:	Wait, it won't come off!
context: Uh, what about me, then?\You people haven't realized Natsu's true power.\When Natsu obtains the true power of the dragon,\he will destroy all evil before him!\I can't wipe around my mouth!\Eww!\Maybe I really should take this off...\Wait, it won't come off! response:	Goodbye, Boy...
context: You people haven't realized Natsu's true power.\When Natsu obtains the true power of the dragon,\he will destroy all evil before him!\I can't wipe around my mouth!\Eww!\Maybe I really should take this off...\Wait, it won't come off!\Goodbye, Boy... response:	What?
context: When Natsu obtains the true power of the dragon,\he will destroy all evil before him!\I can't wipe around my mouth!\Eww!\Maybe I really should take this off...\Wait, it won't come off!\Goodbye, Boy...\What? response:	Don't!
context: he will destroy all evil before him!\I can't wipe around my mouth!\Eww!\Maybe I really should take this off...\Wait, it won't come off!\Goodbye, Boy...\What?\Don't! response:	Millianna?
context: I can't wipe around my mouth!\Eww!\Maybe I really should take this off...\Wait, it won't come off!\Goodbye, Boy...\What?\Don't!\Millianna? response:	It's the blockhead!
context: Eww!\Maybe I really should take this off...\Wait, it won't come off!\Goodbye, Boy...\What?\Don't!\Millianna?\It's the blockhead! response:	What are you doing?
context: Maybe I really should take this off...\Wait, it won't come off!\Goodbye, Boy...\What?\Don't!\Millianna?\It's the blockhead!\What are you doing? response:	No bullying kitty-cats!
context: Wait, it won't come off!\Goodbye, Boy...\What?\Don't!\Millianna?\It's the blockhead!\What are you doing?\No bullying kitty-cats! response:	That's not a cat! Just look at him!
context: Goodbye, Boy...\What?\Don't!\Millianna?\It's the blockhead!\What are you doing?\No bullying kitty-cats!\That's not a cat! Just look at him! response:	Why, you...
context: What?\Don't!\Millianna?\It's the blockhead!\What are you doing?\No bullying kitty-cats!\That's not a cat! Just look at him!\Why, you... response:	Out of the way, Millia!
context: Don't!\Millianna?\It's the blockhead!\What are you doing?\No bullying kitty-cats!\That's not a cat! Just look at him!\Why, you...\Out of the way, Millia! response:	He's an enemy, get it?
context: Millianna?\It's the blockhead!\What are you doing?\No bullying kitty-cats!\That's not a cat! Just look at him!\Why, you...\Out of the way, Millia!\He's an enemy, get it? response:	Take this!
context: It's the blockhead!\What are you doing?\No bullying kitty-cats!\That's not a cat! Just look at him!\Why, you...\Out of the way, Millia!\He's an enemy, get it?\Take this! response:	Cat Barrier!
context: What are you doing?\No bullying kitty-cats!\That's not a cat! Just look at him!\Why, you...\Out of the way, Millia!\He's an enemy, get it?\Take this!\Cat Barrier! response:	The kitty-cat!
context: No bullying kitty-cats!\That's not a cat! Just look at him!\Why, you...\Out of the way, Millia!\He's an enemy, get it?\Take this!\Cat Barrier!\The kitty-cat! response:	I told you, it's not a cat! It's an enemy!
context: That's not a cat! Just look at him!\Why, you...\Out of the way, Millia!\He's an enemy, get it?\Take this!\Cat Barrier!\The kitty-cat!\I told you, it's not a cat! It's an enemy! response:	An enemy? Even though it's a kitty-cat?
context: Why, you...\Out of the way, Millia!\He's an enemy, get it?\Take this!\Cat Barrier!\The kitty-cat!\I told you, it's not a cat! It's an enemy!\An enemy? Even though it's a kitty-cat? response:	There's a person inside!
context: Out of the way, Millia!\He's an enemy, get it?\Take this!\Cat Barrier!\The kitty-cat!\I told you, it's not a cat! It's an enemy!\An enemy? Even though it's a kitty-cat?\There's a person inside! response:	Cat Fire!
context: He's an enemy, get it?\Take this!\Cat Barrier!\The kitty-cat!\I told you, it's not a cat! It's an enemy!\An enemy? Even though it's a kitty-cat?\There's a person inside!\Cat Fire! response:	Not bad. I can see why Jellal said to watch out for you, Boy.
context: Take this!\Cat Barrier!\The kitty-cat!\I told you, it's not a cat! It's an enemy!\An enemy? Even though it's a kitty-cat?\There's a person inside!\Cat Fire!\Not bad. I can see why Jellal said to watch out for you, Boy. response:	Millia, back me up!
context: Cat Barrier!\The kitty-cat!\I told you, it's not a cat! It's an enemy!\An enemy? Even though it's a kitty-cat?\There's a person inside!\Cat Fire!\Not bad. I can see why Jellal said to watch out for you, Boy.\Millia, back me up! response:	Pretending to be a kitty cat when you're a person? That's totally un-spiffy!
context: The kitty-cat!\I told you, it's not a cat! It's an enemy!\An enemy? Even though it's a kitty-cat?\There's a person inside!\Cat Fire!\Not bad. I can see why Jellal said to watch out for you, Boy.\Millia, back me up!\Pretending to be a kitty cat when you're a person? That's totally un-spiffy! response:	You're one to talk!
context: I told you, it's not a cat! It's an enemy!\An enemy? Even though it's a kitty-cat?\There's a person inside!\Cat Fire!\Not bad. I can see why Jellal said to watch out for you, Boy.\Millia, back me up!\Pretending to be a kitty cat when you're a person? That's totally un-spiffy!\You're one to talk! response:	Cat-ch you tubes!
context: An enemy? Even though it's a kitty-cat?\There's a person inside!\Cat Fire!\Not bad. I can see why Jellal said to watch out for you, Boy.\Millia, back me up!\Pretending to be a kitty cat when you're a person? That's totally un-spiffy!\You're one to talk!\Cat-ch you tubes! response:	Excellent work, Millianna.
context: There's a person inside!\Cat Fire!\Not bad. I can see why Jellal said to watch out for you, Boy.\Millia, back me up!\Pretending to be a kitty cat when you're a person? That's totally un-spiffy!\You're one to talk!\Cat-ch you tubes!\Excellent work, Millianna. response:	Wally, get that impostor cat!
context: Cat Fire!\Not bad. I can see why Jellal said to watch out for you, Boy.\Millia, back me up!\Pretending to be a kitty cat when you're a person? That's totally un-spiffy!\You're one to talk!\Cat-ch you tubes!\Excellent work, Millianna.\Wally, get that impostor cat! response:	Just watch, Millia!
context: Not bad. I can see why Jellal said to watch out for you, Boy.\Millia, back me up!\Pretending to be a kitty cat when you're a person? That's totally un-spiffy!\You're one to talk!\Cat-ch you tubes!\Excellent work, Millianna.\Wally, get that impostor cat!\Just watch, Millia! response:	Cat Fire!
context: Millia, back me up!\Pretending to be a kitty cat when you're a person? That's totally un-spiffy!\You're one to talk!\Cat-ch you tubes!\Excellent work, Millianna.\Wally, get that impostor cat!\Just watch, Millia!\Cat Fire! response:	Huh?
context: Pretending to be a kitty cat when you're a person? That's totally un-spiffy!\You're one to talk!\Cat-ch you tubes!\Excellent work, Millianna.\Wally, get that impostor cat!\Just watch, Millia!\Cat Fire!\Huh? response:	What the...
context: You're one to talk!\Cat-ch you tubes!\Excellent work, Millianna.\Wally, get that impostor cat!\Just watch, Millia!\Cat Fire!\Huh?\What the... response:	I can't use magic all of a sudden!
context: Cat-ch you tubes!\Excellent work, Millianna.\Wally, get that impostor cat!\Just watch, Millia!\Cat Fire!\Huh?\What the...\I can't use magic all of a sudden! response:	Is it this thing's fault?
context: Excellent work, Millianna.\Wally, get that impostor cat!\Just watch, Millia!\Cat Fire!\Huh?\What the...\I can't use magic all of a sudden!\Is it this thing's fault? response:	I hate impostor cats!
context: Wally, get that impostor cat!\Just watch, Millia!\Cat Fire!\Huh?\What the...\I can't use magic all of a sudden!\Is it this thing's fault?\I hate impostor cats! response:	That's as far as you go, Salamander.
context: Just watch, Millia!\Cat Fire!\Huh?\What the...\I can't use magic all of a sudden!\Is it this thing's fault?\I hate impostor cats!\That's as far as you go, Salamander. response:	Die!
context: Cat Fire!\Huh?\What the...\I can't use magic all of a sudden!\Is it this thing's fault?\I hate impostor cats!\That's as far as you go, Salamander.\Die! response:	This ain't good!
