context: What is that? response:	Isanami?
context: What is that?\Isanami? response:	I shall destroy everything.
context: What is that?\Isanami?\I shall destroy everything. response:	Return to the abyss!
context: What is that?\Isanami?\I shall destroy everything.\Return to the abyss! response:	Isanami!
context: What is that?\Isanami?\I shall destroy everything.\Return to the abyss!\Isanami! response:	This is...
context: What is that?\Isanami?\I shall destroy everything.\Return to the abyss!\Isanami!\This is... response:	Rokuro!
context: What is that?\Isanami?\I shall destroy everything.\Return to the abyss!\Isanami!\This is...\Rokuro! response:	You mustn't get up yet!
context: What is that?\Isanami?\I shall destroy everything.\Return to the abyss!\Isanami!\This is...\Rokuro!\You mustn't get up yet! response:	Sir, this darkness... Is this Isanami's doing?
context: Isanami?\I shall destroy everything.\Return to the abyss!\Isanami!\This is...\Rokuro!\You mustn't get up yet!\Sir, this darkness... Is this Isanami's doing? response:	We must act before the darkness consumes everything.
context: I shall destroy everything.\Return to the abyss!\Isanami!\This is...\Rokuro!\You mustn't get up yet!\Sir, this darkness... Is this Isanami's doing?\We must act before the darkness consumes everything. response:	Don't strain yourself.
context: Return to the abyss!\Isanami!\This is...\Rokuro!\You mustn't get up yet!\Sir, this darkness... Is this Isanami's doing?\We must act before the darkness consumes everything.\Don't strain yourself. response:	You're not fit to move yet.
context: Isanami!\This is...\Rokuro!\You mustn't get up yet!\Sir, this darkness... Is this Isanami's doing?\We must act before the darkness consumes everything.\Don't strain yourself.\You're not fit to move yet. response:	Troubling you would be the greatest dishonor as your servant.
context: This is...\Rokuro!\You mustn't get up yet!\Sir, this darkness... Is this Isanami's doing?\We must act before the darkness consumes everything.\Don't strain yourself.\You're not fit to move yet.\Troubling you would be the greatest dishonor as your servant. response:	However, I can still see the prophecy of Izumo that was engraved in my lost eye.
context: Rokuro!\You mustn't get up yet!\Sir, this darkness... Is this Isanami's doing?\We must act before the darkness consumes everything.\Don't strain yourself.\You're not fit to move yet.\Troubling you would be the greatest dishonor as your servant.\However, I can still see the prophecy of Izumo that was engraved in my lost eye. response:	I must go.
context: You mustn't get up yet!\Sir, this darkness... Is this Isanami's doing?\We must act before the darkness consumes everything.\Don't strain yourself.\You're not fit to move yet.\Troubling you would be the greatest dishonor as your servant.\However, I can still see the prophecy of Izumo that was engraved in my lost eye.\I must go. response:	Rokuro.
