context: No! response:	Dang...
context: No!\Dang... response:	Dammit...
context: No!\Dang...\Dammit... response:	Dororo, your back.
context: No!\Dang...\Dammit...\Dororo, your back. response:	Warm her back by the fire.
context: No!\Dang...\Dammit...\Dororo, your back.\Warm her back by the fire. response:	Let go! Itachi...
context: No!\Dang...\Dammit...\Dororo, your back.\Warm her back by the fire.\Let go! Itachi... response:	No, don't look!
context: No!\Dang...\Dammit...\Dororo, your back.\Warm her back by the fire.\Let go! Itachi...\No, don't look! response:	So that's how you hid it, Dororo.
context: No!\Dang...\Dammit...\Dororo, your back.\Warm her back by the fire.\Let go! Itachi...\No, don't look!\So that's how you hid it, Dororo. response:	Let's go.
context: Dang...\Dammit...\Dororo, your back.\Warm her back by the fire.\Let go! Itachi...\No, don't look!\So that's how you hid it, Dororo.\Let's go. response:	Damn it...
context: Dammit...\Dororo, your back.\Warm her back by the fire.\Let go! Itachi...\No, don't look!\So that's how you hid it, Dororo.\Let's go.\Damn it... response:	Get back here, Itachi!
context: Dororo, your back.\Warm her back by the fire.\Let go! Itachi...\No, don't look!\So that's how you hid it, Dororo.\Let's go.\Damn it...\Get back here, Itachi! response:	That's Papa's precious money...
context: Warm her back by the fire.\Let go! Itachi...\No, don't look!\So that's how you hid it, Dororo.\Let's go.\Damn it...\Get back here, Itachi!\That's Papa's precious money... response:	What's that?
context: Let go! Itachi...\No, don't look!\So that's how you hid it, Dororo.\Let's go.\Damn it...\Get back here, Itachi!\That's Papa's precious money...\What's that? response:	Jiromaru...
context: No, don't look!\So that's how you hid it, Dororo.\Let's go.\Damn it...\Get back here, Itachi!\That's Papa's precious money...\What's that?\Jiromaru... response:	Jiro... maru...
context: So that's how you hid it, Dororo.\Let's go.\Damn it...\Get back here, Itachi!\That's Papa's precious money...\What's that?\Jiromaru...\Jiro... maru... response:	Saburomaru...
context: Let's go.\Damn it...\Get back here, Itachi!\That's Papa's precious money...\What's that?\Jiromaru...\Jiro... maru...\Saburomaru... response:	How it must've hurt.
context: Damn it...\Get back here, Itachi!\That's Papa's precious money...\What's that?\Jiromaru...\Jiro... maru...\Saburomaru...\How it must've hurt. response:	How it must've pained you.
context: Get back here, Itachi!\That's Papa's precious money...\What's that?\Jiromaru...\Jiro... maru...\Saburomaru...\How it must've hurt.\How it must've pained you. response:	Those bastards...
context: That's Papa's precious money...\What's that?\Jiromaru...\Jiro... maru...\Saburomaru...\How it must've hurt.\How it must've pained you.\Those bastards... response:	I'll kill them all.
context: What's that?\Jiromaru...\Jiro... maru...\Saburomaru...\How it must've hurt.\How it must've pained you.\Those bastards...\I'll kill them all. response:	Jiromaru, eat them all up!
context: Jiromaru...\Jiro... maru...\Saburomaru...\How it must've hurt.\How it must've pained you.\Those bastards...\I'll kill them all.\Jiromaru, eat them all up! response:	Betrayed this world
context: Jiro... maru...\Saburomaru...\How it must've hurt.\How it must've pained you.\Those bastards...\I'll kill them all.\Jiromaru, eat them all up!\Betrayed this world response:	And it simmers within
context: Saburomaru...\How it must've hurt.\How it must've pained you.\Those bastards...\I'll kill them all.\Jiromaru, eat them all up!\Betrayed this world\And it simmers within response:	Rupturing my innards
context: How it must've hurt.\How it must've pained you.\Those bastards...\I'll kill them all.\Jiromaru, eat them all up!\Betrayed this world\And it simmers within\Rupturing my innards response:	Swelling a reddish black
context: How it must've pained you.\Those bastards...\I'll kill them all.\Jiromaru, eat them all up!\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black response:	Until the sun burnt skin ruptures
context: Those bastards...\I'll kill them all.\Jiromaru, eat them all up!\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures response:	There is a light in the depths of the seething darkness
context: I'll kill them all.\Jiromaru, eat them all up!\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness response:	Confirming each other's voices in the distance
context: Jiromaru, eat them all up!\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	There is a light in the depths of the darkness
context: Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness response:	Confirming each other's voices in the distance
context: Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	18 The story of the cape of no mercy
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\18 The story of the cape of no mercy response:	Are you sure we can trust that map, Boss?
context: As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\18 The story of the cape of no mercy\Are you sure we can trust that map, Boss? response:	There it is.
context: I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\18 The story of the cape of no mercy\Are you sure we can trust that map, Boss?\There it is. response:	I didn't need for anything as long as I had you two.
context: There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\18 The story of the cape of no mercy\Are you sure we can trust that map, Boss?\There it is.\I didn't need for anything as long as I had you two. response:	You feared nothing.
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\18 The story of the cape of no mercy\Are you sure we can trust that map, Boss?\There it is.\I didn't need for anything as long as I had you two.\You feared nothing. response:	You were tied to nothing.
context: As if to stroke with wet fingertips\I'd like to touch you one day\18 The story of the cape of no mercy\Are you sure we can trust that map, Boss?\There it is.\I didn't need for anything as long as I had you two.\You feared nothing.\You were tied to nothing. response:	Strong and beautiful.
context: I'd like to touch you one day\18 The story of the cape of no mercy\Are you sure we can trust that map, Boss?\There it is.\I didn't need for anything as long as I had you two.\You feared nothing.\You were tied to nothing.\Strong and beautiful. response:	Compared to you, how petty humans are.
context: 18 The story of the cape of no mercy\Are you sure we can trust that map, Boss?\There it is.\I didn't need for anything as long as I had you two.\You feared nothing.\You were tied to nothing.\Strong and beautiful.\Compared to you, how petty humans are. response:	Mama...
context: Are you sure we can trust that map, Boss?\There it is.\I didn't need for anything as long as I had you two.\You feared nothing.\You were tied to nothing.\Strong and beautiful.\Compared to you, how petty humans are.\Mama... response:	Jiromaru!
context: There it is.\I didn't need for anything as long as I had you two.\You feared nothing.\You were tied to nothing.\Strong and beautiful.\Compared to you, how petty humans are.\Mama...\Jiromaru! response:	You two are flawless in every way.
context: I didn't need for anything as long as I had you two.\You feared nothing.\You were tied to nothing.\Strong and beautiful.\Compared to you, how petty humans are.\Mama...\Jiromaru!\You two are flawless in every way. response:	Humans are nothing but food before your greatness!
context: You feared nothing.\You were tied to nothing.\Strong and beautiful.\Compared to you, how petty humans are.\Mama...\Jiromaru!\You two are flawless in every way.\Humans are nothing but food before your greatness! response:	Teach them a lesson!
context: You were tied to nothing.\Strong and beautiful.\Compared to you, how petty humans are.\Mama...\Jiromaru!\You two are flawless in every way.\Humans are nothing but food before your greatness!\Teach them a lesson! response:	Bro...
context: Strong and beautiful.\Compared to you, how petty humans are.\Mama...\Jiromaru!\You two are flawless in every way.\Humans are nothing but food before your greatness!\Teach them a lesson!\Bro... response:	Dororo.
context: Compared to you, how petty humans are.\Mama...\Jiromaru!\You two are flawless in every way.\Humans are nothing but food before your greatness!\Teach them a lesson!\Bro...\Dororo. response:	Jiromaru!
context: Mama...\Jiromaru!\You two are flawless in every way.\Humans are nothing but food before your greatness!\Teach them a lesson!\Bro...\Dororo.\Jiromaru! response:	Bro... How...?
context: Jiromaru!\You two are flawless in every way.\Humans are nothing but food before your greatness!\Teach them a lesson!\Bro...\Dororo.\Jiromaru!\Bro... How...? response:	That shark...
context: You two are flawless in every way.\Humans are nothing but food before your greatness!\Teach them a lesson!\Bro...\Dororo.\Jiromaru!\Bro... How...?\That shark... response:	A demon.
context: Humans are nothing but food before your greatness!\Teach them a lesson!\Bro...\Dororo.\Jiromaru!\Bro... How...?\That shark...\A demon. response:	That broken excuse for a human is no match for you.
context: Teach them a lesson!\Bro...\Dororo.\Jiromaru!\Bro... How...?\That shark...\A demon.\That broken excuse for a human is no match for you. response:	Rip those ugly humans apart!
context: Bro...\Dororo.\Jiromaru!\Bro... How...?\That shark...\A demon.\That broken excuse for a human is no match for you.\Rip those ugly humans apart! response:	Bro!
context: Dororo.\Jiromaru!\Bro... How...?\That shark...\A demon.\That broken excuse for a human is no match for you.\Rip those ugly humans apart!\Bro! response:	Jiromaru!
context: Jiromaru!\Bro... How...?\That shark...\A demon.\That broken excuse for a human is no match for you.\Rip those ugly humans apart!\Bro!\Jiromaru! response:	Bro!
context: Bro... How...?\That shark...\A demon.\That broken excuse for a human is no match for you.\Rip those ugly humans apart!\Bro!\Jiromaru!\Bro! response:	Bro...
context: That shark...\A demon.\That broken excuse for a human is no match for you.\Rip those ugly humans apart!\Bro!\Jiromaru!\Bro!\Bro... response:	Hey, bro... Stop it, what the heck?
context: A demon.\That broken excuse for a human is no match for you.\Rip those ugly humans apart!\Bro!\Jiromaru!\Bro!\Bro...\Hey, bro... Stop it, what the heck? response:	I came for you.
context: That broken excuse for a human is no match for you.\Rip those ugly humans apart!\Bro!\Jiromaru!\Bro!\Bro...\Hey, bro... Stop it, what the heck?\I came for you. response:	Well, you took long enough.
context: Rip those ugly humans apart!\Bro!\Jiromaru!\Bro!\Bro...\Hey, bro... Stop it, what the heck?\I came for you.\Well, you took long enough. response:	I had to go through a ton of stuff by myself!
context: Bro!\Jiromaru!\Bro!\Bro...\Hey, bro... Stop it, what the heck?\I came for you.\Well, you took long enough.\I had to go through a ton of stuff by myself! response:	Bro...
context: Jiromaru!\Bro!\Bro...\Hey, bro... Stop it, what the heck?\I came for you.\Well, you took long enough.\I had to go through a ton of stuff by myself!\Bro... response:	He had your leg, huh.
context: Bro!\Bro...\Hey, bro... Stop it, what the heck?\I came for you.\Well, you took long enough.\I had to go through a ton of stuff by myself!\Bro...\He had your leg, huh. response:	What a load of crap.
context: Bro...\Hey, bro... Stop it, what the heck?\I came for you.\Well, you took long enough.\I had to go through a ton of stuff by myself!\Bro...\He had your leg, huh.\What a load of crap. response:	You went through all this... You killed Jiromaru...
context: Hey, bro... Stop it, what the heck?\I came for you.\Well, you took long enough.\I had to go through a ton of stuff by myself!\Bro...\He had your leg, huh.\What a load of crap.\You went through all this... You killed Jiromaru... response:	just to get a human body.
context: I came for you.\Well, you took long enough.\I had to go through a ton of stuff by myself!\Bro...\He had your leg, huh.\What a load of crap.\You went through all this... You killed Jiromaru...\just to get a human body. response:	For what, huh?
context: Well, you took long enough.\I had to go through a ton of stuff by myself!\Bro...\He had your leg, huh.\What a load of crap.\You went through all this... You killed Jiromaru...\just to get a human body.\For what, huh? response:	Is it that important to you?
context: I had to go through a ton of stuff by myself!\Bro...\He had your leg, huh.\What a load of crap.\You went through all this... You killed Jiromaru...\just to get a human body.\For what, huh?\Is it that important to you? response:	Bro, we can't just stand around. Itachi is up there.
context: Bro...\He had your leg, huh.\What a load of crap.\You went through all this... You killed Jiromaru...\just to get a human body.\For what, huh?\Is it that important to you?\Bro, we can't just stand around. Itachi is up there. response:	This is the place. No doubt about that. But this...?
context: He had your leg, huh.\What a load of crap.\You went through all this... You killed Jiromaru...\just to get a human body.\For what, huh?\Is it that important to you?\Bro, we can't just stand around. Itachi is up there.\This is the place. No doubt about that. But this...? response:	Boss, we can get in through here.
