context: Hey, what do you think of Akira? response:	She's the most levelheaded of the Three Great Water Fairies.
context: Hey, what do you think of Akira?\She's the most levelheaded of the Three Great Water Fairies. response:	She's organized, dependable, and takes charge.
context: Hey, what do you think of Akira?\She's the most levelheaded of the Three Great Water Fairies.\She's organized, dependable, and takes charge. response:	What's the matter?
context: Hey, what do you think of Akira?\She's the most levelheaded of the Three Great Water Fairies.\She's organized, dependable, and takes charge.\What's the matter? response:	Did something happen to Akira?
context: Hey, what do you think of Akira?\She's the most levelheaded of the Three Great Water Fairies.\She's organized, dependable, and takes charge.\What's the matter?\Did something happen to Akira? response:	Well, it's more like nothing...
context: Hey, what do you think of Akira?\She's the most levelheaded of the Three Great Water Fairies.\She's organized, dependable, and takes charge.\What's the matter?\Did something happen to Akira?\Well, it's more like nothing... response:	What do you mean by nothing?
context: Hey, what do you think of Akira?\She's the most levelheaded of the Three Great Water Fairies.\She's organized, dependable, and takes charge.\What's the matter?\Did something happen to Akira?\Well, it's more like nothing...\What do you mean by nothing? response:	You're really not making any sense. What do you mean by nothing?
context: Hey, what do you think of Akira?\She's the most levelheaded of the Three Great Water Fairies.\She's organized, dependable, and takes charge.\What's the matter?\Did something happen to Akira?\Well, it's more like nothing...\What do you mean by nothing?\You're really not making any sense. What do you mean by nothing? response:	You're really not making any sense.
context: She's the most levelheaded of the Three Great Water Fairies.\She's organized, dependable, and takes charge.\What's the matter?\Did something happen to Akira?\Well, it's more like nothing...\What do you mean by nothing?\You're really not making any sense. What do you mean by nothing?\You're really not making any sense. response:	I guess so. It's not something you two would understand.
context: She's organized, dependable, and takes charge.\What's the matter?\Did something happen to Akira?\Well, it's more like nothing...\What do you mean by nothing?\You're really not making any sense. What do you mean by nothing?\You're really not making any sense.\I guess so. It's not something you two would understand. response:	Huh? Huh?
context: What's the matter?\Did something happen to Akira?\Well, it's more like nothing...\What do you mean by nothing?\You're really not making any sense. What do you mean by nothing?\You're really not making any sense.\I guess so. It's not something you two would understand.\Huh? Huh? response:	Dear Ai, it's been so warm here in Neo-Venezia lately that I find myself breaking into a sweat.
context: Did something happen to Akira?\Well, it's more like nothing...\What do you mean by nothing?\You're really not making any sense. What do you mean by nothing?\You're really not making any sense.\I guess so. It's not something you two would understand.\Huh? Huh?\Dear Ai, it's been so warm here in Neo-Venezia lately that I find myself breaking into a sweat. response:	And also!
context: Well, it's more like nothing...\What do you mean by nothing?\You're really not making any sense. What do you mean by nothing?\You're really not making any sense.\I guess so. It's not something you two would understand.\Huh? Huh?\Dear Ai, it's been so warm here in Neo-Venezia lately that I find myself breaking into a sweat.\And also! response:	Today, we changed uniforms!
context: What do you mean by nothing?\You're really not making any sense. What do you mean by nothing?\You're really not making any sense.\I guess so. It's not something you two would understand.\Huh? Huh?\Dear Ai, it's been so warm here in Neo-Venezia lately that I find myself breaking into a sweat.\And also!\Today, we changed uniforms! response:	That's right! We switched into our summer clothes!
