context: Anyway, she's a shy girl. response:	She makes you want to cheer her on.
context: Anyway, she's a shy girl.\She makes you want to cheer her on. response:	She must be hot.
context: Anyway, she's a shy girl.\She makes you want to cheer her on.\She must be hot. response:	Yeah.
context: Anyway, she's a shy girl.\She makes you want to cheer her on.\She must be hot.\Yeah. response:	She's something like that.
context: Anyway, she's a shy girl.\She makes you want to cheer her on.\She must be hot.\Yeah.\She's something like that. response:	Geez, she's pretty creepy.
context: Anyway, she's a shy girl.\She makes you want to cheer her on.\She must be hot.\Yeah.\She's something like that.\Geez, she's pretty creepy. response:	She looks creepy.
context: Anyway, she's a shy girl.\She makes you want to cheer her on.\She must be hot.\Yeah.\She's something like that.\Geez, she's pretty creepy.\She looks creepy. response:	Looks, huh?
context: Anyway, she's a shy girl.\She makes you want to cheer her on.\She must be hot.\Yeah.\She's something like that.\Geez, she's pretty creepy.\She looks creepy.\Looks, huh? response:	Sawako.
context: She makes you want to cheer her on.\She must be hot.\Yeah.\She's something like that.\Geez, she's pretty creepy.\She looks creepy.\Looks, huh?\Sawako. response:	Sadako?
context: She must be hot.\Yeah.\She's something like that.\Geez, she's pretty creepy.\She looks creepy.\Looks, huh?\Sawako.\Sadako? response:	Her name.
context: Yeah.\She's something like that.\Geez, she's pretty creepy.\She looks creepy.\Looks, huh?\Sawako.\Sadako?\Her name. response:	Written breezy child,” Sawako.
context: She's something like that.\Geez, she's pretty creepy.\She looks creepy.\Looks, huh?\Sawako.\Sadako?\Her name.\Written breezy child,” Sawako. response:	For some reason, everyone's afraid of me.
context: Geez, she's pretty creepy.\She looks creepy.\Looks, huh?\Sawako.\Sadako?\Her name.\Written breezy child,” Sawako.\For some reason, everyone's afraid of me. response:	I want to fit in.
context: She looks creepy.\Looks, huh?\Sawako.\Sadako?\Her name.\Written breezy child,” Sawako.\For some reason, everyone's afraid of me.\I want to fit in. response:	I mean, even her name is Sadako, like from Ringu.
context: Looks, huh?\Sawako.\Sadako?\Her name.\Written breezy child,” Sawako.\For some reason, everyone's afraid of me.\I want to fit in.\I mean, even her name is Sadako, like from Ringu. response:	Her parents gave her a pretty blunt name, huh?
context: Sawako.\Sadako?\Her name.\Written breezy child,” Sawako.\For some reason, everyone's afraid of me.\I want to fit in.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh? response:	I wish I could just fit in.
context: Sadako?\Her name.\Written breezy child,” Sawako.\For some reason, everyone's afraid of me.\I want to fit in.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\I wish I could just fit in. response:	Go ahead, I'm done.
context: Her name.\Written breezy child,” Sawako.\For some reason, everyone's afraid of me.\I want to fit in.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\I wish I could just fit in.\Go ahead, I'm done. response:	Morning, Kuronuma.
context: Written breezy child,” Sawako.\For some reason, everyone's afraid of me.\I want to fit in.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\I wish I could just fit in.\Go ahead, I'm done.\Morning, Kuronuma. response:	Kazehaya-kun is the exact opposite of me.
context: For some reason, everyone's afraid of me.\I want to fit in.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\I wish I could just fit in.\Go ahead, I'm done.\Morning, Kuronuma.\Kazehaya-kun is the exact opposite of me. response:	Everyone flocks around him and forms a clique.
context: I want to fit in.\I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\I wish I could just fit in.\Go ahead, I'm done.\Morning, Kuronuma.\Kazehaya-kun is the exact opposite of me.\Everyone flocks around him and forms a clique. response:	At the opening ceremony when I came to high school...
context: I mean, even her name is Sadako, like from Ringu.\Her parents gave her a pretty blunt name, huh?\I wish I could just fit in.\Go ahead, I'm done.\Morning, Kuronuma.\Kazehaya-kun is the exact opposite of me.\Everyone flocks around him and forms a clique.\At the opening ceremony when I came to high school... response:	H-Hey...
context: Her parents gave her a pretty blunt name, huh?\I wish I could just fit in.\Go ahead, I'm done.\Morning, Kuronuma.\Kazehaya-kun is the exact opposite of me.\Everyone flocks around him and forms a clique.\At the opening ceremony when I came to high school...\H-Hey... response:	If you're heading to Kitahoro High School, it's that way.
context: I wish I could just fit in.\Go ahead, I'm done.\Morning, Kuronuma.\Kazehaya-kun is the exact opposite of me.\Everyone flocks around him and forms a clique.\At the opening ceremony when I came to high school...\H-Hey...\If you're heading to Kitahoro High School, it's that way. response:	Thanks.
context: Go ahead, I'm done.\Morning, Kuronuma.\Kazehaya-kun is the exact opposite of me.\Everyone flocks around him and forms a clique.\At the opening ceremony when I came to high school...\H-Hey...\If you're heading to Kitahoro High School, it's that way.\Thanks. response:	People only ever apologize to me.
context: Morning, Kuronuma.\Kazehaya-kun is the exact opposite of me.\Everyone flocks around him and forms a clique.\At the opening ceremony when I came to high school...\H-Hey...\If you're heading to Kitahoro High School, it's that way.\Thanks.\People only ever apologize to me. response:	But he smiled and thanked me.
context: Kazehaya-kun is the exact opposite of me.\Everyone flocks around him and forms a clique.\At the opening ceremony when I came to high school...\H-Hey...\If you're heading to Kitahoro High School, it's that way.\Thanks.\People only ever apologize to me.\But he smiled and thanked me. response:	I want to become like him someday.
context: Everyone flocks around him and forms a clique.\At the opening ceremony when I came to high school...\H-Hey...\If you're heading to Kitahoro High School, it's that way.\Thanks.\People only ever apologize to me.\But he smiled and thanked me.\I want to become like him someday. response:	Do it!
context: At the opening ceremony when I came to high school...\H-Hey...\If you're heading to Kitahoro High School, it's that way.\Thanks.\People only ever apologize to me.\But he smiled and thanked me.\I want to become like him someday.\Do it! response:	Become like him!
context: H-Hey...\If you're heading to Kitahoro High School, it's that way.\Thanks.\People only ever apologize to me.\But he smiled and thanked me.\I want to become like him someday.\Do it!\Become like him! response:	The popular kid, huh?
context: If you're heading to Kitahoro High School, it's that way.\Thanks.\People only ever apologize to me.\But he smiled and thanked me.\I want to become like him someday.\Do it!\Become like him!\The popular kid, huh? response:	Kazehaya is, yeah.
context: Thanks.\People only ever apologize to me.\But he smiled and thanked me.\I want to become like him someday.\Do it!\Become like him!\The popular kid, huh?\Kazehaya is, yeah. response:	Unpopular Sawako, on the other hand...
context: People only ever apologize to me.\But he smiled and thanked me.\I want to become like him someday.\Do it!\Become like him!\The popular kid, huh?\Kazehaya is, yeah.\Unpopular Sawako, on the other hand... response:	Sadako?
context: But he smiled and thanked me.\I want to become like him someday.\Do it!\Become like him!\The popular kid, huh?\Kazehaya is, yeah.\Unpopular Sawako, on the other hand...\Sadako? response:	Yuka sat in Sadako's seat and stayed home sick for a week.
context: I want to become like him someday.\Do it!\Become like him!\The popular kid, huh?\Kazehaya is, yeah.\Unpopular Sawako, on the other hand...\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week. response:	Go for it.
context: Do it!\Become like him!\The popular kid, huh?\Kazehaya is, yeah.\Unpopular Sawako, on the other hand...\Sadako?\Yuka sat in Sadako's seat and stayed home sick for a week.\Go for it. response:	Um...
