context: Maki-chan? response:	How do you write that?
context: Maki-chan?\How do you write that? response:	Ma
context: Maki-chan?\How do you write that?\Ma response:	The first characters from the words for truth
context: Maki-chan?\How do you write that?\Ma\The first characters from the words for truth response:	Ki
context: Maki-chan?\How do you write that?\Ma\The first characters from the words for truth\Ki response:	Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter
context: Maki-chan?\How do you write that?\Ma\The first characters from the words for truth\Ki\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter response:	and hope.
context: Maki-chan?\How do you write that?\Ma\The first characters from the words for truth\Ki\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\and hope. response:	Wow! That's a great name.
context: Maki-chan?\How do you write that?\Ma\The first characters from the words for truth\Ki\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\and hope.\Wow! That's a great name. response:	Is her hair still sticking up?
context: How do you write that?\Ma\The first characters from the words for truth\Ki\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\and hope.\Wow! That's a great name.\Is her hair still sticking up? response:	Yeah, she looks like a Saiyan.
context: Ma\The first characters from the words for truth\Ki\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\and hope.\Wow! That's a great name.\Is her hair still sticking up?\Yeah, she looks like a Saiyan. response:	I want to see Maki-chan.
context: The first characters from the words for truth\Ki\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\and hope.\Wow! That's a great name.\Is her hair still sticking up?\Yeah, she looks like a Saiyan.\I want to see Maki-chan. response:	Yeah, she's growing really fast, so you should come soon.
context: Ki\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\and hope.\Wow! That's a great name.\Is her hair still sticking up?\Yeah, she looks like a Saiyan.\I want to see Maki-chan.\Yeah, she's growing really fast, so you should come soon. response:	Really?
context: Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\and hope.\Wow! That's a great name.\Is her hair still sticking up?\Yeah, she looks like a Saiyan.\I want to see Maki-chan.\Yeah, she's growing really fast, so you should come soon.\Really? response:	Is she all chubby?
context: and hope.\Wow! That's a great name.\Is her hair still sticking up?\Yeah, she looks like a Saiyan.\I want to see Maki-chan.\Yeah, she's growing really fast, so you should come soon.\Really?\Is she all chubby? response:	Yeah, she is.
context: Wow! That's a great name.\Is her hair still sticking up?\Yeah, she looks like a Saiyan.\I want to see Maki-chan.\Yeah, she's growing really fast, so you should come soon.\Really?\Is she all chubby?\Yeah, she is. response:	I'm looking forward to seeing her.
context: Is her hair still sticking up?\Yeah, she looks like a Saiyan.\I want to see Maki-chan.\Yeah, she's growing really fast, so you should come soon.\Really?\Is she all chubby?\Yeah, she is.\I'm looking forward to seeing her. response:	Okay.
context: Yeah, she looks like a Saiyan.\I want to see Maki-chan.\Yeah, she's growing really fast, so you should come soon.\Really?\Is she all chubby?\Yeah, she is.\I'm looking forward to seeing her.\Okay. response:	Chubby, huh?
context: I want to see Maki-chan.\Yeah, she's growing really fast, so you should come soon.\Really?\Is she all chubby?\Yeah, she is.\I'm looking forward to seeing her.\Okay.\Chubby, huh? response:	She's all chubby.
context: Yeah, she's growing really fast, so you should come soon.\Really?\Is she all chubby?\Yeah, she is.\I'm looking forward to seeing her.\Okay.\Chubby, huh?\She's all chubby. response:	Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter
context: Really?\Is she all chubby?\Yeah, she is.\I'm looking forward to seeing her.\Okay.\Chubby, huh?\She's all chubby.\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter response:	Maki...
context: Is she all chubby?\Yeah, she is.\I'm looking forward to seeing her.\Okay.\Chubby, huh?\She's all chubby.\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\Maki... response:	Do you know what month this is?
context: Yeah, she is.\I'm looking forward to seeing her.\Okay.\Chubby, huh?\She's all chubby.\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\Maki...\Do you know what month this is? response:	It's February.
context: I'm looking forward to seeing her.\Okay.\Chubby, huh?\She's all chubby.\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\Maki...\Do you know what month this is?\It's February. response:	In February, there's something known as Valentine's Day.
context: Okay.\Chubby, huh?\She's all chubby.\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\Maki...\Do you know what month this is?\It's February.\In February, there's something known as Valentine's Day. response:	It's the day girls give boys they like chocolate.
context: Chubby, huh?\She's all chubby.\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\Maki...\Do you know what month this is?\It's February.\In February, there's something known as Valentine's Day.\It's the day girls give boys they like chocolate. response:	The day's almost here!
context: She's all chubby.\Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\Maki...\Do you know what month this is?\It's February.\In February, there's something known as Valentine's Day.\It's the day girls give boys they like chocolate.\The day's almost here! response:	glare
context: Name: Maki Father: Gouda Yutaka Mother: Yuriko Eldest Daughter\Maki...\Do you know what month this is?\It's February.\In February, there's something known as Valentine's Day.\It's the day girls give boys they like chocolate.\The day's almost here!\glare response:	Yep!
context: Maki...\Do you know what month this is?\It's February.\In February, there's something known as Valentine's Day.\It's the day girls give boys they like chocolate.\The day's almost here!\glare\Yep! response:	My Chocolate
context: Do you know what month this is?\It's February.\In February, there's something known as Valentine's Day.\It's the day girls give boys they like chocolate.\The day's almost here!\glare\Yep!\My Chocolate response:	Red, pink, and brown...
context: It's February.\In February, there's something known as Valentine's Day.\It's the day girls give boys they like chocolate.\The day's almost here!\glare\Yep!\My Chocolate\Red, pink, and brown... response:	You should watch where you're going.
context: In February, there's something known as Valentine's Day.\It's the day girls give boys they like chocolate.\The day's almost here!\glare\Yep!\My Chocolate\Red, pink, and brown...\You should watch where you're going. response:	I wonder what kind of chocolate Yamato-san will give you.
context: It's the day girls give boys they like chocolate.\The day's almost here!\glare\Yep!\My Chocolate\Red, pink, and brown...\You should watch where you're going.\I wonder what kind of chocolate Yamato-san will give you. response:	You think she'll give me chocolate?
