context: Ladies and gentlemen, good evening. response:	Those who forge their own destiny. Those who balk at their own destiny.
context: Ladies and gentlemen, good evening.\Those who forge their own destiny. Those who balk at their own destiny. response:	Time visits all men equally and imposes on them a choice for the future.
context: Ladies and gentlemen, good evening.\Those who forge their own destiny. Those who balk at their own destiny.\Time visits all men equally and imposes on them a choice for the future. response:	When the final letter entrusted to the young man is read,
context: Ladies and gentlemen, good evening.\Those who forge their own destiny. Those who balk at their own destiny.\Time visits all men equally and imposes on them a choice for the future.\When the final letter entrusted to the young man is read, response:	Act 21: The Golden Boy's True Identity
context: Ladies and gentlemen, good evening.\Those who forge their own destiny. Those who balk at their own destiny.\Time visits all men equally and imposes on them a choice for the future.\When the final letter entrusted to the young man is read,\Act 21: The Golden Boy's True Identity response:	Count! There's something that I have to talk to you about!
context: Ladies and gentlemen, good evening.\Those who forge their own destiny. Those who balk at their own destiny.\Time visits all men equally and imposes on them a choice for the future.\When the final letter entrusted to the young man is read,\Act 21: The Golden Boy's True Identity\Count! There's something that I have to talk to you about! response:	Count!
context: Ladies and gentlemen, good evening.\Those who forge their own destiny. Those who balk at their own destiny.\Time visits all men equally and imposes on them a choice for the future.\When the final letter entrusted to the young man is read,\Act 21: The Golden Boy's True Identity\Count! There's something that I have to talk to you about!\Count! response:	Could he have left Paris already?
context: Ladies and gentlemen, good evening.\Those who forge their own destiny. Those who balk at their own destiny.\Time visits all men equally and imposes on them a choice for the future.\When the final letter entrusted to the young man is read,\Act 21: The Golden Boy's True Identity\Count! There's something that I have to talk to you about!\Count!\Could he have left Paris already? response:	As the price of Danglars Bank stocks hits trading limit lows day after day,
context: Those who forge their own destiny. Those who balk at their own destiny.\Time visits all men equally and imposes on them a choice for the future.\When the final letter entrusted to the young man is read,\Act 21: The Golden Boy's True Identity\Count! There's something that I have to talk to you about!\Count!\Could he have left Paris already?\As the price of Danglars Bank stocks hits trading limit lows day after day, response:	At this time, the whereabouts of the bank management,
context: Time visits all men equally and imposes on them a choice for the future.\When the final letter entrusted to the young man is read,\Act 21: The Golden Boy's True Identity\Count! There's something that I have to talk to you about!\Count!\Could he have left Paris already?\As the price of Danglars Bank stocks hits trading limit lows day after day,\At this time, the whereabouts of the bank management, response:	You bunch of idiots.
context: When the final letter entrusted to the young man is read,\Act 21: The Golden Boy's True Identity\Count! There's something that I have to talk to you about!\Count!\Could he have left Paris already?\As the price of Danglars Bank stocks hits trading limit lows day after day,\At this time, the whereabouts of the bank management,\You bunch of idiots. response:	I have your precious treasure right here.
context: Act 21: The Golden Boy's True Identity\Count! There's something that I have to talk to you about!\Count!\Could he have left Paris already?\As the price of Danglars Bank stocks hits trading limit lows day after day,\At this time, the whereabouts of the bank management,\You bunch of idiots.\I have your precious treasure right here. response:	I'll make a profit off of any situation, even bad ones.
context: Count! There's something that I have to talk to you about!\Count!\Could he have left Paris already?\As the price of Danglars Bank stocks hits trading limit lows day after day,\At this time, the whereabouts of the bank management,\You bunch of idiots.\I have your precious treasure right here.\I'll make a profit off of any situation, even bad ones. response:	All I need is this stake money, and I'll be good as gold.
context: Count!\Could he have left Paris already?\As the price of Danglars Bank stocks hits trading limit lows day after day,\At this time, the whereabouts of the bank management,\You bunch of idiots.\I have your precious treasure right here.\I'll make a profit off of any situation, even bad ones.\All I need is this stake money, and I'll be good as gold. response:	With five trillion francs at my disposal, I can win any speculation war.
context: Could he have left Paris already?\As the price of Danglars Bank stocks hits trading limit lows day after day,\At this time, the whereabouts of the bank management,\You bunch of idiots.\I have your precious treasure right here.\I'll make a profit off of any situation, even bad ones.\All I need is this stake money, and I'll be good as gold.\With five trillion francs at my disposal, I can win any speculation war. response:	Now, then, which stock should I start with?
context: As the price of Danglars Bank stocks hits trading limit lows day after day,\At this time, the whereabouts of the bank management,\You bunch of idiots.\I have your precious treasure right here.\I'll make a profit off of any situation, even bad ones.\All I need is this stake money, and I'll be good as gold.\With five trillion francs at my disposal, I can win any speculation war.\Now, then, which stock should I start with? response:	Damn it, I can't stand how inefficient this is without Michelle!
context: At this time, the whereabouts of the bank management,\You bunch of idiots.\I have your precious treasure right here.\I'll make a profit off of any situation, even bad ones.\All I need is this stake money, and I'll be good as gold.\With five trillion francs at my disposal, I can win any speculation war.\Now, then, which stock should I start with?\Damn it, I can't stand how inefficient this is without Michelle! response:	Good afternoon to you, Monsieur Danglars.
context: You bunch of idiots.\I have your precious treasure right here.\I'll make a profit off of any situation, even bad ones.\All I need is this stake money, and I'll be good as gold.\With five trillion francs at my disposal, I can win any speculation war.\Now, then, which stock should I start with?\Damn it, I can't stand how inefficient this is without Michelle!\Good afternoon to you, Monsieur Danglars. response:	Monte Cristo!
context: I have your precious treasure right here.\I'll make a profit off of any situation, even bad ones.\All I need is this stake money, and I'll be good as gold.\With five trillion francs at my disposal, I can win any speculation war.\Now, then, which stock should I start with?\Damn it, I can't stand how inefficient this is without Michelle!\Good afternoon to you, Monsieur Danglars.\Monte Cristo! response:	I-I was under the impression that I had bought out all the seats on this special flight.
