context: Piercing through the Macro sky, response:	A thunderbolt strikes the Earth
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth response:	To awaken us, the young mankind
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind response:	The Light struck.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck. response:	Macross! Macross!
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise response:	And fight to protect their loved ones
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones response:	Will set out on their journey As the war rages on.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on. response:	Will you love me tomorrow?
context: A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	With the Macross having lost its Fold System,
context: And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\With the Macross having lost its Fold System, response:	those aboard have been forced to proceed using conventional engines.
context: Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\With the Macross having lost its Fold System,\those aboard have been forced to proceed using conventional engines. response:	However, the enemy Zentradi fleet has been tracking the Macross
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\With the Macross having lost its Fold System,\those aboard have been forced to proceed using conventional engines.\However, the enemy Zentradi fleet has been tracking the Macross response:	and hindering its progress.
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\With the Macross having lost its Fold System,\those aboard have been forced to proceed using conventional engines.\However, the enemy Zentradi fleet has been tracking the Macross\and hindering its progress. response:	Though having to fend off repeated attacks,
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\With the Macross having lost its Fold System,\those aboard have been forced to proceed using conventional engines.\However, the enemy Zentradi fleet has been tracking the Macross\and hindering its progress.\Though having to fend off repeated attacks, response:	the Macross has finally passed within the orbit of Mars.
context: Macross! Macross!\Macross!\With the Macross having lost its Fold System,\those aboard have been forced to proceed using conventional engines.\However, the enemy Zentradi fleet has been tracking the Macross\and hindering its progress.\Though having to fend off repeated attacks,\the Macross has finally passed within the orbit of Mars. response:	LONGEST BIRTHDAY
context: Macross!\With the Macross having lost its Fold System,\those aboard have been forced to proceed using conventional engines.\However, the enemy Zentradi fleet has been tracking the Macross\and hindering its progress.\Though having to fend off repeated attacks,\the Macross has finally passed within the orbit of Mars.\LONGEST BIRTHDAY response:	They certainly don't give up, do they?
context: With the Macross having lost its Fold System,\those aboard have been forced to proceed using conventional engines.\However, the enemy Zentradi fleet has been tracking the Macross\and hindering its progress.\Though having to fend off repeated attacks,\the Macross has finally passed within the orbit of Mars.\LONGEST BIRTHDAY\They certainly don't give up, do they? response:	Their resolve is strengthening now that they're so close to their homeworld.
context: those aboard have been forced to proceed using conventional engines.\However, the enemy Zentradi fleet has been tracking the Macross\and hindering its progress.\Though having to fend off repeated attacks,\the Macross has finally passed within the orbit of Mars.\LONGEST BIRTHDAY\They certainly don't give up, do they?\Their resolve is strengthening now that they're so close to their homeworld. response:	Perhaps we've allowed them to get just a little too close...
context: However, the enemy Zentradi fleet has been tracking the Macross\and hindering its progress.\Though having to fend off repeated attacks,\the Macross has finally passed within the orbit of Mars.\LONGEST BIRTHDAY\They certainly don't give up, do they?\Their resolve is strengthening now that they're so close to their homeworld.\Perhaps we've allowed them to get just a little too close... response:	They won't get there.
context: and hindering its progress.\Though having to fend off repeated attacks,\the Macross has finally passed within the orbit of Mars.\LONGEST BIRTHDAY\They certainly don't give up, do they?\Their resolve is strengthening now that they're so close to their homeworld.\Perhaps we've allowed them to get just a little too close...\They won't get there. response:	I wonder how they'll act when they realize they're so near,
context: Though having to fend off repeated attacks,\the Macross has finally passed within the orbit of Mars.\LONGEST BIRTHDAY\They certainly don't give up, do they?\Their resolve is strengthening now that they're so close to their homeworld.\Perhaps we've allowed them to get just a little too close...\They won't get there.\I wonder how they'll act when they realize they're so near, response:	yet they'll never be allowed to return home...
context: the Macross has finally passed within the orbit of Mars.\LONGEST BIRTHDAY\They certainly don't give up, do they?\Their resolve is strengthening now that they're so close to their homeworld.\Perhaps we've allowed them to get just a little too close...\They won't get there.\I wonder how they'll act when they realize they're so near,\yet they'll never be allowed to return home... response:	I'm sure they will be quite frustrated.
context: LONGEST BIRTHDAY\They certainly don't give up, do they?\Their resolve is strengthening now that they're so close to their homeworld.\Perhaps we've allowed them to get just a little too close...\They won't get there.\I wonder how they'll act when they realize they're so near,\yet they'll never be allowed to return home...\I'm sure they will be quite frustrated. response:	There is just one thing that worries me.
context: They certainly don't give up, do they?\Their resolve is strengthening now that they're so close to their homeworld.\Perhaps we've allowed them to get just a little too close...\They won't get there.\I wonder how they'll act when they realize they're so near,\yet they'll never be allowed to return home...\I'm sure they will be quite frustrated.\There is just one thing that worries me. response:	Kamujin Kravshera...
context: Their resolve is strengthening now that they're so close to their homeworld.\Perhaps we've allowed them to get just a little too close...\They won't get there.\I wonder how they'll act when they realize they're so near,\yet they'll never be allowed to return home...\I'm sure they will be quite frustrated.\There is just one thing that worries me.\Kamujin Kravshera... response:	Correct?
context: Perhaps we've allowed them to get just a little too close...\They won't get there.\I wonder how they'll act when they realize they're so near,\yet they'll never be allowed to return home...\I'm sure they will be quite frustrated.\There is just one thing that worries me.\Kamujin Kravshera...\Correct? response:	Today is Minmay's birthday, huh?
context: They won't get there.\I wonder how they'll act when they realize they're so near,\yet they'll never be allowed to return home...\I'm sure they will be quite frustrated.\There is just one thing that worries me.\Kamujin Kravshera...\Correct?\Today is Minmay's birthday, huh? response:	So, what sort of present would make a girl happy?
context: I wonder how they'll act when they realize they're so near,\yet they'll never be allowed to return home...\I'm sure they will be quite frustrated.\There is just one thing that worries me.\Kamujin Kravshera...\Correct?\Today is Minmay's birthday, huh?\So, what sort of present would make a girl happy? response:	Attention. Will the following personnel please report to the UN Forces Command Center?
context: yet they'll never be allowed to return home...\I'm sure they will be quite frustrated.\There is just one thing that worries me.\Kamujin Kravshera...\Correct?\Today is Minmay's birthday, huh?\So, what sort of present would make a girl happy?\Attention. Will the following personnel please report to the UN Forces Command Center? response:	2nd Lieutenant Justy Borgnine...
context: I'm sure they will be quite frustrated.\There is just one thing that worries me.\Kamujin Kravshera...\Correct?\Today is Minmay's birthday, huh?\So, what sort of present would make a girl happy?\Attention. Will the following personnel please report to the UN Forces Command Center?\2nd Lieutenant Justy Borgnine... response:	2nd Lieutenant Taki Rossman...
context: There is just one thing that worries me.\Kamujin Kravshera...\Correct?\Today is Minmay's birthday, huh?\So, what sort of present would make a girl happy?\Attention. Will the following personnel please report to the UN Forces Command Center?\2nd Lieutenant Justy Borgnine...\2nd Lieutenant Taki Rossman... response:	1st Lieutenant Yang Loo...
context: Kamujin Kravshera...\Correct?\Today is Minmay's birthday, huh?\So, what sort of present would make a girl happy?\Attention. Will the following personnel please report to the UN Forces Command Center?\2nd Lieutenant Justy Borgnine...\2nd Lieutenant Taki Rossman...\1st Lieutenant Yang Loo... response:	Nothing to do with me...
context: Correct?\Today is Minmay's birthday, huh?\So, what sort of present would make a girl happy?\Attention. Will the following personnel please report to the UN Forces Command Center?\2nd Lieutenant Justy Borgnine...\2nd Lieutenant Taki Rossman...\1st Lieutenant Yang Loo...\Nothing to do with me... response:	1st Lieutenant Marcos Myer...
context: Today is Minmay's birthday, huh?\So, what sort of present would make a girl happy?\Attention. Will the following personnel please report to the UN Forces Command Center?\2nd Lieutenant Justy Borgnine...\2nd Lieutenant Taki Rossman...\1st Lieutenant Yang Loo...\Nothing to do with me...\1st Lieutenant Marcos Myer... response:	Sergeant Hikaru Ichijo...
context: So, what sort of present would make a girl happy?\Attention. Will the following personnel please report to the UN Forces Command Center?\2nd Lieutenant Justy Borgnine...\2nd Lieutenant Taki Rossman...\1st Lieutenant Yang Loo...\Nothing to do with me...\1st Lieutenant Marcos Myer...\Sergeant Hikaru Ichijo... response:	Now what?
context: Attention. Will the following personnel please report to the UN Forces Command Center?\2nd Lieutenant Justy Borgnine...\2nd Lieutenant Taki Rossman...\1st Lieutenant Yang Loo...\Nothing to do with me...\1st Lieutenant Marcos Myer...\Sergeant Hikaru Ichijo...\Now what? response:	Commander, should we really be launching an attack without orders?
context: 2nd Lieutenant Justy Borgnine...\2nd Lieutenant Taki Rossman...\1st Lieutenant Yang Loo...\Nothing to do with me...\1st Lieutenant Marcos Myer...\Sergeant Hikaru Ichijo...\Now what?\Commander, should we really be launching an attack without orders? response:	This is a training flight, nothing more.
context: 2nd Lieutenant Taki Rossman...\1st Lieutenant Yang Loo...\Nothing to do with me...\1st Lieutenant Marcos Myer...\Sergeant Hikaru Ichijo...\Now what?\Commander, should we really be launching an attack without orders?\This is a training flight, nothing more. response:	We'll just happen to accidentally encounter the enemy.
context: 1st Lieutenant Yang Loo...\Nothing to do with me...\1st Lieutenant Marcos Myer...\Sergeant Hikaru Ichijo...\Now what?\Commander, should we really be launching an attack without orders?\This is a training flight, nothing more.\We'll just happen to accidentally encounter the enemy. response:	I gotcha. Old Man Britai will be pretty steamed, though.
context: Nothing to do with me...\1st Lieutenant Marcos Myer...\Sergeant Hikaru Ichijo...\Now what?\Commander, should we really be launching an attack without orders?\This is a training flight, nothing more.\We'll just happen to accidentally encounter the enemy.\I gotcha. Old Man Britai will be pretty steamed, though. response:	Forget that! This time, we fight by the rules of the Kamujin Clan!
context: 1st Lieutenant Marcos Myer...\Sergeant Hikaru Ichijo...\Now what?\Commander, should we really be launching an attack without orders?\This is a training flight, nothing more.\We'll just happen to accidentally encounter the enemy.\I gotcha. Old Man Britai will be pretty steamed, though.\Forget that! This time, we fight by the rules of the Kamujin Clan! response:	Your group will be the decoys. Don't screw it up!
context: Sergeant Hikaru Ichijo...\Now what?\Commander, should we really be launching an attack without orders?\This is a training flight, nothing more.\We'll just happen to accidentally encounter the enemy.\I gotcha. Old Man Britai will be pretty steamed, though.\Forget that! This time, we fight by the rules of the Kamujin Clan!\Your group will be the decoys. Don't screw it up! response:	Roger that. Let's give them a real show!
context: Now what?\Commander, should we really be launching an attack without orders?\This is a training flight, nothing more.\We'll just happen to accidentally encounter the enemy.\I gotcha. Old Man Britai will be pretty steamed, though.\Forget that! This time, we fight by the rules of the Kamujin Clan!\Your group will be the decoys. Don't screw it up!\Roger that. Let's give them a real show! response:	Hikaru Ichijo reporting.
context: Commander, should we really be launching an attack without orders?\This is a training flight, nothing more.\We'll just happen to accidentally encounter the enemy.\I gotcha. Old Man Britai will be pretty steamed, though.\Forget that! This time, we fight by the rules of the Kamujin Clan!\Your group will be the decoys. Don't screw it up!\Roger that. Let's give them a real show!\Hikaru Ichijo reporting. response:	This way, please.
context: This is a training flight, nothing more.\We'll just happen to accidentally encounter the enemy.\I gotcha. Old Man Britai will be pretty steamed, though.\Forget that! This time, we fight by the rules of the Kamujin Clan!\Your group will be the decoys. Don't screw it up!\Roger that. Let's give them a real show!\Hikaru Ichijo reporting.\This way, please. response:	It looks like everyone's here. Very well, let's begin.
context: We'll just happen to accidentally encounter the enemy.\I gotcha. Old Man Britai will be pretty steamed, though.\Forget that! This time, we fight by the rules of the Kamujin Clan!\Your group will be the decoys. Don't screw it up!\Roger that. Let's give them a real show!\Hikaru Ichijo reporting.\This way, please.\It looks like everyone's here. Very well, let's begin. response:	All of you assembled here today distinguished yourselves
context: I gotcha. Old Man Britai will be pretty steamed, though.\Forget that! This time, we fight by the rules of the Kamujin Clan!\Your group will be the decoys. Don't screw it up!\Roger that. Let's give them a real show!\Hikaru Ichijo reporting.\This way, please.\It looks like everyone's here. Very well, let's begin.\All of you assembled here today distinguished yourselves response:	during the battle on Mars.
context: Forget that! This time, we fight by the rules of the Kamujin Clan!\Your group will be the decoys. Don't screw it up!\Roger that. Let's give them a real show!\Hikaru Ichijo reporting.\This way, please.\It looks like everyone's here. Very well, let's begin.\All of you assembled here today distinguished yourselves\during the battle on Mars. response:	In recognition of your valor,
context: Your group will be the decoys. Don't screw it up!\Roger that. Let's give them a real show!\Hikaru Ichijo reporting.\This way, please.\It looks like everyone's here. Very well, let's begin.\All of you assembled here today distinguished yourselves\during the battle on Mars.\In recognition of your valor, response:	we hereby award you the UN Forces Titanium Medal.
