context: All four of you are going to hell. response:	Nii-san's the only one that stands a chance anymore!
context: All four of you are going to hell.\Nii-san's the only one that stands a chance anymore! response:	Kageyama-kun, use all of your powers!
context: All four of you are going to hell.\Nii-san's the only one that stands a chance anymore!\Kageyama-kun, use all of your powers! response:	I can't let them all die.
context: All four of you are going to hell.\Nii-san's the only one that stands a chance anymore!\Kageyama-kun, use all of your powers!\I can't let them all die. response:	I have no choice but to fight with all I've got.
context: All four of you are going to hell.\Nii-san's the only one that stands a chance anymore!\Kageyama-kun, use all of your powers!\I can't let them all die.\I have no choice but to fight with all I've got. response:	Don't do it, Mob.
context: All four of you are going to hell.\Nii-san's the only one that stands a chance anymore!\Kageyama-kun, use all of your powers!\I can't let them all die.\I have no choice but to fight with all I've got.\Don't do it, Mob. response:	When things go south, it's okay to run away!
context: All four of you are going to hell.\Nii-san's the only one that stands a chance anymore!\Kageyama-kun, use all of your powers!\I can't let them all die.\I have no choice but to fight with all I've got.\Don't do it, Mob.\When things go south, it's okay to run away! response:	Damn it! I can't believe this is happening.
context: All four of you are going to hell.\Nii-san's the only one that stands a chance anymore!\Kageyama-kun, use all of your powers!\I can't let them all die.\I have no choice but to fight with all I've got.\Don't do it, Mob.\When things go south, it's okay to run away!\Damn it! I can't believe this is happening. response:	R-Reigen-san just...
context: Nii-san's the only one that stands a chance anymore!\Kageyama-kun, use all of your powers!\I can't let them all die.\I have no choice but to fight with all I've got.\Don't do it, Mob.\When things go south, it's okay to run away!\Damn it! I can't believe this is happening.\R-Reigen-san just... response:	I have a bad feeling about this...
context: Kageyama-kun, use all of your powers!\I can't let them all die.\I have no choice but to fight with all I've got.\Don't do it, Mob.\When things go south, it's okay to run away!\Damn it! I can't believe this is happening.\R-Reigen-san just...\I have a bad feeling about this... response:	A tremendous amount of stress is going to hit Nii-san.
context: I can't let them all die.\I have no choice but to fight with all I've got.\Don't do it, Mob.\When things go south, it's okay to run away!\Damn it! I can't believe this is happening.\R-Reigen-san just...\I have a bad feeling about this...\A tremendous amount of stress is going to hit Nii-san. response:	Something's going to happen!
context: I have no choice but to fight with all I've got.\Don't do it, Mob.\When things go south, it's okay to run away!\Damn it! I can't believe this is happening.\R-Reigen-san just...\I have a bad feeling about this...\A tremendous amount of stress is going to hit Nii-san.\Something's going to happen! response:	Mob Psycho 100
context: Don't do it, Mob.\When things go south, it's okay to run away!\Damn it! I can't believe this is happening.\R-Reigen-san just...\I have a bad feeling about this...\A tremendous amount of stress is going to hit Nii-san.\Something's going to happen!\Mob Psycho 100 response:	Honestly...
context: When things go south, it's okay to run away!\Damn it! I can't believe this is happening.\R-Reigen-san just...\I have a bad feeling about this...\A tremendous amount of stress is going to hit Nii-san.\Something's going to happen!\Mob Psycho 100\Honestly... response:	Honestly, I don't want to hurt anyone.
context: Damn it! I can't believe this is happening.\R-Reigen-san just...\I have a bad feeling about this...\A tremendous amount of stress is going to hit Nii-san.\Something's going to happen!\Mob Psycho 100\Honestly...\Honestly, I don't want to hurt anyone. response:	But if I don't, we're going to be killed.
context: R-Reigen-san just...\I have a bad feeling about this...\A tremendous amount of stress is going to hit Nii-san.\Something's going to happen!\Mob Psycho 100\Honestly...\Honestly, I don't want to hurt anyone.\But if I don't, we're going to be killed. response:	That's the feeling I got.
context: I have a bad feeling about this...\A tremendous amount of stress is going to hit Nii-san.\Something's going to happen!\Mob Psycho 100\Honestly...\Honestly, I don't want to hurt anyone.\But if I don't, we're going to be killed.\That's the feeling I got. response:	I realized that I have to do it in order to protect everyone.
context: A tremendous amount of stress is going to hit Nii-san.\Something's going to happen!\Mob Psycho 100\Honestly...\Honestly, I don't want to hurt anyone.\But if I don't, we're going to be killed.\That's the feeling I got.\I realized that I have to do it in order to protect everyone. response:	That's the kind of situation we're in right now.
context: Something's going to happen!\Mob Psycho 100\Honestly...\Honestly, I don't want to hurt anyone.\But if I don't, we're going to be killed.\That's the feeling I got.\I realized that I have to do it in order to protect everyone.\That's the kind of situation we're in right now. response:	Nii-san...
context: Mob Psycho 100\Honestly...\Honestly, I don't want to hurt anyone.\But if I don't, we're going to be killed.\That's the feeling I got.\I realized that I have to do it in order to protect everyone.\That's the kind of situation we're in right now.\Nii-san... response:	And yet...
context: Honestly...\Honestly, I don't want to hurt anyone.\But if I don't, we're going to be killed.\That's the feeling I got.\I realized that I have to do it in order to protect everyone.\That's the kind of situation we're in right now.\Nii-san...\And yet... response:	Run Away
context: Honestly, I don't want to hurt anyone.\But if I don't, we're going to be killed.\That's the feeling I got.\I realized that I have to do it in order to protect everyone.\That's the kind of situation we're in right now.\Nii-san...\And yet...\Run Away response:	Master told me
context: But if I don't, we're going to be killed.\That's the feeling I got.\I realized that I have to do it in order to protect everyone.\That's the kind of situation we're in right now.\Nii-san...\And yet...\Run Away\Master told me response:	Don't Fight
context: That's the feeling I got.\I realized that I have to do it in order to protect everyone.\That's the kind of situation we're in right now.\Nii-san...\And yet...\Run Away\Master told me\Don't Fight response:	that it was okay to run away.
context: I realized that I have to do it in order to protect everyone.\That's the kind of situation we're in right now.\Nii-san...\And yet...\Run Away\Master told me\Don't Fight\that it was okay to run away. response:	So...
context: That's the kind of situation we're in right now.\Nii-san...\And yet...\Run Away\Master told me\Don't Fight\that it was okay to run away.\So... response:	Leave it
context: Nii-san...\And yet...\Run Away\Master told me\Don't Fight\that it was okay to run away.\So...\Leave it response:	to Master
context: And yet...\Run Away\Master told me\Don't Fight\that it was okay to run away.\So...\Leave it\to Master response:	I-Impossible...
context: Run Away\Master told me\Don't Fight\that it was okay to run away.\So...\Leave it\to Master\I-Impossible... response:	Don't scare me like that!
context: Master told me\Don't Fight\that it was okay to run away.\So...\Leave it\to Master\I-Impossible...\Don't scare me like that! response:	I thought you actually cut me for a sec.
context: Don't Fight\that it was okay to run away.\So...\Leave it\to Master\I-Impossible...\Don't scare me like that!\I thought you actually cut me for a sec. response:	How are you standing, Reigen-san?
context: that it was okay to run away.\So...\Leave it\to Master\I-Impossible...\Don't scare me like that!\I thought you actually cut me for a sec.\How are you standing, Reigen-san? response:	So that katana was a fake after all.
context: So...\Leave it\to Master\I-Impossible...\Don't scare me like that!\I thought you actually cut me for a sec.\How are you standing, Reigen-san?\So that katana was a fake after all. response:	It totally felt plastic.
context: Leave it\to Master\I-Impossible...\Don't scare me like that!\I thought you actually cut me for a sec.\How are you standing, Reigen-san?\So that katana was a fake after all.\It totally felt plastic. response:	So what kind of trick did you use to cut the floor earlier?
context: to Master\I-Impossible...\Don't scare me like that!\I thought you actually cut me for a sec.\How are you standing, Reigen-san?\So that katana was a fake after all.\It totally felt plastic.\So what kind of trick did you use to cut the floor earlier? response:	Hey, what's going on?
context: I-Impossible...\Don't scare me like that!\I thought you actually cut me for a sec.\How are you standing, Reigen-san?\So that katana was a fake after all.\It totally felt plastic.\So what kind of trick did you use to cut the floor earlier?\Hey, what's going on? response:	He's acting like he usually does.
context: Don't scare me like that!\I thought you actually cut me for a sec.\How are you standing, Reigen-san?\So that katana was a fake after all.\It totally felt plastic.\So what kind of trick did you use to cut the floor earlier?\Hey, what's going on?\He's acting like he usually does. response:	Then... I'll just chop off your head next!
context: I thought you actually cut me for a sec.\How are you standing, Reigen-san?\So that katana was a fake after all.\It totally felt plastic.\So what kind of trick did you use to cut the floor earlier?\Hey, what's going on?\He's acting like he usually does.\Then... I'll just chop off your head next! response:	Ow!
context: How are you standing, Reigen-san?\So that katana was a fake after all.\It totally felt plastic.\So what kind of trick did you use to cut the floor earlier?\Hey, what's going on?\He's acting like he usually does.\Then... I'll just chop off your head next!\Ow! response:	Listen...
