context: Yukimori response:	They've made the new Division 5 personnel assignments.
context: Yukimori\They've made the new Division 5 personnel assignments. response:	Effective today, F Squad will be led by Lieutenant Ishimaru, formerly of A Squad,
context: Yukimori\They've made the new Division 5 personnel assignments.\Effective today, F Squad will be led by Lieutenant Ishimaru, formerly of A Squad, response:	and former squad leader Sawazaki and Division 1 Asami will take orders from him.
context: Yukimori\They've made the new Division 5 personnel assignments.\Effective today, F Squad will be led by Lieutenant Ishimaru, formerly of A Squad,\and former squad leader Sawazaki and Division 1 Asami will take orders from him. response:	I can't believe I get to work with you again.
context: Yukimori\They've made the new Division 5 personnel assignments.\Effective today, F Squad will be led by Lieutenant Ishimaru, formerly of A Squad,\and former squad leader Sawazaki and Division 1 Asami will take orders from him.\I can't believe I get to work with you again. response:	I asked for it. Demanded it, actually.
context: Yukimori\They've made the new Division 5 personnel assignments.\Effective today, F Squad will be led by Lieutenant Ishimaru, formerly of A Squad,\and former squad leader Sawazaki and Division 1 Asami will take orders from him.\I can't believe I get to work with you again.\I asked for it. Demanded it, actually. response:	It was A Squad's Kikuhara who pushed for the change.
context: Yukimori\They've made the new Division 5 personnel assignments.\Effective today, F Squad will be led by Lieutenant Ishimaru, formerly of A Squad,\and former squad leader Sawazaki and Division 1 Asami will take orders from him.\I can't believe I get to work with you again.\I asked for it. Demanded it, actually.\It was A Squad's Kikuhara who pushed for the change. response:	At first, they didn't have any plans to add anyone to F Squad.
context: Yukimori\They've made the new Division 5 personnel assignments.\Effective today, F Squad will be led by Lieutenant Ishimaru, formerly of A Squad,\and former squad leader Sawazaki and Division 1 Asami will take orders from him.\I can't believe I get to work with you again.\I asked for it. Demanded it, actually.\It was A Squad's Kikuhara who pushed for the change.\At first, they didn't have any plans to add anyone to F Squad. response:	But then out of nowhere, he started claiming you can't control your devils.
context: They've made the new Division 5 personnel assignments.\Effective today, F Squad will be led by Lieutenant Ishimaru, formerly of A Squad,\and former squad leader Sawazaki and Division 1 Asami will take orders from him.\I can't believe I get to work with you again.\I asked for it. Demanded it, actually.\It was A Squad's Kikuhara who pushed for the change.\At first, they didn't have any plans to add anyone to F Squad.\But then out of nowhere, he started claiming you can't control your devils. response:	It just didn't sit right with me.
context: Effective today, F Squad will be led by Lieutenant Ishimaru, formerly of A Squad,\and former squad leader Sawazaki and Division 1 Asami will take orders from him.\I can't believe I get to work with you again.\I asked for it. Demanded it, actually.\It was A Squad's Kikuhara who pushed for the change.\At first, they didn't have any plans to add anyone to F Squad.\But then out of nowhere, he started claiming you can't control your devils.\It just didn't sit right with me. response:	I don't trust him. Him or the new leader he was so eager replace you with.
context: and former squad leader Sawazaki and Division 1 Asami will take orders from him.\I can't believe I get to work with you again.\I asked for it. Demanded it, actually.\It was A Squad's Kikuhara who pushed for the change.\At first, they didn't have any plans to add anyone to F Squad.\But then out of nowhere, he started claiming you can't control your devils.\It just didn't sit right with me.\I don't trust him. Him or the new leader he was so eager replace you with. response:	A new leader, huh?
context: I can't believe I get to work with you again.\I asked for it. Demanded it, actually.\It was A Squad's Kikuhara who pushed for the change.\At first, they didn't have any plans to add anyone to F Squad.\But then out of nowhere, he started claiming you can't control your devils.\It just didn't sit right with me.\I don't trust him. Him or the new leader he was so eager replace you with.\A new leader, huh? response:	If he's in charge, I'll have to introduce him to Anzai and Jill.
context: I asked for it. Demanded it, actually.\It was A Squad's Kikuhara who pushed for the change.\At first, they didn't have any plans to add anyone to F Squad.\But then out of nowhere, he started claiming you can't control your devils.\It just didn't sit right with me.\I don't trust him. Him or the new leader he was so eager replace you with.\A new leader, huh?\If he's in charge, I'll have to introduce him to Anzai and Jill. response:	But you won't introduce me to anyone else?
context: It was A Squad's Kikuhara who pushed for the change.\At first, they didn't have any plans to add anyone to F Squad.\But then out of nowhere, he started claiming you can't control your devils.\It just didn't sit right with me.\I don't trust him. Him or the new leader he was so eager replace you with.\A new leader, huh?\If he's in charge, I'll have to introduce him to Anzai and Jill.\But you won't introduce me to anyone else? response:	Based on the state of the scene and witness testimony,
