context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: You're the one who gives me my future\Even on a road without signs, I'll be fine, if we're together response:	On a journey that I can't see ahead of, while I was lost, I found it
context: You're the one who gives me my future\Even on a road without signs, I'll be fine, if we're together\On a journey that I can't see ahead of, while I was lost, I found it response:	That my place to be is next to you
context: You're the one who gives me my future\Even on a road without signs, I'll be fine, if we're together\On a journey that I can't see ahead of, while I was lost, I found it\That my place to be is next to you response:	When we quarrelled, I let go of your hand again and again
context: You're the one who gives me my future\Even on a road without signs, I'll be fine, if we're together\On a journey that I can't see ahead of, while I was lost, I found it\That my place to be is next to you\When we quarrelled, I let go of your hand again and again response:	I want to pull close and hold it now
context: You're the one who gives me my future\Even on a road without signs, I'll be fine, if we're together\On a journey that I can't see ahead of, while I was lost, I found it\That my place to be is next to you\When we quarrelled, I let go of your hand again and again\I want to pull close and hold it now response:	You're the one who gives me my future
context: You're the one who gives me my future\Even on a road without signs, I'll be fine, if we're together\On a journey that I can't see ahead of, while I was lost, I found it\That my place to be is next to you\When we quarrelled, I let go of your hand again and again\I want to pull close and hold it now\You're the one who gives me my future response:	If I'm beaten down by the rain of tears
context: You're the one who gives me my future\Even on a road without signs, I'll be fine, if we're together\On a journey that I can't see ahead of, while I was lost, I found it\That my place to be is next to you\When we quarrelled, I let go of your hand again and again\I want to pull close and hold it now\You're the one who gives me my future\If I'm beaten down by the rain of tears response:	I wanna hold you, call my name immediately
context: Even on a road without signs, I'll be fine, if we're together\On a journey that I can't see ahead of, while I was lost, I found it\That my place to be is next to you\When we quarrelled, I let go of your hand again and again\I want to pull close and hold it now\You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately response:	I'll go embrace you
context: On a journey that I can't see ahead of, while I was lost, I found it\That my place to be is next to you\When we quarrelled, I let go of your hand again and again\I want to pull close and hold it now\You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you response:	I'll accept sadness and bluffing in my hands
context: That my place to be is next to you\When we quarrelled, I let go of your hand again and again\I want to pull close and hold it now\You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands response:	Boy
context: When we quarrelled, I let go of your hand again and again\I want to pull close and hold it now\You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy response:	I suddenly turned my back on you and ran away
context: I want to pull close and hold it now\You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away response:	Because you've been so gentle to many other girls
