context: Budogaoka Bank response:	Great Year-End Lottery
context: Budogaoka Bank\Great Year-End Lottery response:	Congratulations on your entry.
context: Budogaoka Bank\Great Year-End Lottery\Congratulations on your entry. response:	You've come just before the expiration date,
context: Budogaoka Bank\Great Year-End Lottery\Congratulations on your entry.\You've come just before the expiration date, response:	but you've indeed won the third place prize, five million yen.
context: Budogaoka Bank\Great Year-End Lottery\Congratulations on your entry.\You've come just before the expiration date,\but you've indeed won the third place prize, five million yen. response:	Now, then... Here you go.
context: Budogaoka Bank\Great Year-End Lottery\Congratulations on your entry.\You've come just before the expiration date,\but you've indeed won the third place prize, five million yen.\Now, then... Here you go. response:	This is the promissory note for five million yen.
context: Budogaoka Bank\Great Year-End Lottery\Congratulations on your entry.\You've come just before the expiration date,\but you've indeed won the third place prize, five million yen.\Now, then... Here you go.\This is the promissory note for five million yen. response:	Morioh Station Branch
context: Budogaoka Bank\Great Year-End Lottery\Congratulations on your entry.\You've come just before the expiration date,\but you've indeed won the third place prize, five million yen.\Now, then... Here you go.\This is the promissory note for five million yen.\Morioh Station Branch response:	As it states on the paperwork, you'll be able to cash it in three days.
context: Great Year-End Lottery\Congratulations on your entry.\You've come just before the expiration date,\but you've indeed won the third place prize, five million yen.\Now, then... Here you go.\This is the promissory note for five million yen.\Morioh Station Branch\As it states on the paperwork, you'll be able to cash it in three days. response:	Promissory Note
context: Congratulations on your entry.\You've come just before the expiration date,\but you've indeed won the third place prize, five million yen.\Now, then... Here you go.\This is the promissory note for five million yen.\Morioh Station Branch\As it states on the paperwork, you'll be able to cash it in three days.\Promissory Note response:	Budogaoka Bank Morioh Station Branch
context: You've come just before the expiration date,\but you've indeed won the third place prize, five million yen.\Now, then... Here you go.\This is the promissory note for five million yen.\Morioh Station Branch\As it states on the paperwork, you'll be able to cash it in three days.\Promissory Note\Budogaoka Bank Morioh Station Branch response:	Total
context: but you've indeed won the third place prize, five million yen.\Now, then... Here you go.\This is the promissory note for five million yen.\Morioh Station Branch\As it states on the paperwork, you'll be able to cash it in three days.\Promissory Note\Budogaoka Bank Morioh Station Branch\Total response:	Please pay the amount stated above in exchange for this promissory note.
context: Now, then... Here you go.\This is the promissory note for five million yen.\Morioh Station Branch\As it states on the paperwork, you'll be able to cash it in three days.\Promissory Note\Budogaoka Bank Morioh Station Branch\Total\Please pay the amount stated above in exchange for this promissory note. response:	One, ten, hundred, thousand...
