context: Are you nervous? response:	No, it's just a track meet.
context: Are you nervous?\No, it's just a track meet. response:	Right, just a track meet.
context: Are you nervous?\No, it's just a track meet.\Right, just a track meet. response:	Episode 5: Hinode Bridge
context: Are you nervous?\No, it's just a track meet.\Right, just a track meet.\Episode 5: Hinode Bridge response:	He's smiling.
context: Are you nervous?\No, it's just a track meet.\Right, just a track meet.\Episode 5: Hinode Bridge\He's smiling. response:	Ready...
context: Are you nervous?\No, it's just a track meet.\Right, just a track meet.\Episode 5: Hinode Bridge\He's smiling.\Ready... response:	Ready...
context: Are you nervous?\No, it's just a track meet.\Right, just a track meet.\Episode 5: Hinode Bridge\He's smiling.\Ready...\Ready... response:	Hey.
context: Are you nervous?\No, it's just a track meet.\Right, just a track meet.\Episode 5: Hinode Bridge\He's smiling.\Ready...\Ready...\Hey. response:	Long time.
context: No, it's just a track meet.\Right, just a track meet.\Episode 5: Hinode Bridge\He's smiling.\Ready...\Ready...\Hey.\Long time. response:	How've you been?
context: Right, just a track meet.\Episode 5: Hinode Bridge\He's smiling.\Ready...\Ready...\Hey.\Long time.\How've you been? response:	Not bad.
context: Episode 5: Hinode Bridge\He's smiling.\Ready...\Ready...\Hey.\Long time.\How've you been?\Not bad. response:	How was it?
context: He's smiling.\Ready...\Ready...\Hey.\Long time.\How've you been?\Not bad.\How was it? response:	Must be hard to get back into it.
context: Ready...\Ready...\Hey.\Long time.\How've you been?\Not bad.\How was it?\Must be hard to get back into it. response:	I'm here.
context: Ready...\Hey.\Long time.\How've you been?\Not bad.\How was it?\Must be hard to get back into it.\I'm here. response:	Is that
context: Hey.\Long time.\How've you been?\Not bad.\How was it?\Must be hard to get back into it.\I'm here.\Is that response:	I'm jealous.
context: Long time.\How've you been?\Not bad.\How was it?\Must be hard to get back into it.\I'm here.\Is that\I'm jealous. response:	I'm Matsuda. I'm run sprints.
context: How've you been?\Not bad.\How was it?\Must be hard to get back into it.\I'm here.\Is that\I'm jealous.\I'm Matsuda. I'm run sprints. response:	I'm Nagai. I do hurdles.
context: Not bad.\How was it?\Must be hard to get back into it.\I'm here.\Is that\I'm jealous.\I'm Matsuda. I'm run sprints.\I'm Nagai. I do hurdles. response:	I'm Hyouno.
context: How was it?\Must be hard to get back into it.\I'm here.\Is that\I'm jealous.\I'm Matsuda. I'm run sprints.\I'm Nagai. I do hurdles.\I'm Hyouno. response:	I'm Yukinari's
context: Must be hard to get back into it.\I'm here.\Is that\I'm jealous.\I'm Matsuda. I'm run sprints.\I'm Nagai. I do hurdles.\I'm Hyouno.\I'm Yukinari's response:	Who cares, Yanagi. Let's go.
context: I'm here.\Is that\I'm jealous.\I'm Matsuda. I'm run sprints.\I'm Nagai. I do hurdles.\I'm Hyouno.\I'm Yukinari's\Who cares, Yanagi. Let's go. response:	They call each other by their first names.
context: Is that\I'm jealous.\I'm Matsuda. I'm run sprints.\I'm Nagai. I do hurdles.\I'm Hyouno.\I'm Yukinari's\Who cares, Yanagi. Let's go.\They call each other by their first names. response:	Yukinari, don't use up all your energy.
context: I'm jealous.\I'm Matsuda. I'm run sprints.\I'm Nagai. I do hurdles.\I'm Hyouno.\I'm Yukinari's\Who cares, Yanagi. Let's go.\They call each other by their first names.\Yukinari, don't use up all your energy. response:	You guys should
context: I'm Matsuda. I'm run sprints.\I'm Nagai. I do hurdles.\I'm Hyouno.\I'm Yukinari's\Who cares, Yanagi. Let's go.\They call each other by their first names.\Yukinari, don't use up all your energy.\You guys should response:	get some release, too, or it'll hurt your performance.
context: I'm Nagai. I do hurdles.\I'm Hyouno.\I'm Yukinari's\Who cares, Yanagi. Let's go.\They call each other by their first names.\Yukinari, don't use up all your energy.\You guys should\get some release, too, or it'll hurt your performance. response:	The fireworks were awesome the other day.
context: I'm Hyouno.\I'm Yukinari's\Who cares, Yanagi. Let's go.\They call each other by their first names.\Yukinari, don't use up all your energy.\You guys should\get some release, too, or it'll hurt your performance.\The fireworks were awesome the other day. response:	I wish I saw it.
context: I'm Yukinari's\Who cares, Yanagi. Let's go.\They call each other by their first names.\Yukinari, don't use up all your energy.\You guys should\get some release, too, or it'll hurt your performance.\The fireworks were awesome the other day.\I wish I saw it. response:	Next year, for sure.
context: Who cares, Yanagi. Let's go.\They call each other by their first names.\Yukinari, don't use up all your energy.\You guys should\get some release, too, or it'll hurt your performance.\The fireworks were awesome the other day.\I wish I saw it.\Next year, for sure. response:	They're really huge up close!
context: They call each other by their first names.\Yukinari, don't use up all your energy.\You guys should\get some release, too, or it'll hurt your performance.\The fireworks were awesome the other day.\I wish I saw it.\Next year, for sure.\They're really huge up close! response:	Are you sure you should have said that?
context: Yukinari, don't use up all your energy.\You guys should\get some release, too, or it'll hurt your performance.\The fireworks were awesome the other day.\I wish I saw it.\Next year, for sure.\They're really huge up close!\Are you sure you should have said that? response:	They're going to start rumors.
context: You guys should\get some release, too, or it'll hurt your performance.\The fireworks were awesome the other day.\I wish I saw it.\Next year, for sure.\They're really huge up close!\Are you sure you should have said that?\They're going to start rumors. response:	Let them.
context: get some release, too, or it'll hurt your performance.\The fireworks were awesome the other day.\I wish I saw it.\Next year, for sure.\They're really huge up close!\Are you sure you should have said that?\They're going to start rumors.\Let them. response:	I just remembered I have something to do. See you.
context: The fireworks were awesome the other day.\I wish I saw it.\Next year, for sure.\They're really huge up close!\Are you sure you should have said that?\They're going to start rumors.\Let them.\I just remembered I have something to do. See you. response:	Hey,
context: I wish I saw it.\Next year, for sure.\They're really huge up close!\Are you sure you should have said that?\They're going to start rumors.\Let them.\I just remembered I have something to do. See you.\Hey, response:	is Hiro-kun on another...
context: Next year, for sure.\They're really huge up close!\Are you sure you should have said that?\They're going to start rumors.\Let them.\I just remembered I have something to do. See you.\Hey,\is Hiro-kun on another... response:	A date, I think.
context: They're really huge up close!\Are you sure you should have said that?\They're going to start rumors.\Let them.\I just remembered I have something to do. See you.\Hey,\is Hiro-kun on another...\A date, I think. response:	If you don't mind me asking, whom's he with?
context: Are you sure you should have said that?\They're going to start rumors.\Let them.\I just remembered I have something to do. See you.\Hey,\is Hiro-kun on another...\A date, I think.\If you don't mind me asking, whom's he with? response:	I wouldn't know.
context: They're going to start rumors.\Let them.\I just remembered I have something to do. See you.\Hey,\is Hiro-kun on another...\A date, I think.\If you don't mind me asking, whom's he with?\I wouldn't know. response:	That's right.
context: Let them.\I just remembered I have something to do. See you.\Hey,\is Hiro-kun on another...\A date, I think.\If you don't mind me asking, whom's he with?\I wouldn't know.\That's right. response:	Of course you wouldn't.
context: I just remembered I have something to do. See you.\Hey,\is Hiro-kun on another...\A date, I think.\If you don't mind me asking, whom's he with?\I wouldn't know.\That's right.\Of course you wouldn't. response:	Touko-san, was it?
context: Hey,\is Hiro-kun on another...\A date, I think.\If you don't mind me asking, whom's he with?\I wouldn't know.\That's right.\Of course you wouldn't.\Touko-san, was it? response:	Yes.
context: is Hiro-kun on another...\A date, I think.\If you don't mind me asking, whom's he with?\I wouldn't know.\That's right.\Of course you wouldn't.\Touko-san, was it?\Yes. response:	You've become even
context: A date, I think.\If you don't mind me asking, whom's he with?\I wouldn't know.\That's right.\Of course you wouldn't.\Touko-san, was it?\Yes.\You've become even response:	more of a lady lately.
context: If you don't mind me asking, whom's he with?\I wouldn't know.\That's right.\Of course you wouldn't.\Touko-san, was it?\Yes.\You've become even\more of a lady lately. response:	Summer is the season of love, huh?
context: I wouldn't know.\That's right.\Of course you wouldn't.\Touko-san, was it?\Yes.\You've become even\more of a lady lately.\Summer is the season of love, huh? response:	Excuse me, I've said too much to a dear customer.
context: That's right.\Of course you wouldn't.\Touko-san, was it?\Yes.\You've become even\more of a lady lately.\Summer is the season of love, huh?\Excuse me, I've said too much to a dear customer. response:	No, it's fine.
context: Of course you wouldn't.\Touko-san, was it?\Yes.\You've become even\more of a lady lately.\Summer is the season of love, huh?\Excuse me, I've said too much to a dear customer.\No, it's fine. response:	Let me bring you a cookie to make up for it, on me.
context: Touko-san, was it?\Yes.\You've become even\more of a lady lately.\Summer is the season of love, huh?\Excuse me, I've said too much to a dear customer.\No, it's fine.\Let me bring you a cookie to make up for it, on me. response:	Thanks.
context: Yes.\You've become even\more of a lady lately.\Summer is the season of love, huh?\Excuse me, I've said too much to a dear customer.\No, it's fine.\Let me bring you a cookie to make up for it, on me.\Thanks. response:	Thanks.
context: You've become even\more of a lady lately.\Summer is the season of love, huh?\Excuse me, I've said too much to a dear customer.\No, it's fine.\Let me bring you a cookie to make up for it, on me.\Thanks.\Thanks. response:	Sacchan
context: more of a lady lately.\Summer is the season of love, huh?\Excuse me, I've said too much to a dear customer.\No, it's fine.\Let me bring you a cookie to make up for it, on me.\Thanks.\Thanks.\Sacchan response:	No way.
context: Summer is the season of love, huh?\Excuse me, I've said too much to a dear customer.\No, it's fine.\Let me bring you a cookie to make up for it, on me.\Thanks.\Thanks.\Sacchan\No way. response:	But, then...
context: Excuse me, I've said too much to a dear customer.\No, it's fine.\Let me bring you a cookie to make up for it, on me.\Thanks.\Thanks.\Sacchan\No way.\But, then... response:	Who? Who?!
context: No, it's fine.\Let me bring you a cookie to make up for it, on me.\Thanks.\Thanks.\Sacchan\No way.\But, then...\Who? Who?! response:	Thanks for earlier.
context: Let me bring you a cookie to make up for it, on me.\Thanks.\Thanks.\Sacchan\No way.\But, then...\Who? Who?!\Thanks for earlier. response:	You chased me down all out of breath just to say that?
context: Thanks.\Thanks.\Sacchan\No way.\But, then...\Who? Who?!\Thanks for earlier.\You chased me down all out of breath just to say that? response:	I wanted to talk to you about something.
context: Thanks.\Sacchan\No way.\But, then...\Who? Who?!\Thanks for earlier.\You chased me down all out of breath just to say that?\I wanted to talk to you about something. response:	I bet you've done it before, too.
context: Sacchan\No way.\But, then...\Who? Who?!\Thanks for earlier.\You chased me down all out of breath just to say that?\I wanted to talk to you about something.\I bet you've done it before, too. response:	Talking to the plaster figure in the art room
context: No way.\But, then...\Who? Who?!\Thanks for earlier.\You chased me down all out of breath just to say that?\I wanted to talk to you about something.\I bet you've done it before, too.\Talking to the plaster figure in the art room response:	to gather your thoughts.
context: But, then...\Who? Who?!\Thanks for earlier.\You chased me down all out of breath just to say that?\I wanted to talk to you about something.\I bet you've done it before, too.\Talking to the plaster figure in the art room\to gather your thoughts. response:	Not really.
context: Who? Who?!\Thanks for earlier.\You chased me down all out of breath just to say that?\I wanted to talk to you about something.\I bet you've done it before, too.\Talking to the plaster figure in the art room\to gather your thoughts.\Not really. response:	Touko says she has.
context: Thanks for earlier.\You chased me down all out of breath just to say that?\I wanted to talk to you about something.\I bet you've done it before, too.\Talking to the plaster figure in the art room\to gather your thoughts.\Not really.\Touko says she has. response:	So are you saying I don't have to respond?
context: You chased me down all out of breath just to say that?\I wanted to talk to you about something.\I bet you've done it before, too.\Talking to the plaster figure in the art room\to gather your thoughts.\Not really.\Touko says she has.\So are you saying I don't have to respond? response:	Hello. Is Sacchan in?
context: I wanted to talk to you about something.\I bet you've done it before, too.\Talking to the plaster figure in the art room\to gather your thoughts.\Not really.\Touko says she has.\So are you saying I don't have to respond?\Hello. Is Sacchan in? response:	Touko-chan's here.
context: I bet you've done it before, too.\Talking to the plaster figure in the art room\to gather your thoughts.\Not really.\Touko says she has.\So are you saying I don't have to respond?\Hello. Is Sacchan in?\Touko-chan's here. response:	She was coming today?
context: Talking to the plaster figure in the art room\to gather your thoughts.\Not really.\Touko says she has.\So are you saying I don't have to respond?\Hello. Is Sacchan in?\Touko-chan's here.\She was coming today? response:	Yeah.
context: to gather your thoughts.\Not really.\Touko says she has.\So are you saying I don't have to respond?\Hello. Is Sacchan in?\Touko-chan's here.\She was coming today?\Yeah. response:	Touko-chan.
context: Not really.\Touko says she has.\So are you saying I don't have to respond?\Hello. Is Sacchan in?\Touko-chan's here.\She was coming today?\Yeah.\Touko-chan. response:	Is it okay?
context: Touko says she has.\So are you saying I don't have to respond?\Hello. Is Sacchan in?\Touko-chan's here.\She was coming today?\Yeah.\Touko-chan.\Is it okay? response:	I'll be right there.
context: So are you saying I don't have to respond?\Hello. Is Sacchan in?\Touko-chan's here.\She was coming today?\Yeah.\Touko-chan.\Is it okay?\I'll be right there. response:	Come in.
context: Hello. Is Sacchan in?\Touko-chan's here.\She was coming today?\Yeah.\Touko-chan.\Is it okay?\I'll be right there.\Come in. response:	Thank you.
context: Touko-chan's here.\She was coming today?\Yeah.\Touko-chan.\Is it okay?\I'll be right there.\Come in.\Thank you. response:	No problem.
context: She was coming today?\Yeah.\Touko-chan.\Is it okay?\I'll be right there.\Come in.\Thank you.\No problem. response:	What's wrong?
context: Yeah.\Touko-chan.\Is it okay?\I'll be right there.\Come in.\Thank you.\No problem.\What's wrong? response:	Nothing. Come in.
context: Touko-chan.\Is it okay?\I'll be right there.\Come in.\Thank you.\No problem.\What's wrong?\Nothing. Come in. response:	Okay.
context: Is it okay?\I'll be right there.\Come in.\Thank you.\No problem.\What's wrong?\Nothing. Come in.\Okay. response:	Huh...
context: I'll be right there.\Come in.\Thank you.\No problem.\What's wrong?\Nothing. Come in.\Okay.\Huh... response:	I think it's Mom.
