context: Karaoke response:	Signs
context: Karaoke\Signs response:	Subs
context: Karaoke\Signs\Subs response:	Presented by Soul Eater Fan Subs
context: Karaoke\Signs\Subs\Presented by Soul Eater Fan Subs response:	www.souleaterfan.com
context: Karaoke\Signs\Subs\Presented by Soul Eater Fan Subs\www.souleaterfan.com response:	If the light of connected souls points toward your heart
context: Karaoke\Signs\Subs\Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart response:	Can you now hear a resonance stronger than words?
context: Karaoke\Signs\Subs\Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words? response:	Our eyes barely even meet, but our fates are intertwined
context: Karaoke\Signs\Subs\Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined response:	Our destinations are the same,
context: Signs\Subs\Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same, response:	so run through the unbearable night along with me
context: Subs\Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me response:	Even if the radiance that we've chased so far
context: Presented by Soul Eater Fan Subs\www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far response:	Continues into bad dreams
context: www.souleaterfan.com\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams response:	If the light of connected souls points toward your heart
context: If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart response:	Can you now hear a resonance stronger than words?
context: Can you now hear a resonance stronger than words?\Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words? response:	It doesn't matter why we met, but the pain we suffered
context: Our eyes barely even meet, but our fates are intertwined\Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered response:	Of when we were entranced
context: Our destinations are the same,\so run through the unbearable night along with me\Even if the radiance that we've chased so far\Continues into bad dreams\If the light of connected souls points toward your heart\Can you now hear a resonance stronger than words?\It doesn't matter why we met, but the pain we suffered\Of when we were entranced response:	and touched each other can now become clear
