context: There's an emergency message from the Detention Corps! response:	The new Oracion Seis's aim isn't the destruction of churches!
context: There's an emergency message from the Detention Corps!\The new Oracion Seis's aim isn't the destruction of churches! response:	They're after Celestial Spirit Wizards who are being sheltered there!
context: There's an emergency message from the Detention Corps!\The new Oracion Seis's aim isn't the destruction of churches!\They're after Celestial Spirit Wizards who are being sheltered there! response:	Our top priority is finding them first and protecting them!
context: There's an emergency message from the Detention Corps!\The new Oracion Seis's aim isn't the destruction of churches!\They're after Celestial Spirit Wizards who are being sheltered there!\Our top priority is finding them first and protecting them! response:	Suddenly gotten a lot busier around here...
context: There's an emergency message from the Detention Corps!\The new Oracion Seis's aim isn't the destruction of churches!\They're after Celestial Spirit Wizards who are being sheltered there!\Our top priority is finding them first and protecting them!\Suddenly gotten a lot busier around here... response:	What?! Our Michelle is...?!
context: There's an emergency message from the Detention Corps!\The new Oracion Seis's aim isn't the destruction of churches!\They're after Celestial Spirit Wizards who are being sheltered there!\Our top priority is finding them first and protecting them!\Suddenly gotten a lot busier around here...\What?! Our Michelle is...?! response:	Not definitely an impostor,
context: There's an emergency message from the Detention Corps!\The new Oracion Seis's aim isn't the destruction of churches!\They're after Celestial Spirit Wizards who are being sheltered there!\Our top priority is finding them first and protecting them!\Suddenly gotten a lot busier around here...\What?! Our Michelle is...?!\Not definitely an impostor, response:	but it's highly probable.
context: There's an emergency message from the Detention Corps!\The new Oracion Seis's aim isn't the destruction of churches!\They're after Celestial Spirit Wizards who are being sheltered there!\Our top priority is finding them first and protecting them!\Suddenly gotten a lot busier around here...\What?! Our Michelle is...?!\Not definitely an impostor,\but it's highly probable. response:	After all, we've got the real one right here.
context: The new Oracion Seis's aim isn't the destruction of churches!\They're after Celestial Spirit Wizards who are being sheltered there!\Our top priority is finding them first and protecting them!\Suddenly gotten a lot busier around here...\What?! Our Michelle is...?!\Not definitely an impostor,\but it's highly probable.\After all, we've got the real one right here. response:	Understood! I'll pass it on to Master and Lucy.
context: They're after Celestial Spirit Wizards who are being sheltered there!\Our top priority is finding them first and protecting them!\Suddenly gotten a lot busier around here...\What?! Our Michelle is...?!\Not definitely an impostor,\but it's highly probable.\After all, we've got the real one right here.\Understood! I'll pass it on to Master and Lucy. response:	We'll take this girl to a nearby hospital.
context: Our top priority is finding them first and protecting them!\Suddenly gotten a lot busier around here...\What?! Our Michelle is...?!\Not definitely an impostor,\but it's highly probable.\After all, we've got the real one right here.\Understood! I'll pass it on to Master and Lucy.\We'll take this girl to a nearby hospital. response:	What the hell's going on?!
context: Suddenly gotten a lot busier around here...\What?! Our Michelle is...?!\Not definitely an impostor,\but it's highly probable.\After all, we've got the real one right here.\Understood! I'll pass it on to Master and Lucy.\We'll take this girl to a nearby hospital.\What the hell's going on?! response:	What does this mean?
context: What?! Our Michelle is...?!\Not definitely an impostor,\but it's highly probable.\After all, we've got the real one right here.\Understood! I'll pass it on to Master and Lucy.\We'll take this girl to a nearby hospital.\What the hell's going on?!\What does this mean? response:	Anyway, we've got to contact Natsu and the others!
