context: Hey, all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright, response:	and sit back from the screen, okay?
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail! response:	Is Gray crying?
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Is Gray crying? response:	Gray's teacher, Ul, turned her own body into the ice that sealed Deliora.
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Is Gray crying?\Gray's teacher, Ul, turned her own body into the ice that sealed Deliora. response:	He defeated his fellow student, Lyon, who was plotting on resurrecting the demon, but...
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Is Gray crying?\Gray's teacher, Ul, turned her own body into the ice that sealed Deliora.\He defeated his fellow student, Lyon, who was plotting on resurrecting the demon, but... response:	Deliora's been resurrected!
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Is Gray crying?\Gray's teacher, Ul, turned her own body into the ice that sealed Deliora.\He defeated his fellow student, Lyon, who was plotting on resurrecting the demon, but...\Deliora's been resurrected! response:	That's right, we can do it!
context: When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Is Gray crying?\Gray's teacher, Ul, turned her own body into the ice that sealed Deliora.\He defeated his fellow student, Lyon, who was plotting on resurrecting the demon, but...\Deliora's been resurrected!\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: and sit back from the screen, okay?\Previously on Fairy Tail!\Is Gray crying?\Gray's teacher, Ul, turned her own body into the ice that sealed Deliora.\He defeated his fellow student, Lyon, who was plotting on resurrecting the demon, but...\Deliora's been resurrected!\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
context: Previously on Fairy Tail!\Is Gray crying?\Gray's teacher, Ul, turned her own body into the ice that sealed Deliora.\He defeated his fellow student, Lyon, who was plotting on resurrecting the demon, but...\Deliora's been resurrected!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us response:	The whole world's a wonderland
context: Is Gray crying?\Gray's teacher, Ul, turned her own body into the ice that sealed Deliora.\He defeated his fellow student, Lyon, who was plotting on resurrecting the demon, but...\Deliora's been resurrected!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland response:	which we're already wondering!!!
context: Gray's teacher, Ul, turned her own body into the ice that sealed Deliora.\He defeated his fellow student, Lyon, who was plotting on resurrecting the demon, but...\Deliora's been resurrected!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!! response:	This excitement gets my heart racing
context: He defeated his fellow student, Lyon, who was plotting on resurrecting the demon, but...\Deliora's been resurrected!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing response:	It's wonderful!
context: Deliora's been resurrected!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful! response:	Who am I, I wonder?
context: That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder? response:	What is real, I wonder?
context: Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder? response:	Why can't I see tomorrow, I wonder?
context: The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder? response:	The only part leveling up is my curiosity
