context: Conny? response:	- Come on, wait for me! - Good morning!
context: Conny?\- Come on, wait for me! - Good morning! response:	Good morning!
context: Conny?\- Come on, wait for me! - Good morning!\Good morning! response:	Hey, Phil! No running!
context: Conny?\- Come on, wait for me! - Good morning!\Good morning!\Hey, Phil! No running! response:	Does this go here?
context: Conny?\- Come on, wait for me! - Good morning!\Good morning!\Hey, Phil! No running!\Does this go here? response:	Yes, thank you.
context: Conny?\- Come on, wait for me! - Good morning!\Good morning!\Hey, Phil! No running!\Does this go here?\Yes, thank you. response:	Mark, can you set the table?
context: Conny?\- Come on, wait for me! - Good morning!\Good morning!\Hey, Phil! No running!\Does this go here?\Yes, thank you.\Mark, can you set the table? response:	Okay, Mom!
context: Conny?\- Come on, wait for me! - Good morning!\Good morning!\Hey, Phil! No running!\Does this go here?\Yes, thank you.\Mark, can you set the table?\Okay, Mom! response:	Good morning, Emma!
context: - Come on, wait for me! - Good morning!\Good morning!\Hey, Phil! No running!\Does this go here?\Yes, thank you.\Mark, can you set the table?\Okay, Mom!\Good morning, Emma! response:	Smile, Emma.
context: Good morning!\Hey, Phil! No running!\Does this go here?\Yes, thank you.\Mark, can you set the table?\Okay, Mom!\Good morning, Emma!\Smile, Emma. response:	Listen, Emma. We have to behave like we normally do.
context: Hey, Phil! No running!\Does this go here?\Yes, thank you.\Mark, can you set the table?\Okay, Mom!\Good morning, Emma!\Smile, Emma.\Listen, Emma. We have to behave like we normally do. response:	Yesterday, we broke the rules and went to the gate.
context: Does this go here?\Yes, thank you.\Mark, can you set the table?\Okay, Mom!\Good morning, Emma!\Smile, Emma.\Listen, Emma. We have to behave like we normally do.\Yesterday, we broke the rules and went to the gate. response:	But we didn't find anything.
context: Yes, thank you.\Mark, can you set the table?\Okay, Mom!\Good morning, Emma!\Smile, Emma.\Listen, Emma. We have to behave like we normally do.\Yesterday, we broke the rules and went to the gate.\But we didn't find anything. response:	But Little Bunny...
context: Mark, can you set the table?\Okay, Mom!\Good morning, Emma!\Smile, Emma.\Listen, Emma. We have to behave like we normally do.\Yesterday, we broke the rules and went to the gate.\But we didn't find anything.\But Little Bunny... response:	Yeah, Mom probably found it. But she doesn't know who left it there.
context: Okay, Mom!\Good morning, Emma!\Smile, Emma.\Listen, Emma. We have to behave like we normally do.\Yesterday, we broke the rules and went to the gate.\But we didn't find anything.\But Little Bunny...\Yeah, Mom probably found it. But she doesn't know who left it there. response:	Mom was smiling. She doesn't show it on her face at all.
context: Good morning, Emma!\Smile, Emma.\Listen, Emma. We have to behave like we normally do.\Yesterday, we broke the rules and went to the gate.\But we didn't find anything.\But Little Bunny...\Yeah, Mom probably found it. But she doesn't know who left it there.\Mom was smiling. She doesn't show it on her face at all. response:	And that's what we have to do, too.
context: Smile, Emma.\Listen, Emma. We have to behave like we normally do.\Yesterday, we broke the rules and went to the gate.\But we didn't find anything.\But Little Bunny...\Yeah, Mom probably found it. But she doesn't know who left it there.\Mom was smiling. She doesn't show it on her face at all.\And that's what we have to do, too. response:	If our faces show it, Mom will notice.
context: Listen, Emma. We have to behave like we normally do.\Yesterday, we broke the rules and went to the gate.\But we didn't find anything.\But Little Bunny...\Yeah, Mom probably found it. But she doesn't know who left it there.\Mom was smiling. She doesn't show it on her face at all.\And that's what we have to do, too.\If our faces show it, Mom will notice. response:	We can't lose. Let's smile.
context: Yesterday, we broke the rules and went to the gate.\But we didn't find anything.\But Little Bunny...\Yeah, Mom probably found it. But she doesn't know who left it there.\Mom was smiling. She doesn't show it on her face at all.\And that's what we have to do, too.\If our faces show it, Mom will notice.\We can't lose. Let's smile. response:	The delicious feed, the white clothes where dirt can easily stand out, the well-regulated life...
context: But we didn't find anything.\But Little Bunny...\Yeah, Mom probably found it. But she doesn't know who left it there.\Mom was smiling. She doesn't show it on her face at all.\And that's what we have to do, too.\If our faces show it, Mom will notice.\We can't lose. Let's smile.\The delicious feed, the white clothes where dirt can easily stand out, the well-regulated life... response:	This is all to maintain our quality as merchandise.
context: But Little Bunny...\Yeah, Mom probably found it. But she doesn't know who left it there.\Mom was smiling. She doesn't show it on her face at all.\And that's what we have to do, too.\If our faces show it, Mom will notice.\We can't lose. Let's smile.\The delicious feed, the white clothes where dirt can easily stand out, the well-regulated life...\This is all to maintain our quality as merchandise. response:	The only thing we can do is to wait as we are shipped out indiscriminately.
