context: Let's find some shade. response:	You're a cute couple.
context: Let's find some shade.\You're a cute couple. response:	What was
context: Let's find some shade.\You're a cute couple.\What was response:	Are you okay, Touko?
context: Let's find some shade.\You're a cute couple.\What was\Are you okay, Touko? response:	You scared me. What happened?
context: Let's find some shade.\You're a cute couple.\What was\Are you okay, Touko?\You scared me. What happened? response:	What? Sorry,
context: Let's find some shade.\You're a cute couple.\What was\Are you okay, Touko?\You scared me. What happened?\What? Sorry, response:	I don't really know.
context: Let's find some shade.\You're a cute couple.\What was\Are you okay, Touko?\You scared me. What happened?\What? Sorry,\I don't really know. response:	Seems like you're okay for now.
context: Let's find some shade.\You're a cute couple.\What was\Are you okay, Touko?\You scared me. What happened?\What? Sorry,\I don't really know.\Seems like you're okay for now. response:	Yeah.
context: You're a cute couple.\What was\Are you okay, Touko?\You scared me. What happened?\What? Sorry,\I don't really know.\Seems like you're okay for now.\Yeah. response:	I'll take you home.
context: What was\Are you okay, Touko?\You scared me. What happened?\What? Sorry,\I don't really know.\Seems like you're okay for now.\Yeah.\I'll take you home. response:	Please.
context: Are you okay, Touko?\You scared me. What happened?\What? Sorry,\I don't really know.\Seems like you're okay for now.\Yeah.\I'll take you home.\Please. response:	I'd like you to.
context: You scared me. What happened?\What? Sorry,\I don't really know.\Seems like you're okay for now.\Yeah.\I'll take you home.\Please.\I'd like you to. response:	I'm going to ask for a proper explanation.
context: What? Sorry,\I don't really know.\Seems like you're okay for now.\Yeah.\I'll take you home.\Please.\I'd like you to.\I'm going to ask for a proper explanation. response:	You're going to help Touko-chan, right?
context: I don't really know.\Seems like you're okay for now.\Yeah.\I'll take you home.\Please.\I'd like you to.\I'm going to ask for a proper explanation.\You're going to help Touko-chan, right? response:	He's not coming.
context: Seems like you're okay for now.\Yeah.\I'll take you home.\Please.\I'd like you to.\I'm going to ask for a proper explanation.\You're going to help Touko-chan, right?\He's not coming. response:	No fun.
context: Yeah.\I'll take you home.\Please.\I'd like you to.\I'm going to ask for a proper explanation.\You're going to help Touko-chan, right?\He's not coming.\No fun. response:	Why aren't you coming, 5:30 guy?
context: I'll take you home.\Please.\I'd like you to.\I'm going to ask for a proper explanation.\You're going to help Touko-chan, right?\He's not coming.\No fun.\Why aren't you coming, 5:30 guy? response:	Episode 8 Snow
context: Please.\I'd like you to.\I'm going to ask for a proper explanation.\You're going to help Touko-chan, right?\He's not coming.\No fun.\Why aren't you coming, 5:30 guy?\Episode 8 Snow response:	Hinode-hama High School Track Club Summer Camp
context: I'd like you to.\I'm going to ask for a proper explanation.\You're going to help Touko-chan, right?\He's not coming.\No fun.\Why aren't you coming, 5:30 guy?\Episode 8 Snow\Hinode-hama High School Track Club Summer Camp response:	Hey, Yukinari.
context: I'm going to ask for a proper explanation.\You're going to help Touko-chan, right?\He's not coming.\No fun.\Why aren't you coming, 5:30 guy?\Episode 8 Snow\Hinode-hama High School Track Club Summer Camp\Hey, Yukinari. response:	The hero returns, huh?
context: You're going to help Touko-chan, right?\He's not coming.\No fun.\Why aren't you coming, 5:30 guy?\Episode 8 Snow\Hinode-hama High School Track Club Summer Camp\Hey, Yukinari.\The hero returns, huh? response:	Thanks.
context: He's not coming.\No fun.\Why aren't you coming, 5:30 guy?\Episode 8 Snow\Hinode-hama High School Track Club Summer Camp\Hey, Yukinari.\The hero returns, huh?\Thanks. response:	We were waiting for you. How're you doing?
context: No fun.\Why aren't you coming, 5:30 guy?\Episode 8 Snow\Hinode-hama High School Track Club Summer Camp\Hey, Yukinari.\The hero returns, huh?\Thanks.\We were waiting for you. How're you doing? response:	Still taking it slow.
context: Why aren't you coming, 5:30 guy?\Episode 8 Snow\Hinode-hama High School Track Club Summer Camp\Hey, Yukinari.\The hero returns, huh?\Thanks.\We were waiting for you. How're you doing?\Still taking it slow. response:	Let's get going.
context: Episode 8 Snow\Hinode-hama High School Track Club Summer Camp\Hey, Yukinari.\The hero returns, huh?\Thanks.\We were waiting for you. How're you doing?\Still taking it slow.\Let's get going. response:	Bring it in!
context: Hinode-hama High School Track Club Summer Camp\Hey, Yukinari.\The hero returns, huh?\Thanks.\We were waiting for you. How're you doing?\Still taking it slow.\Let's get going.\Bring it in! response:	Hinode Dance School
context: Hey, Yukinari.\The hero returns, huh?\Thanks.\We were waiting for you. How're you doing?\Still taking it slow.\Let's get going.\Bring it in!\Hinode Dance School response:	No! No!
context: The hero returns, huh?\Thanks.\We were waiting for you. How're you doing?\Still taking it slow.\Let's get going.\Bring it in!\Hinode Dance School\No! No! response:	Did you hear me? We're not doing the beach trip today.
context: Thanks.\We were waiting for you. How're you doing?\Still taking it slow.\Let's get going.\Bring it in!\Hinode Dance School\No! No!\Did you hear me? We're not doing the beach trip today. response:	Looks like he's here.
context: We were waiting for you. How're you doing?\Still taking it slow.\Let's get going.\Bring it in!\Hinode Dance School\No! No!\Did you hear me? We're not doing the beach trip today.\Looks like he's here. response:	Coming.
context: Still taking it slow.\Let's get going.\Bring it in!\Hinode Dance School\No! No!\Did you hear me? We're not doing the beach trip today.\Looks like he's here.\Coming. response:	Yanagi-chan!
context: Let's get going.\Bring it in!\Hinode Dance School\No! No!\Did you hear me? We're not doing the beach trip today.\Looks like he's here.\Coming.\Yanagi-chan! response:	Long time no see, Auntie.
context: Bring it in!\Hinode Dance School\No! No!\Did you hear me? We're not doing the beach trip today.\Looks like he's here.\Coming.\Yanagi-chan!\Long time no see, Auntie. response:	It's a day late, but she's being discharged this afternoon.
context: Hinode Dance School\No! No!\Did you hear me? We're not doing the beach trip today.\Looks like he's here.\Coming.\Yanagi-chan!\Long time no see, Auntie.\It's a day late, but she's being discharged this afternoon. response:	I came in time, then.
context: No! No!\Did you hear me? We're not doing the beach trip today.\Looks like he's here.\Coming.\Yanagi-chan!\Long time no see, Auntie.\It's a day late, but she's being discharged this afternoon.\I came in time, then. response:	Thank you, Yanagi-chan.
context: Did you hear me? We're not doing the beach trip today.\Looks like he's here.\Coming.\Yanagi-chan!\Long time no see, Auntie.\It's a day late, but she's being discharged this afternoon.\I came in time, then.\Thank you, Yanagi-chan. response:	We're just going to the rooftop.
context: Looks like he's here.\Coming.\Yanagi-chan!\Long time no see, Auntie.\It's a day late, but she's being discharged this afternoon.\I came in time, then.\Thank you, Yanagi-chan.\We're just going to the rooftop. response:	We'll be back in about twenty minutes.
context: Coming.\Yanagi-chan!\Long time no see, Auntie.\It's a day late, but she's being discharged this afternoon.\I came in time, then.\Thank you, Yanagi-chan.\We're just going to the rooftop.\We'll be back in about twenty minutes. response:	Oh!
context: Yanagi-chan!\Long time no see, Auntie.\It's a day late, but she's being discharged this afternoon.\I came in time, then.\Thank you, Yanagi-chan.\We're just going to the rooftop.\We'll be back in about twenty minutes.\Oh! response:	I heard from Hiro. You're in for tests?
context: Long time no see, Auntie.\It's a day late, but she's being discharged this afternoon.\I came in time, then.\Thank you, Yanagi-chan.\We're just going to the rooftop.\We'll be back in about twenty minutes.\Oh!\I heard from Hiro. You're in for tests? response:	Yes.
context: It's a day late, but she's being discharged this afternoon.\I came in time, then.\Thank you, Yanagi-chan.\We're just going to the rooftop.\We'll be back in about twenty minutes.\Oh!\I heard from Hiro. You're in for tests?\Yes. response:	I brought steamed sake buns for you today.
context: I came in time, then.\Thank you, Yanagi-chan.\We're just going to the rooftop.\We'll be back in about twenty minutes.\Oh!\I heard from Hiro. You're in for tests?\Yes.\I brought steamed sake buns for you today. response:	Be good to Hiro for me.
