context: The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!! response:	Sit tight, Gohan! Your Ma is comin' to save you right now!
context: The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!\Sit tight, Gohan! Your Ma is comin' to save you right now! response:	Say there, Chichi-san, won't you please re-think this?
context: The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!\Sit tight, Gohan! Your Ma is comin' to save you right now!\Say there, Chichi-san, won't you please re-think this? response:	Planet Namek will be dangerous for you.
context: The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!\Sit tight, Gohan! Your Ma is comin' to save you right now!\Say there, Chichi-san, won't you please re-think this?\Planet Namek will be dangerous for you. response:	He's right! Let's leave all of this up to Son-in-law!
context: The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!\Sit tight, Gohan! Your Ma is comin' to save you right now!\Say there, Chichi-san, won't you please re-think this?\Planet Namek will be dangerous for you.\He's right! Let's leave all of this up to Son-in-law! response:	My Bulma-chan is there with him. It will be fine!
context: The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!\Sit tight, Gohan! Your Ma is comin' to save you right now!\Say there, Chichi-san, won't you please re-think this?\Planet Namek will be dangerous for you.\He's right! Let's leave all of this up to Son-in-law!\My Bulma-chan is there with him. It will be fine! response:	No! I'm goin'! After all, you can bet Goku-sa ain't makin' Gohan-chan do his homework properly!
context: The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!\Sit tight, Gohan! Your Ma is comin' to save you right now!\Say there, Chichi-san, won't you please re-think this?\Planet Namek will be dangerous for you.\He's right! Let's leave all of this up to Son-in-law!\My Bulma-chan is there with him. It will be fine!\No! I'm goin'! After all, you can bet Goku-sa ain't makin' Gohan-chan do his homework properly! response:	Yajirobe!
context: The Two Superpowers Collide! A Fistfight Where Both Turn Serious!!!\Sit tight, Gohan! Your Ma is comin' to save you right now!\Say there, Chichi-san, won't you please re-think this?\Planet Namek will be dangerous for you.\He's right! Let's leave all of this up to Son-in-law!\My Bulma-chan is there with him. It will be fine!\No! I'm goin'! After all, you can bet Goku-sa ain't makin' Gohan-chan do his homework properly!\Yajirobe! response:	I've brung a message from Karin-sama.'Parently Piccolo got to Namek all right.
context: Sit tight, Gohan! Your Ma is comin' to save you right now!\Say there, Chichi-san, won't you please re-think this?\Planet Namek will be dangerous for you.\He's right! Let's leave all of this up to Son-in-law!\My Bulma-chan is there with him. It will be fine!\No! I'm goin'! After all, you can bet Goku-sa ain't makin' Gohan-chan do his homework properly!\Yajirobe!\I've brung a message from Karin-sama.'Parently Piccolo got to Namek all right. response:	Piccolo!?
context: Say there, Chichi-san, won't you please re-think this?\Planet Namek will be dangerous for you.\He's right! Let's leave all of this up to Son-in-law!\My Bulma-chan is there with him. It will be fine!\No! I'm goin'! After all, you can bet Goku-sa ain't makin' Gohan-chan do his homework properly!\Yajirobe!\I've brung a message from Karin-sama.'Parently Piccolo got to Namek all right.\Piccolo!? response:	If he hangs around with the likes of him, Gohan-chan will become a delinquent!
context: Planet Namek will be dangerous for you.\He's right! Let's leave all of this up to Son-in-law!\My Bulma-chan is there with him. It will be fine!\No! I'm goin'! After all, you can bet Goku-sa ain't makin' Gohan-chan do his homework properly!\Yajirobe!\I've brung a message from Karin-sama.'Parently Piccolo got to Namek all right.\Piccolo!?\If he hangs around with the likes of him, Gohan-chan will become a delinquent! response:	I can't dawdle around any longer!
context: He's right! Let's leave all of this up to Son-in-law!\My Bulma-chan is there with him. It will be fine!\No! I'm goin'! After all, you can bet Goku-sa ain't makin' Gohan-chan do his homework properly!\Yajirobe!\I've brung a message from Karin-sama.'Parently Piccolo got to Namek all right.\Piccolo!?\If he hangs around with the likes of him, Gohan-chan will become a delinquent!\I can't dawdle around any longer! response:	Let go of me! Let me go!
context: My Bulma-chan is there with him. It will be fine!\No! I'm goin'! After all, you can bet Goku-sa ain't makin' Gohan-chan do his homework properly!\Yajirobe!\I've brung a message from Karin-sama.'Parently Piccolo got to Namek all right.\Piccolo!?\If he hangs around with the likes of him, Gohan-chan will become a delinquent!\I can't dawdle around any longer!\Let go of me! Let me go! response:	The repairs to the spaceship aren't likely finished yet!
context: No! I'm goin'! After all, you can bet Goku-sa ain't makin' Gohan-chan do his homework properly!\Yajirobe!\I've brung a message from Karin-sama.'Parently Piccolo got to Namek all right.\Piccolo!?\If he hangs around with the likes of him, Gohan-chan will become a delinquent!\I can't dawdle around any longer!\Let go of me! Let me go!\The repairs to the spaceship aren't likely finished yet! response:	- That kinda thing takes a lotta time! - That's right!
