context: No... response:	Please...
context: No...\Please... response:	DON'T!
context: No...\Please...\DON'T! response:	Senketsu!
context: No...\Please...\DON'T!\Senketsu! response:	Good grief.
context: No...\Please...\DON'T!\Senketsu!\Good grief. response:	How many times am I going to have to tend to you after you've passed out?
context: No...\Please...\DON'T!\Senketsu!\Good grief.\How many times am I going to have to tend to you after you've passed out? response:	How about changing careers and becoming a Nudist like me?
context: No...\Please...\DON'T!\Senketsu!\Good grief.\How many times am I going to have to tend to you after you've passed out?\How about changing careers and becoming a Nudist like me? response:	Spout off any of your lame jokes, and I'm gonna kill you.
context: No...\Please...\DON'T!\Senketsu!\Good grief.\How many times am I going to have to tend to you after you've passed out?\How about changing careers and becoming a Nudist like me?\Spout off any of your lame jokes, and I'm gonna kill you. response:	Ah, sorry, sorry. So, who took you out?
context: Please...\DON'T!\Senketsu!\Good grief.\How many times am I going to have to tend to you after you've passed out?\How about changing careers and becoming a Nudist like me?\Spout off any of your lame jokes, and I'm gonna kill you.\Ah, sorry, sorry. So, who took you out? response:	It was Nui Harime. Nagita was Nui.
context: DON'T!\Senketsu!\Good grief.\How many times am I going to have to tend to you after you've passed out?\How about changing careers and becoming a Nudist like me?\Spout off any of your lame jokes, and I'm gonna kill you.\Ah, sorry, sorry. So, who took you out?\It was Nui Harime. Nagita was Nui. response:	Oh, so that's what happened.
context: Senketsu!\Good grief.\How many times am I going to have to tend to you after you've passed out?\How about changing careers and becoming a Nudist like me?\Spout off any of your lame jokes, and I'm gonna kill you.\Ah, sorry, sorry. So, who took you out?\It was Nui Harime. Nagita was Nui.\Oh, so that's what happened. response:	You found me unconscious, dressed like this?
context: Good grief.\How many times am I going to have to tend to you after you've passed out?\How about changing careers and becoming a Nudist like me?\Spout off any of your lame jokes, and I'm gonna kill you.\Ah, sorry, sorry. So, who took you out?\It was Nui Harime. Nagita was Nui.\Oh, so that's what happened.\You found me unconscious, dressed like this? response:	Yeah. If I had arrived on the scene a little later,
context: How many times am I going to have to tend to you after you've passed out?\How about changing careers and becoming a Nudist like me?\Spout off any of your lame jokes, and I'm gonna kill you.\Ah, sorry, sorry. So, who took you out?\It was Nui Harime. Nagita was Nui.\Oh, so that's what happened.\You found me unconscious, dressed like this?\Yeah. If I had arrived on the scene a little later, response:	you would've been arrested by the cops for indecent exposure.
context: How about changing careers and becoming a Nudist like me?\Spout off any of your lame jokes, and I'm gonna kill you.\Ah, sorry, sorry. So, who took you out?\It was Nui Harime. Nagita was Nui.\Oh, so that's what happened.\You found me unconscious, dressed like this?\Yeah. If I had arrived on the scene a little later,\you would've been arrested by the cops for indecent exposure. response:	Do you have a death wish?
context: Spout off any of your lame jokes, and I'm gonna kill you.\Ah, sorry, sorry. So, who took you out?\It was Nui Harime. Nagita was Nui.\Oh, so that's what happened.\You found me unconscious, dressed like this?\Yeah. If I had arrived on the scene a little later,\you would've been arrested by the cops for indecent exposure.\Do you have a death wish? response:	Snippy, aren't you?
context: Ah, sorry, sorry. So, who took you out?\It was Nui Harime. Nagita was Nui.\Oh, so that's what happened.\You found me unconscious, dressed like this?\Yeah. If I had arrived on the scene a little later,\you would've been arrested by the cops for indecent exposure.\Do you have a death wish?\Snippy, aren't you? response:	Of course I am. I...
context: It was Nui Harime. Nagita was Nui.\Oh, so that's what happened.\You found me unconscious, dressed like this?\Yeah. If I had arrived on the scene a little later,\you would've been arrested by the cops for indecent exposure.\Do you have a death wish?\Snippy, aren't you?\Of course I am. I... response:	I lost Senketsu.
