context: Lady Pandora. response:	The Age of Order is nearly upon us.
context: Lady Pandora.\The Age of Order is nearly upon us. response:	You must not allow the Age of Chaos to end.
context: Lady Pandora.\The Age of Order is nearly upon us.\You must not allow the Age of Chaos to end. response:	That would be the beginning of the end.
context: Lady Pandora.\The Age of Order is nearly upon us.\You must not allow the Age of Chaos to end.\That would be the beginning of the end. response:	The Mage Academy will do everything it can to prevent it.
context: Lady Pandora.\The Age of Order is nearly upon us.\You must not allow the Age of Chaos to end.\That would be the beginning of the end.\The Mage Academy will do everything it can to prevent it. response:	The time has come, yes?
context: Lady Pandora.\The Age of Order is nearly upon us.\You must not allow the Age of Chaos to end.\That would be the beginning of the end.\The Mage Academy will do everything it can to prevent it.\The time has come, yes? response:	The Imperial Army has positioned itself atop a hill outside Eramu.
context: Lady Pandora.\The Age of Order is nearly upon us.\You must not allow the Age of Chaos to end.\That would be the beginning of the end.\The Mage Academy will do everything it can to prevent it.\The time has come, yes?\The Imperial Army has positioned itself atop a hill outside Eramu. response:	What should we do?
context: Lady Pandora.\The Age of Order is nearly upon us.\You must not allow the Age of Chaos to end.\That would be the beginning of the end.\The Mage Academy will do everything it can to prevent it.\The time has come, yes?\The Imperial Army has positioned itself atop a hill outside Eramu.\What should we do? response:	Tell the guards to release it.
context: The Age of Order is nearly upon us.\You must not allow the Age of Chaos to end.\That would be the beginning of the end.\The Mage Academy will do everything it can to prevent it.\The time has come, yes?\The Imperial Army has positioned itself atop a hill outside Eramu.\What should we do?\Tell the guards to release it. response:	Wouldn't that be far too dangerous?
context: You must not allow the Age of Chaos to end.\That would be the beginning of the end.\The Mage Academy will do everything it can to prevent it.\The time has come, yes?\The Imperial Army has positioned itself atop a hill outside Eramu.\What should we do?\Tell the guards to release it.\Wouldn't that be far too dangerous? response:	If it wasn't dangerous, there wouldn't be any point in sending it out, would there?
context: That would be the beginning of the end.\The Mage Academy will do everything it can to prevent it.\The time has come, yes?\The Imperial Army has positioned itself atop a hill outside Eramu.\What should we do?\Tell the guards to release it.\Wouldn't that be far too dangerous?\If it wasn't dangerous, there wouldn't be any point in sending it out, would there? response:	Understood. I will notify the guards.
context: The Mage Academy will do everything it can to prevent it.\The time has come, yes?\The Imperial Army has positioned itself atop a hill outside Eramu.\What should we do?\Tell the guards to release it.\Wouldn't that be far too dangerous?\If it wasn't dangerous, there wouldn't be any point in sending it out, would there?\Understood. I will notify the guards. response:	You're using something rather vicious, aren't you?
context: The time has come, yes?\The Imperial Army has positioned itself atop a hill outside Eramu.\What should we do?\Tell the guards to release it.\Wouldn't that be far too dangerous?\If it wasn't dangerous, there wouldn't be any point in sending it out, would there?\Understood. I will notify the guards.\You're using something rather vicious, aren't you? response:	Before you can defeat the Imperial Army, Eramu could be wiped out first.
context: The Imperial Army has positioned itself atop a hill outside Eramu.\What should we do?\Tell the guards to release it.\Wouldn't that be far too dangerous?\If it wasn't dangerous, there wouldn't be any point in sending it out, would there?\Understood. I will notify the guards.\You're using something rather vicious, aren't you?\Before you can defeat the Imperial Army, Eramu could be wiped out first. response:	Pandora's principles are absolute.
context: What should we do?\Tell the guards to release it.\Wouldn't that be far too dangerous?\If it wasn't dangerous, there wouldn't be any point in sending it out, would there?\Understood. I will notify the guards.\You're using something rather vicious, aren't you?\Before you can defeat the Imperial Army, Eramu could be wiped out first.\Pandora's principles are absolute. response:	In order to uphold it, we must do whatever it takes.
context: Tell the guards to release it.\Wouldn't that be far too dangerous?\If it wasn't dangerous, there wouldn't be any point in sending it out, would there?\Understood. I will notify the guards.\You're using something rather vicious, aren't you?\Before you can defeat the Imperial Army, Eramu could be wiped out first.\Pandora's principles are absolute.\In order to uphold it, we must do whatever it takes. response:	So I have to conquer that city?
context: Wouldn't that be far too dangerous?\If it wasn't dangerous, there wouldn't be any point in sending it out, would there?\Understood. I will notify the guards.\You're using something rather vicious, aren't you?\Before you can defeat the Imperial Army, Eramu could be wiped out first.\Pandora's principles are absolute.\In order to uphold it, we must do whatever it takes.\So I have to conquer that city? response:	Yes.
context: If it wasn't dangerous, there wouldn't be any point in sending it out, would there?\Understood. I will notify the guards.\You're using something rather vicious, aren't you?\Before you can defeat the Imperial Army, Eramu could be wiped out first.\Pandora's principles are absolute.\In order to uphold it, we must do whatever it takes.\So I have to conquer that city?\Yes. response:	If we get close to the castle walls, we'll be exposed to those catapults.
