context: What is it?! A fire? response:	Slaying of demons.
context: What is it?! A fire?\Slaying of demons. response:	- Smells awful! - What's all this smoke?
context: What is it?! A fire?\Slaying of demons.\- Smells awful! - What's all this smoke? response:	Got that? Send them this way!
context: What is it?! A fire?\Slaying of demons.\- Smells awful! - What's all this smoke?\Got that? Send them this way! response:	Like we're getting rid of insects.
context: What is it?! A fire?\Slaying of demons.\- Smells awful! - What's all this smoke?\Got that? Send them this way!\Like we're getting rid of insects. response:	Sango, are you about ready?
context: What is it?! A fire?\Slaying of demons.\- Smells awful! - What's all this smoke?\Got that? Send them this way!\Like we're getting rid of insects.\Sango, are you about ready? response:	Is this one of the demons?
context: What is it?! A fire?\Slaying of demons.\- Smells awful! - What's all this smoke?\Got that? Send them this way!\Like we're getting rid of insects.\Sango, are you about ready?\Is this one of the demons? response:	Inuyasha's nose is awfully sensitive.
context: What is it?! A fire?\Slaying of demons.\- Smells awful! - What's all this smoke?\Got that? Send them this way!\Like we're getting rid of insects.\Sango, are you about ready?\Is this one of the demons?\Inuyasha's nose is awfully sensitive. response:	How beautiful!
context: Slaying of demons.\- Smells awful! - What's all this smoke?\Got that? Send them this way!\Like we're getting rid of insects.\Sango, are you about ready?\Is this one of the demons?\Inuyasha's nose is awfully sensitive.\How beautiful! response:	Hey Miroku! Where're you goin'?
context: - Smells awful! - What's all this smoke?\Got that? Send them this way!\Like we're getting rid of insects.\Sango, are you about ready?\Is this one of the demons?\Inuyasha's nose is awfully sensitive.\How beautiful!\Hey Miroku! Where're you goin'? response:	It's coming! Get back!
context: Got that? Send them this way!\Like we're getting rid of insects.\Sango, are you about ready?\Is this one of the demons?\Inuyasha's nose is awfully sensitive.\How beautiful!\Hey Miroku! Where're you goin'?\It's coming! Get back! response:	Kagome! It's all right now.
context: Like we're getting rid of insects.\Sango, are you about ready?\Is this one of the demons?\Inuyasha's nose is awfully sensitive.\How beautiful!\Hey Miroku! Where're you goin'?\It's coming! Get back!\Kagome! It's all right now. response:	Inuyasha, do you still feel sick?
context: Sango, are you about ready?\Is this one of the demons?\Inuyasha's nose is awfully sensitive.\How beautiful!\Hey Miroku! Where're you goin'?\It's coming! Get back!\Kagome! It's all right now.\Inuyasha, do you still feel sick? response:	Huh? Where's Miroku?
context: Is this one of the demons?\Inuyasha's nose is awfully sensitive.\How beautiful!\Hey Miroku! Where're you goin'?\It's coming! Get back!\Kagome! It's all right now.\Inuyasha, do you still feel sick?\Huh? Where's Miroku? response:	He went after some strange woman.
context: Inuyasha's nose is awfully sensitive.\How beautiful!\Hey Miroku! Where're you goin'?\It's coming! Get back!\Kagome! It's all right now.\Inuyasha, do you still feel sick?\Huh? Where's Miroku?\He went after some strange woman. response:	W-what?! While we were working?
context: How beautiful!\Hey Miroku! Where're you goin'?\It's coming! Get back!\Kagome! It's all right now.\Inuyasha, do you still feel sick?\Huh? Where's Miroku?\He went after some strange woman.\W-what?! While we were working? response:	She was awfully pretty.
context: Hey Miroku! Where're you goin'?\It's coming! Get back!\Kagome! It's all right now.\Inuyasha, do you still feel sick?\Huh? Where's Miroku?\He went after some strange woman.\W-what?! While we were working?\She was awfully pretty. response:	He probably went and asked her to have his baby.
context: It's coming! Get back!\Kagome! It's all right now.\Inuyasha, do you still feel sick?\Huh? Where's Miroku?\He went after some strange woman.\W-what?! While we were working?\She was awfully pretty.\He probably went and asked her to have his baby. response:	Huh?! A b-baby?!
context: Kagome! It's all right now.\Inuyasha, do you still feel sick?\Huh? Where's Miroku?\He went after some strange woman.\W-what?! While we were working?\She was awfully pretty.\He probably went and asked her to have his baby.\Huh?! A b-baby?! response:	I see... so you are the princess of a very prominent clan.
context: Inuyasha, do you still feel sick?\Huh? Where's Miroku?\He went after some strange woman.\W-what?! While we were working?\She was awfully pretty.\He probably went and asked her to have his baby.\Huh?! A b-baby?!\I see... so you are the princess of a very prominent clan. response:	But my clan was ruined by war.
