context: I'm still calling your name, Nana. response:	No matter how much it hurts...
context: I'm still calling your name, Nana.\No matter how much it hurts... response:	until you answer me.
context: I'm still calling your name, Nana.\No matter how much it hurts...\until you answer me. response:	I'm sorry I couldn't keep my promise.
context: I'm still calling your name, Nana.\No matter how much it hurts...\until you answer me.\I'm sorry I couldn't keep my promise. response:	You may not remember this,
context: I'm still calling your name, Nana.\No matter how much it hurts...\until you answer me.\I'm sorry I couldn't keep my promise.\You may not remember this, response:	but I was serious about building that nice house with a big yard.
context: I'm still calling your name, Nana.\No matter how much it hurts...\until you answer me.\I'm sorry I couldn't keep my promise.\You may not remember this,\but I was serious about building that nice house with a big yard. response:	It would be on a hill where we could see the ocean,
context: I'm still calling your name, Nana.\No matter how much it hurts...\until you answer me.\I'm sorry I couldn't keep my promise.\You may not remember this,\but I was serious about building that nice house with a big yard.\It would be on a hill where we could see the ocean, response:	complete with a state-of-the-art system kitchen and basement studio.
context: I'm still calling your name, Nana.\No matter how much it hurts...\until you answer me.\I'm sorry I couldn't keep my promise.\You may not remember this,\but I was serious about building that nice house with a big yard.\It would be on a hill where we could see the ocean,\complete with a state-of-the-art system kitchen and basement studio. response:	In your closet would be
context: No matter how much it hurts...\until you answer me.\I'm sorry I couldn't keep my promise.\You may not remember this,\but I was serious about building that nice house with a big yard.\It would be on a hill where we could see the ocean,\complete with a state-of-the-art system kitchen and basement studio.\In your closet would be response:	a whole line of clothes of the latest fashion,
context: until you answer me.\I'm sorry I couldn't keep my promise.\You may not remember this,\but I was serious about building that nice house with a big yard.\It would be on a hill where we could see the ocean,\complete with a state-of-the-art system kitchen and basement studio.\In your closet would be\a whole line of clothes of the latest fashion, response:	so that you'd have a smile on your face every time you came home,
context: I'm sorry I couldn't keep my promise.\You may not remember this,\but I was serious about building that nice house with a big yard.\It would be on a hill where we could see the ocean,\complete with a state-of-the-art system kitchen and basement studio.\In your closet would be\a whole line of clothes of the latest fashion,\so that you'd have a smile on your face every time you came home, response:	even with your tendency to have your heart broken by men.
context: You may not remember this,\but I was serious about building that nice house with a big yard.\It would be on a hill where we could see the ocean,\complete with a state-of-the-art system kitchen and basement studio.\In your closet would be\a whole line of clothes of the latest fashion,\so that you'd have a smile on your face every time you came home,\even with your tendency to have your heart broken by men. response:	Blinking eyes call the wind
context: but I was serious about building that nice house with a big yard.\It would be on a hill where we could see the ocean,\complete with a state-of-the-art system kitchen and basement studio.\In your closet would be\a whole line of clothes of the latest fashion,\so that you'd have a smile on your face every time you came home,\even with your tendency to have your heart broken by men.\Blinking eyes call the wind response:	A smile clears all the noise away
context: It would be on a hill where we could see the ocean,\complete with a state-of-the-art system kitchen and basement studio.\In your closet would be\a whole line of clothes of the latest fashion,\so that you'd have a smile on your face every time you came home,\even with your tendency to have your heart broken by men.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: complete with a state-of-the-art system kitchen and basement studio.\In your closet would be\a whole line of clothes of the latest fashion,\so that you'd have a smile on your face every time you came home,\even with your tendency to have your heart broken by men.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: In your closet would be\a whole line of clothes of the latest fashion,\so that you'd have a smile on your face every time you came home,\even with your tendency to have your heart broken by men.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: a whole line of clothes of the latest fashion,\so that you'd have a smile on your face every time you came home,\even with your tendency to have your heart broken by men.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: so that you'd have a smile on your face every time you came home,\even with your tendency to have your heart broken by men.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: even with your tendency to have your heart broken by men.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	One way ticket to Tokyo.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\One way ticket to Tokyo. response:	The trains are running late because of the snow.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\One way ticket to Tokyo.\The trains are running late because of the snow. response:	Anything will do as long as it gets me there.
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\One way ticket to Tokyo.\The trains are running late because of the snow.\Anything will do as long as it gets me there. response:	You didn't hafta come see me off.
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\One way ticket to Tokyo.\The trains are running late because of the snow.\Anything will do as long as it gets me there.\You didn't hafta come see me off. response:	I called in sick and took the day off to come see you off,
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\One way ticket to Tokyo.\The trains are running late because of the snow.\Anything will do as long as it gets me there.\You didn't hafta come see me off.\I called in sick and took the day off to come see you off, response:	so you could be nicer.
context: This sky is torn\By a single overflowing word\One way ticket to Tokyo.\The trains are running late because of the snow.\Anything will do as long as it gets me there.\You didn't hafta come see me off.\I called in sick and took the day off to come see you off,\so you could be nicer. response:	You come alone? What about Nobu?
context: By a single overflowing word\One way ticket to Tokyo.\The trains are running late because of the snow.\Anything will do as long as it gets me there.\You didn't hafta come see me off.\I called in sick and took the day off to come see you off,\so you could be nicer.\You come alone? What about Nobu? response:	He's probably home crying about now.
context: One way ticket to Tokyo.\The trains are running late because of the snow.\Anything will do as long as it gets me there.\You didn't hafta come see me off.\I called in sick and took the day off to come see you off,\so you could be nicer.\You come alone? What about Nobu?\He's probably home crying about now. response:	After all, you only told him yesterday.
context: The trains are running late because of the snow.\Anything will do as long as it gets me there.\You didn't hafta come see me off.\I called in sick and took the day off to come see you off,\so you could be nicer.\You come alone? What about Nobu?\He's probably home crying about now.\After all, you only told him yesterday. response:	Put yourself in the position of those who are left behind.
context: Anything will do as long as it gets me there.\You didn't hafta come see me off.\I called in sick and took the day off to come see you off,\so you could be nicer.\You come alone? What about Nobu?\He's probably home crying about now.\After all, you only told him yesterday.\Put yourself in the position of those who are left behind. response:	Sorry. I struggled to find the right time to tell you guys.
context: You didn't hafta come see me off.\I called in sick and took the day off to come see you off,\so you could be nicer.\You come alone? What about Nobu?\He's probably home crying about now.\After all, you only told him yesterday.\Put yourself in the position of those who are left behind.\Sorry. I struggled to find the right time to tell you guys. response:	Although we knew that this day would come eventually.
context: I called in sick and took the day off to come see you off,\so you could be nicer.\You come alone? What about Nobu?\He's probably home crying about now.\After all, you only told him yesterday.\Put yourself in the position of those who are left behind.\Sorry. I struggled to find the right time to tell you guys.\Although we knew that this day would come eventually. response:	What is it?
context: so you could be nicer.\You come alone? What about Nobu?\He's probably home crying about now.\After all, you only told him yesterday.\Put yourself in the position of those who are left behind.\Sorry. I struggled to find the right time to tell you guys.\Although we knew that this day would come eventually.\What is it? response:	Your birthday present.
context: You come alone? What about Nobu?\He's probably home crying about now.\After all, you only told him yesterday.\Put yourself in the position of those who are left behind.\Sorry. I struggled to find the right time to tell you guys.\Although we knew that this day would come eventually.\What is it?\Your birthday present. response:	This piece of paper?
context: He's probably home crying about now.\After all, you only told him yesterday.\Put yourself in the position of those who are left behind.\Sorry. I struggled to find the right time to tell you guys.\Although we knew that this day would come eventually.\What is it?\Your birthday present.\This piece of paper? response:	REN
context: After all, you only told him yesterday.\Put yourself in the position of those who are left behind.\Sorry. I struggled to find the right time to tell you guys.\Although we knew that this day would come eventually.\What is it?\Your birthday present.\This piece of paper?\REN response:	Don't get me wrong! I'm not going to Tokyo to see him!
context: Put yourself in the position of those who are left behind.\Sorry. I struggled to find the right time to tell you guys.\Although we knew that this day would come eventually.\What is it?\Your birthday present.\This piece of paper?\REN\Don't get me wrong! I'm not going to Tokyo to see him! response:	I know. That has nothing to do with this.
context: Sorry. I struggled to find the right time to tell you guys.\Although we knew that this day would come eventually.\What is it?\Your birthday present.\This piece of paper?\REN\Don't get me wrong! I'm not going to Tokyo to see him!\I know. That has nothing to do with this. response:	You don't understand.
context: Although we knew that this day would come eventually.\What is it?\Your birthday present.\This piece of paper?\REN\Don't get me wrong! I'm not going to Tokyo to see him!\I know. That has nothing to do with this.\You don't understand. response:	You don't understand anything.
context: What is it?\Your birthday present.\This piece of paper?\REN\Don't get me wrong! I'm not going to Tokyo to see him!\I know. That has nothing to do with this.\You don't understand.\You don't understand anything. response:	The train on platform one for Tokyo,.,
context: Your birthday present.\This piece of paper?\REN\Don't get me wrong! I'm not going to Tokyo to see him!\I know. That has nothing to do with this.\You don't understand.\You don't understand anything.\The train on platform one for Tokyo,., response:	- If you understand my feelings... - will be departing momentarily.
context: This piece of paper?\REN\Don't get me wrong! I'm not going to Tokyo to see him!\I know. That has nothing to do with this.\You don't understand.\You don't understand anything.\The train on platform one for Tokyo,.,\- If you understand my feelings... - will be departing momentarily. response:	- then come with me... - All passengers not aboard are asked,.,
context: REN\Don't get me wrong! I'm not going to Tokyo to see him!\I know. That has nothing to do with this.\You don't understand.\You don't understand anything.\The train on platform one for Tokyo,.,\- If you understand my feelings... - will be departing momentarily.\- then come with me... - All passengers not aboard are asked,., response:	- Yasu! - to please board the train now.
context: Don't get me wrong! I'm not going to Tokyo to see him!\I know. That has nothing to do with this.\You don't understand.\You don't understand anything.\The train on platform one for Tokyo,.,\- If you understand my feelings... - will be departing momentarily.\- then come with me... - All passengers not aboard are asked,.,\- Yasu! - to please board the train now. response:	Why can't I say these few words?
context: I know. That has nothing to do with this.\You don't understand.\You don't understand anything.\The train on platform one for Tokyo,.,\- If you understand my feelings... - will be departing momentarily.\- then come with me... - All passengers not aboard are asked,.,\- Yasu! - to please board the train now.\Why can't I say these few words? response:	Because... you've chosen your path in life.
context: You don't understand.\You don't understand anything.\The train on platform one for Tokyo,.,\- If you understand my feelings... - will be departing momentarily.\- then come with me... - All passengers not aboard are asked,.,\- Yasu! - to please board the train now.\Why can't I say these few words?\Because... you've chosen your path in life. response:	And Nobu has a great future ahead of him.
context: You don't understand anything.\The train on platform one for Tokyo,.,\- If you understand my feelings... - will be departing momentarily.\- then come with me... - All passengers not aboard are asked,.,\- Yasu! - to please board the train now.\Why can't I say these few words?\Because... you've chosen your path in life.\And Nobu has a great future ahead of him. response:	I can't say it.
context: The train on platform one for Tokyo,.,\- If you understand my feelings... - will be departing momentarily.\- then come with me... - All passengers not aboard are asked,.,\- Yasu! - to please board the train now.\Why can't I say these few words?\Because... you've chosen your path in life.\And Nobu has a great future ahead of him.\I can't say it. response:	So you hafta wish for it yourself.
context: - If you understand my feelings... - will be departing momentarily.\- then come with me... - All passengers not aboard are asked,.,\- Yasu! - to please board the train now.\Why can't I say these few words?\Because... you've chosen your path in life.\And Nobu has a great future ahead of him.\I can't say it.\So you hafta wish for it yourself. response:	Nana.
context: - then come with me... - All passengers not aboard are asked,.,\- Yasu! - to please board the train now.\Why can't I say these few words?\Because... you've chosen your path in life.\And Nobu has a great future ahead of him.\I can't say it.\So you hafta wish for it yourself.\Nana. response:	Don't go.
context: - Yasu! - to please board the train now.\Why can't I say these few words?\Because... you've chosen your path in life.\And Nobu has a great future ahead of him.\I can't say it.\So you hafta wish for it yourself.\Nana.\Don't go. response:	It'll be lonely without you.
context: Why can't I say these few words?\Because... you've chosen your path in life.\And Nobu has a great future ahead of him.\I can't say it.\So you hafta wish for it yourself.\Nana.\Don't go.\It'll be lonely without you. response:	Stop messing with me! Then you come with me!
context: Because... you've chosen your path in life.\And Nobu has a great future ahead of him.\I can't say it.\So you hafta wish for it yourself.\Nana.\Don't go.\It'll be lonely without you.\Stop messing with me! Then you come with me! response:	I guess negotiations break off there. Oh well, good luck.
context: And Nobu has a great future ahead of him.\I can't say it.\So you hafta wish for it yourself.\Nana.\Don't go.\It'll be lonely without you.\Stop messing with me! Then you come with me!\I guess negotiations break off there. Oh well, good luck. response:	Yasu! There are law firms in Tokyo, too!
context: I can't say it.\So you hafta wish for it yourself.\Nana.\Don't go.\It'll be lonely without you.\Stop messing with me! Then you come with me!\I guess negotiations break off there. Oh well, good luck.\Yasu! There are law firms in Tokyo, too! response:	You can sing in this town, too.
context: So you hafta wish for it yourself.\Nana.\Don't go.\It'll be lonely without you.\Stop messing with me! Then you come with me!\I guess negotiations break off there. Oh well, good luck.\Yasu! There are law firms in Tokyo, too!\You can sing in this town, too. response:	But there is no big stage like the Tokyo Dome or Budokan here.
context: Nana.\Don't go.\It'll be lonely without you.\Stop messing with me! Then you come with me!\I guess negotiations break off there. Oh well, good luck.\Yasu! There are law firms in Tokyo, too!\You can sing in this town, too.\But there is no big stage like the Tokyo Dome or Budokan here. response:	Think of it as a foolish dream if you want.
context: Don't go.\It'll be lonely without you.\Stop messing with me! Then you come with me!\I guess negotiations break off there. Oh well, good luck.\Yasu! There are law firms in Tokyo, too!\You can sing in this town, too.\But there is no big stage like the Tokyo Dome or Budokan here.\Think of it as a foolish dream if you want. response:	But one day, I will definitely perform on a big stage.
context: It'll be lonely without you.\Stop messing with me! Then you come with me!\I guess negotiations break off there. Oh well, good luck.\Yasu! There are law firms in Tokyo, too!\You can sing in this town, too.\But there is no big stage like the Tokyo Dome or Budokan here.\Think of it as a foolish dream if you want.\But one day, I will definitely perform on a big stage. response:	I'll perform before an incredible number of spotlights
