context: My eternal liege, the ultimate demon who knows no rival... response:	my Lord Sesshomaru.
context: My eternal liege, the ultimate demon who knows no rival...\my Lord Sesshomaru. response:	His father's heirloom, Tetsusaiga,
context: My eternal liege, the ultimate demon who knows no rival...\my Lord Sesshomaru.\His father's heirloom, Tetsusaiga, response:	known to fell a hundred demons in one sweep...
context: My eternal liege, the ultimate demon who knows no rival...\my Lord Sesshomaru.\His father's heirloom, Tetsusaiga,\known to fell a hundred demons in one sweep... response:	And only my Lord Sesshomaru is worthy of its magnificence!
context: My eternal liege, the ultimate demon who knows no rival...\my Lord Sesshomaru.\His father's heirloom, Tetsusaiga,\known to fell a hundred demons in one sweep...\And only my Lord Sesshomaru is worthy of its magnificence! response:	Such a sword is wasted on Lord Sesshomaru's younger brother...
context: My eternal liege, the ultimate demon who knows no rival...\my Lord Sesshomaru.\His father's heirloom, Tetsusaiga,\known to fell a hundred demons in one sweep...\And only my Lord Sesshomaru is worthy of its magnificence!\Such a sword is wasted on Lord Sesshomaru's younger brother... response:	Inuyasha, that despicable half-demon with a mortal for a mother!
context: My eternal liege, the ultimate demon who knows no rival...\my Lord Sesshomaru.\His father's heirloom, Tetsusaiga,\known to fell a hundred demons in one sweep...\And only my Lord Sesshomaru is worthy of its magnificence!\Such a sword is wasted on Lord Sesshomaru's younger brother...\Inuyasha, that despicable half-demon with a mortal for a mother! response:	Rin.
context: My eternal liege, the ultimate demon who knows no rival...\my Lord Sesshomaru.\His father's heirloom, Tetsusaiga,\known to fell a hundred demons in one sweep...\And only my Lord Sesshomaru is worthy of its magnificence!\Such a sword is wasted on Lord Sesshomaru's younger brother...\Inuyasha, that despicable half-demon with a mortal for a mother!\Rin. response:	Yes, Lord Sesshomaru?
context: my Lord Sesshomaru.\His father's heirloom, Tetsusaiga,\known to fell a hundred demons in one sweep...\And only my Lord Sesshomaru is worthy of its magnificence!\Such a sword is wasted on Lord Sesshomaru's younger brother...\Inuyasha, that despicable half-demon with a mortal for a mother!\Rin.\Yes, Lord Sesshomaru? response:	When you're hungry, you must find your own food.
context: His father's heirloom, Tetsusaiga,\known to fell a hundred demons in one sweep...\And only my Lord Sesshomaru is worthy of its magnificence!\Such a sword is wasted on Lord Sesshomaru's younger brother...\Inuyasha, that despicable half-demon with a mortal for a mother!\Rin.\Yes, Lord Sesshomaru?\When you're hungry, you must find your own food. response:	All right! I'm off!
context: known to fell a hundred demons in one sweep...\And only my Lord Sesshomaru is worthy of its magnificence!\Such a sword is wasted on Lord Sesshomaru's younger brother...\Inuyasha, that despicable half-demon with a mortal for a mother!\Rin.\Yes, Lord Sesshomaru?\When you're hungry, you must find your own food.\All right! I'm off! response:	My goodness!
