context: Once upon a time, response:	a kind-hearted red ogre lived all by himself
context: Once upon a time,\a kind-hearted red ogre lived all by himself response:	in the mountains.
context: Once upon a time,\a kind-hearted red ogre lived all by himself\in the mountains. response:	Becoming friends with humans was his constant desire.
context: Once upon a time,\a kind-hearted red ogre lived all by himself\in the mountains.\Becoming friends with humans was his constant desire. response:	But...
context: Once upon a time,\a kind-hearted red ogre lived all by himself\in the mountains.\Becoming friends with humans was his constant desire.\But... response:	They were afraid of the ogre and stayed far away.
context: Once upon a time,\a kind-hearted red ogre lived all by himself\in the mountains.\Becoming friends with humans was his constant desire.\But...\They were afraid of the ogre and stayed far away. response:	The red ogre's friend, the blue ogre, came to him and said,
context: Once upon a time,\a kind-hearted red ogre lived all by himself\in the mountains.\Becoming friends with humans was his constant desire.\But...\They were afraid of the ogre and stayed far away.\The red ogre's friend, the blue ogre, came to him and said, response:	Say, Red...
context: Once upon a time,\a kind-hearted red ogre lived all by himself\in the mountains.\Becoming friends with humans was his constant desire.\But...\They were afraid of the ogre and stayed far away.\The red ogre's friend, the blue ogre, came to him and said,\Say, Red... response:	How about I stir things up in the village?
context: a kind-hearted red ogre lived all by himself\in the mountains.\Becoming friends with humans was his constant desire.\But...\They were afraid of the ogre and stayed far away.\The red ogre's friend, the blue ogre, came to him and said,\Say, Red...\How about I stir things up in the village? response:	You can defeat me.
context: in the mountains.\Becoming friends with humans was his constant desire.\But...\They were afraid of the ogre and stayed far away.\The red ogre's friend, the blue ogre, came to him and said,\Say, Red...\How about I stir things up in the village?\You can defeat me. response:	Then the humans should rethink who you are,
context: Becoming friends with humans was his constant desire.\But...\They were afraid of the ogre and stayed far away.\The red ogre's friend, the blue ogre, came to him and said,\Say, Red...\How about I stir things up in the village?\You can defeat me.\Then the humans should rethink who you are, response:	and you can become friends.
context: But...\They were afraid of the ogre and stayed far away.\The red ogre's friend, the blue ogre, came to him and said,\Say, Red...\How about I stir things up in the village?\You can defeat me.\Then the humans should rethink who you are,\and you can become friends. response:	My name is Gouda Takeo.
context: They were afraid of the ogre and stayed far away.\The red ogre's friend, the blue ogre, came to him and said,\Say, Red...\How about I stir things up in the village?\You can defeat me.\Then the humans should rethink who you are,\and you can become friends.\My name is Gouda Takeo. response:	I'm a third-year in junior high.
context: The red ogre's friend, the blue ogre, came to him and said,\Say, Red...\How about I stir things up in the village?\You can defeat me.\Then the humans should rethink who you are,\and you can become friends.\My name is Gouda Takeo.\I'm a third-year in junior high. response:	30th Graduation Ceremony Shuuei Junior High School
context: Say, Red...\How about I stir things up in the village?\You can defeat me.\Then the humans should rethink who you are,\and you can become friends.\My name is Gouda Takeo.\I'm a third-year in junior high.\30th Graduation Ceremony Shuuei Junior High School response:	Today is my last day in junior high,
context: How about I stir things up in the village?\You can defeat me.\Then the humans should rethink who you are,\and you can become friends.\My name is Gouda Takeo.\I'm a third-year in junior high.\30th Graduation Ceremony Shuuei Junior High School\Today is my last day in junior high, response:	the graduation ceremony.
context: You can defeat me.\Then the humans should rethink who you are,\and you can become friends.\My name is Gouda Takeo.\I'm a third-year in junior high.\30th Graduation Ceremony Shuuei Junior High School\Today is my last day in junior high,\the graduation ceremony. response:	And now, it's time for farewell.
context: Then the humans should rethink who you are,\and you can become friends.\My name is Gouda Takeo.\I'm a third-year in junior high.\30th Graduation Ceremony Shuuei Junior High School\Today is my last day in junior high,\the graduation ceremony.\And now, it's time for farewell. response:	It's time to say goodbye.
context: and you can become friends.\My name is Gouda Takeo.\I'm a third-year in junior high.\30th Graduation Ceremony Shuuei Junior High School\Today is my last day in junior high,\the graduation ceremony.\And now, it's time for farewell.\It's time to say goodbye. response:	My Story
context: My name is Gouda Takeo.\I'm a third-year in junior high.\30th Graduation Ceremony Shuuei Junior High School\Today is my last day in junior high,\the graduation ceremony.\And now, it's time for farewell.\It's time to say goodbye.\My Story response:	Takeo!
context: I'm a third-year in junior high.\30th Graduation Ceremony Shuuei Junior High School\Today is my last day in junior high,\the graduation ceremony.\And now, it's time for farewell.\It's time to say goodbye.\My Story\Takeo! response:	It's too bad we won't be in the same high school!
context: 30th Graduation Ceremony Shuuei Junior High School\Today is my last day in junior high,\the graduation ceremony.\And now, it's time for farewell.\It's time to say goodbye.\My Story\Takeo!\It's too bad we won't be in the same high school! response:	Yeah.
context: Today is my last day in junior high,\the graduation ceremony.\And now, it's time for farewell.\It's time to say goodbye.\My Story\Takeo!\It's too bad we won't be in the same high school!\Yeah. response:	I wish we could've gone to the same school!
context: the graduation ceremony.\And now, it's time for farewell.\It's time to say goodbye.\My Story\Takeo!\It's too bad we won't be in the same high school!\Yeah.\I wish we could've gone to the same school! response:	Yeah.
context: And now, it's time for farewell.\It's time to say goodbye.\My Story\Takeo!\It's too bad we won't be in the same high school!\Yeah.\I wish we could've gone to the same school!\Yeah. response:	Keep in touch, okay?
context: It's time to say goodbye.\My Story\Takeo!\It's too bad we won't be in the same high school!\Yeah.\I wish we could've gone to the same school!\Yeah.\Keep in touch, okay? response:	We'll come see you.
context: My Story\Takeo!\It's too bad we won't be in the same high school!\Yeah.\I wish we could've gone to the same school!\Yeah.\Keep in touch, okay?\We'll come see you. response:	Okay!
context: Takeo!\It's too bad we won't be in the same high school!\Yeah.\I wish we could've gone to the same school!\Yeah.\Keep in touch, okay?\We'll come see you.\Okay! response:	Takeo-senpai!
context: It's too bad we won't be in the same high school!\Yeah.\I wish we could've gone to the same school!\Yeah.\Keep in touch, okay?\We'll come see you.\Okay!\Takeo-senpai! response:	Osu!
context: Yeah.\I wish we could've gone to the same school!\Yeah.\Keep in touch, okay?\We'll come see you.\Okay!\Takeo-senpai!\Osu! response:	Right.
context: I wish we could've gone to the same school!\Yeah.\Keep in touch, okay?\We'll come see you.\Okay!\Takeo-senpai!\Osu!\Right. response:	Thank you for being with the club for three years.
context: Yeah.\Keep in touch, okay?\We'll come see you.\Okay!\Takeo-senpai!\Osu!\Right.\Thank you for being with the club for three years. response:	Please come by sometime!
context: Keep in touch, okay?\We'll come see you.\Okay!\Takeo-senpai!\Osu!\Right.\Thank you for being with the club for three years.\Please come by sometime! response:	Okay.
context: We'll come see you.\Okay!\Takeo-senpai!\Osu!\Right.\Thank you for being with the club for three years.\Please come by sometime!\Okay. response:	Thank you for everything Shinonara Ippon! Thank you! Nomura You're the man!! You're my role model To Takeo-senpai Congratulations on your graduation
