context: You're Old Now response:	A letter?
context: You're Old Now\A letter? response:	Kaizaki-sama
context: You're Old Now\A letter?\Kaizaki-sama response:	Must be Hishiro-san.
context: You're Old Now\A letter?\Kaizaki-sama\Must be Hishiro-san. response:	Kaizaki-sama? Really?
context: You're Old Now\A letter?\Kaizaki-sama\Must be Hishiro-san.\Kaizaki-sama? Really? response:	The 1,000 from yesterday?
context: You're Old Now\A letter?\Kaizaki-sama\Must be Hishiro-san.\Kaizaki-sama? Really?\The 1,000 from yesterday? response:	Dunno why she did this. She could have just handed it over to
context: You're Old Now\A letter?\Kaizaki-sama\Must be Hishiro-san.\Kaizaki-sama? Really?\The 1,000 from yesterday?\Dunno why she did this. She could have just handed it over to response:	Thank you for your help!
context: You're Old Now\A letter?\Kaizaki-sama\Must be Hishiro-san.\Kaizaki-sama? Really?\The 1,000 from yesterday?\Dunno why she did this. She could have just handed it over to\Thank you for your help! response:	Hishiro Chizuru
context: A letter?\Kaizaki-sama\Must be Hishiro-san.\Kaizaki-sama? Really?\The 1,000 from yesterday?\Dunno why she did this. She could have just handed it over to\Thank you for your help!\Hishiro Chizuru response:	Hishiro-san.
context: Kaizaki-sama\Must be Hishiro-san.\Kaizaki-sama? Really?\The 1,000 from yesterday?\Dunno why she did this. She could have just handed it over to\Thank you for your help!\Hishiro Chizuru\Hishiro-san. response:	Good morning.
context: Must be Hishiro-san.\Kaizaki-sama? Really?\The 1,000 from yesterday?\Dunno why she did this. She could have just handed it over to\Thank you for your help!\Hishiro Chizuru\Hishiro-san.\Good morning. response:	Uh, hi.
context: Kaizaki-sama? Really?\The 1,000 from yesterday?\Dunno why she did this. She could have just handed it over to\Thank you for your help!\Hishiro Chizuru\Hishiro-san.\Good morning.\Uh, hi. response:	Um...
context: The 1,000 from yesterday?\Dunno why she did this. She could have just handed it over to\Thank you for your help!\Hishiro Chizuru\Hishiro-san.\Good morning.\Uh, hi.\Um... response:	What the heck is this?
context: Dunno why she did this. She could have just handed it over to\Thank you for your help!\Hishiro Chizuru\Hishiro-san.\Good morning.\Uh, hi.\Um...\What the heck is this? response:	The 1,000 yen I borrowed yesterday.
context: Thank you for your help!\Hishiro Chizuru\Hishiro-san.\Good morning.\Uh, hi.\Um...\What the heck is this?\The 1,000 yen I borrowed yesterday. response:	Thank you so much.
context: Hishiro Chizuru\Hishiro-san.\Good morning.\Uh, hi.\Um...\What the heck is this?\The 1,000 yen I borrowed yesterday.\Thank you so much. response:	That's not what I'm talking about.
context: Hishiro-san.\Good morning.\Uh, hi.\Um...\What the heck is this?\The 1,000 yen I borrowed yesterday.\Thank you so much.\That's not what I'm talking about. response:	Wh-What have you done to Hideyo?
context: Good morning.\Uh, hi.\Um...\What the heck is this?\The 1,000 yen I borrowed yesterday.\Thank you so much.\That's not what I'm talking about.\Wh-What have you done to Hideyo? response:	It's quite... a curve ball.
context: Uh, hi.\Um...\What the heck is this?\The 1,000 yen I borrowed yesterday.\Thank you so much.\That's not what I'm talking about.\Wh-What have you done to Hideyo?\It's quite... a curve ball. response:	I thought returning it normally would be too serious and boring,
context: Um...\What the heck is this?\The 1,000 yen I borrowed yesterday.\Thank you so much.\That's not what I'm talking about.\Wh-What have you done to Hideyo?\It's quite... a curve ball.\I thought returning it normally would be too serious and boring, response:	so I looked around the Internet for ideas
context: What the heck is this?\The 1,000 yen I borrowed yesterday.\Thank you so much.\That's not what I'm talking about.\Wh-What have you done to Hideyo?\It's quite... a curve ball.\I thought returning it normally would be too serious and boring,\so I looked around the Internet for ideas response:	and found this amusing folding technique.
context: The 1,000 yen I borrowed yesterday.\Thank you so much.\That's not what I'm talking about.\Wh-What have you done to Hideyo?\It's quite... a curve ball.\I thought returning it normally would be too serious and boring,\so I looked around the Internet for ideas\and found this amusing folding technique. response:	This is it, I thought.
context: Thank you so much.\That's not what I'm talking about.\Wh-What have you done to Hideyo?\It's quite... a curve ball.\I thought returning it normally would be too serious and boring,\so I looked around the Internet for ideas\and found this amusing folding technique.\This is it, I thought. response:	Well, it's hilarious!
context: That's not what I'm talking about.\Wh-What have you done to Hideyo?\It's quite... a curve ball.\I thought returning it normally would be too serious and boring,\so I looked around the Internet for ideas\and found this amusing folding technique.\This is it, I thought.\Well, it's hilarious! response:	When I opened this by the shoe lockers,
context: Wh-What have you done to Hideyo?\It's quite... a curve ball.\I thought returning it normally would be too serious and boring,\so I looked around the Internet for ideas\and found this amusing folding technique.\This is it, I thought.\Well, it's hilarious!\When I opened this by the shoe lockers, response:	I damn near bust a gut.
context: It's quite... a curve ball.\I thought returning it normally would be too serious and boring,\so I looked around the Internet for ideas\and found this amusing folding technique.\This is it, I thought.\Well, it's hilarious!\When I opened this by the shoe lockers,\I damn near bust a gut. response:	Oh, my.
context: I thought returning it normally would be too serious and boring,\so I looked around the Internet for ideas\and found this amusing folding technique.\This is it, I thought.\Well, it's hilarious!\When I opened this by the shoe lockers,\I damn near bust a gut.\Oh, my. response:	I did not consider the consequences.
context: so I looked around the Internet for ideas\and found this amusing folding technique.\This is it, I thought.\Well, it's hilarious!\When I opened this by the shoe lockers,\I damn near bust a gut.\Oh, my.\I did not consider the consequences. response:	My strategy was flawed.
context: and found this amusing folding technique.\This is it, I thought.\Well, it's hilarious!\When I opened this by the shoe lockers,\I damn near bust a gut.\Oh, my.\I did not consider the consequences.\My strategy was flawed. response:	I shall be more careful.
context: This is it, I thought.\Well, it's hilarious!\When I opened this by the shoe lockers,\I damn near bust a gut.\Oh, my.\I did not consider the consequences.\My strategy was flawed.\I shall be more careful. response:	Do not fold Hideyo.
context: Well, it's hilarious!\When I opened this by the shoe lockers,\I damn near bust a gut.\Oh, my.\I did not consider the consequences.\My strategy was flawed.\I shall be more careful.\Do not fold Hideyo. response:	Anyway, thanks for returning it.
context: When I opened this by the shoe lockers,\I damn near bust a gut.\Oh, my.\I did not consider the consequences.\My strategy was flawed.\I shall be more careful.\Do not fold Hideyo.\Anyway, thanks for returning it. response:	It's not what you think.
