context: I'd been thinking for a while... response:	Is something that will disappear the same as something that never existed?
context: I'd been thinking for a while...\Is something that will disappear the same as something that never existed? response:	watashi ga umareta asa no machi yuki no naka ni umoreta
context: I'd been thinking for a while...\Is something that will disappear the same as something that never existed?\watashi ga umareta asa no machi yuki no naka ni umoreta response:	sore wa sore wa chiisai te de aozora wo aoida
context: I'd been thinking for a while...\Is something that will disappear the same as something that never existed?\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida response:	sanagara mukashi kara yoku shiru tonari no ano ko no you ni
context: I'd been thinking for a while...\Is something that will disappear the same as something that never existed?\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni response:	katahou no mimitabu de kiku sotsugyou no canon
context: I'd been thinking for a while...\Is something that will disappear the same as something that never existed?\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon response:	hitori demo daijoubu yo tte mekureteru watashi no story
context: I'd been thinking for a while...\Is something that will disappear the same as something that never existed?\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story response:	dareka no sei ni shitai yo
context: I'd been thinking for a while...\Is something that will disappear the same as something that never existed?\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo response:	tsurai naa iya iya
context: Is something that will disappear the same as something that never existed?\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya response:	kanashikutte naite bakkari itara me ga tokete nakunatta
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta response:	aki ni nari mata fuyu ni nari hitotsu toshi wo totta
context: sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta response:	tooku made nigete iru tsumori demo owaranai kimi no story
