context: We just have to pass through these, right? response:	Yay!
context: We just have to pass through these, right?\Yay! response:	Tomoe! That was Nanami!
context: We just have to pass through these, right?\Yay!\Tomoe! That was Nanami! response:	Mom!
context: We just have to pass through these, right?\Yay!\Tomoe! That was Nanami!\Mom! response:	Her mother is suffering from an illness.
context: We just have to pass through these, right?\Yay!\Tomoe! That was Nanami!\Mom!\Her mother is suffering from an illness. response:	She is not long for this world.
context: We just have to pass through these, right?\Yay!\Tomoe! That was Nanami!\Mom!\Her mother is suffering from an illness.\She is not long for this world. response:	I wonder what's happening on this world
context: We just have to pass through these, right?\Yay!\Tomoe! That was Nanami!\Mom!\Her mother is suffering from an illness.\She is not long for this world.\I wonder what's happening on this world response:	I wonder what's happening on this world
context: We just have to pass through these, right?\Yay!\Tomoe! That was Nanami!\Mom!\Her mother is suffering from an illness.\She is not long for this world.\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: Yay!\Tomoe! That was Nanami!\Mom!\Her mother is suffering from an illness.\She is not long for this world.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: Tomoe! That was Nanami!\Mom!\Her mother is suffering from an illness.\She is not long for this world.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: Mom!\Her mother is suffering from an illness.\She is not long for this world.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: Her mother is suffering from an illness.\She is not long for this world.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: She is not long for this world.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
