context: Dijun, are you unsure? response:	In the past few days, Dijun saved Qing Qiu's Little Princess twice
context: Dijun, are you unsure?\In the past few days, Dijun saved Qing Qiu's Little Princess twice response:	and used his power to suppress Qing Cang whenever the Bell of the East Emperor
context: Dijun, are you unsure?\In the past few days, Dijun saved Qing Qiu's Little Princess twice\and used his power to suppress Qing Cang whenever the Bell of the East Emperor response:	- was acting up, so- - No need to say those things.
context: Dijun, are you unsure?\In the past few days, Dijun saved Qing Qiu's Little Princess twice\and used his power to suppress Qing Cang whenever the Bell of the East Emperor\- was acting up, so- - No need to say those things. response:	Save Ye Hua first.
context: Dijun, are you unsure?\In the past few days, Dijun saved Qing Qiu's Little Princess twice\and used his power to suppress Qing Cang whenever the Bell of the East Emperor\- was acting up, so- - No need to say those things.\Save Ye Hua first. response:	Put the Soul-gathering Lamp in front of his bed for three days.
context: Dijun, are you unsure?\In the past few days, Dijun saved Qing Qiu's Little Princess twice\and used his power to suppress Qing Cang whenever the Bell of the East Emperor\- was acting up, so- - No need to say those things.\Save Ye Hua first.\Put the Soul-gathering Lamp in front of his bed for three days. response:	Keep it burning for three days.
context: Dijun, are you unsure?\In the past few days, Dijun saved Qing Qiu's Little Princess twice\and used his power to suppress Qing Cang whenever the Bell of the East Emperor\- was acting up, so- - No need to say those things.\Save Ye Hua first.\Put the Soul-gathering Lamp in front of his bed for three days.\Keep it burning for three days. response:	Ye Hua's soul will get better.
context: Dijun, are you unsure?\In the past few days, Dijun saved Qing Qiu's Little Princess twice\and used his power to suppress Qing Cang whenever the Bell of the East Emperor\- was acting up, so- - No need to say those things.\Save Ye Hua first.\Put the Soul-gathering Lamp in front of his bed for three days.\Keep it burning for three days.\Ye Hua's soul will get better. response:	You must look after the lamp yourself for three days.
context: In the past few days, Dijun saved Qing Qiu's Little Princess twice\and used his power to suppress Qing Cang whenever the Bell of the East Emperor\- was acting up, so- - No need to say those things.\Save Ye Hua first.\Put the Soul-gathering Lamp in front of his bed for three days.\Keep it burning for three days.\Ye Hua's soul will get better.\You must look after the lamp yourself for three days. response:	You can't take the easy way out and use your powers to look after it.
context: and used his power to suppress Qing Cang whenever the Bell of the East Emperor\- was acting up, so- - No need to say those things.\Save Ye Hua first.\Put the Soul-gathering Lamp in front of his bed for three days.\Keep it burning for three days.\Ye Hua's soul will get better.\You must look after the lamp yourself for three days.\You can't take the easy way out and use your powers to look after it. response:	Okay.
context: - was acting up, so- - No need to say those things.\Save Ye Hua first.\Put the Soul-gathering Lamp in front of his bed for three days.\Keep it burning for three days.\Ye Hua's soul will get better.\You must look after the lamp yourself for three days.\You can't take the easy way out and use your powers to look after it.\Okay. response:	I, Ye Hua, ask all the gods of the world to bear witness
context: Save Ye Hua first.\Put the Soul-gathering Lamp in front of his bed for three days.\Keep it burning for three days.\Ye Hua's soul will get better.\You must look after the lamp yourself for three days.\You can't take the easy way out and use your powers to look after it.\Okay.\I, Ye Hua, ask all the gods of the world to bear witness response:	in front of the Lakes of the Far East.
context: Put the Soul-gathering Lamp in front of his bed for three days.\Keep it burning for three days.\Ye Hua's soul will get better.\You must look after the lamp yourself for three days.\You can't take the easy way out and use your powers to look after it.\Okay.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East. response:	From this day forth, I will be married to Su Su.
context: Keep it burning for three days.\Ye Hua's soul will get better.\You must look after the lamp yourself for three days.\You can't take the easy way out and use your powers to look after it.\Okay.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su. response:	I will love her with all my heart for all eternity.
context: Ye Hua's soul will get better.\You must look after the lamp yourself for three days.\You can't take the easy way out and use your powers to look after it.\Okay.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity. response:	And never part from her regardless of fortune or calamity.
context: You must look after the lamp yourself for three days.\You can't take the easy way out and use your powers to look after it.\Okay.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity.\And never part from her regardless of fortune or calamity. response:	I, Su Su, ask all the gods of the world to bear witness
context: You can't take the easy way out and use your powers to look after it.\Okay.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity.\And never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness response:	in front of the Lakes of the Far East.
context: Okay.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity.\And never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East. response:	From this day forth, I will be married to Ye Hua.
context: I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity.\And never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua. response:	I will love him with all my heart for all eternity.
context: in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity.\And never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity. response:	And never part from him, regardless of fortune or calamity.
context: From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity.\And never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity.\And never part from him, regardless of fortune or calamity. response:	Ye Hua.
