context: So hot! response:	It's getting hotter by the day...
context: So hot!\It's getting hotter by the day... response:	They say summer this year will be hot.
context: So hot!\It's getting hotter by the day...\They say summer this year will be hot. response:	Sorry we only come by to cool down.
context: So hot!\It's getting hotter by the day...\They say summer this year will be hot.\Sorry we only come by to cool down. response:	I know you don't handle heat well due to your natures.
context: So hot!\It's getting hotter by the day...\They say summer this year will be hot.\Sorry we only come by to cool down.\I know you don't handle heat well due to your natures. response:	That's right! We don't need to be shy, Yukki!
context: So hot!\It's getting hotter by the day...\They say summer this year will be hot.\Sorry we only come by to cool down.\I know you don't handle heat well due to your natures.\That's right! We don't need to be shy, Yukki! response:	That's kinda annoying, though.
context: So hot!\It's getting hotter by the day...\They say summer this year will be hot.\Sorry we only come by to cool down.\I know you don't handle heat well due to your natures.\That's right! We don't need to be shy, Yukki!\That's kinda annoying, though. response:	This year is particularly hot, and not just for these two.
context: So hot!\It's getting hotter by the day...\They say summer this year will be hot.\Sorry we only come by to cool down.\I know you don't handle heat well due to your natures.\That's right! We don't need to be shy, Yukki!\That's kinda annoying, though.\This year is particularly hot, and not just for these two. response:	That's true.
context: It's getting hotter by the day...\They say summer this year will be hot.\Sorry we only come by to cool down.\I know you don't handle heat well due to your natures.\That's right! We don't need to be shy, Yukki!\That's kinda annoying, though.\This year is particularly hot, and not just for these two.\That's true. response:	With the height of summer coming up,
context: They say summer this year will be hot.\Sorry we only come by to cool down.\I know you don't handle heat well due to your natures.\That's right! We don't need to be shy, Yukki!\That's kinda annoying, though.\This year is particularly hot, and not just for these two.\That's true.\With the height of summer coming up, response:	we should consider what demis, particularly Hikari and Yuki,
context: Sorry we only come by to cool down.\I know you don't handle heat well due to your natures.\That's right! We don't need to be shy, Yukki!\That's kinda annoying, though.\This year is particularly hot, and not just for these two.\That's true.\With the height of summer coming up,\we should consider what demis, particularly Hikari and Yuki, response:	can do to get by.
context: I know you don't handle heat well due to your natures.\That's right! We don't need to be shy, Yukki!\That's kinda annoying, though.\This year is particularly hot, and not just for these two.\That's true.\With the height of summer coming up,\we should consider what demis, particularly Hikari and Yuki,\can do to get by. response:	That's a good idea.
context: That's right! We don't need to be shy, Yukki!\That's kinda annoying, though.\This year is particularly hot, and not just for these two.\That's true.\With the height of summer coming up,\we should consider what demis, particularly Hikari and Yuki,\can do to get by.\That's a good idea. response:	Every year, I worry about how I should spend the summer.
context: That's kinda annoying, though.\This year is particularly hot, and not just for these two.\That's true.\With the height of summer coming up,\we should consider what demis, particularly Hikari and Yuki,\can do to get by.\That's a good idea.\Every year, I worry about how I should spend the summer. response:	As it is, it's already pretty rough on you and Hikari-chan, huh?
context: This year is particularly hot, and not just for these two.\That's true.\With the height of summer coming up,\we should consider what demis, particularly Hikari and Yuki,\can do to get by.\That's a good idea.\Every year, I worry about how I should spend the summer.\As it is, it's already pretty rough on you and Hikari-chan, huh? response:	Sensei, that's great! Let's do it! Right now!
