context: Hey, have you heard the phrase a sea of flames? response:	It's saying that the fire is like the sea, right?
context: Hey, have you heard the phrase a sea of flames?\It's saying that the fire is like the sea, right? response:	I want to see this sea of flames.
context: Hey, have you heard the phrase a sea of flames?\It's saying that the fire is like the sea, right?\I want to see this sea of flames. response:	Like, if we set fire to this whole area, all the way to the horizon...
context: Hey, have you heard the phrase a sea of flames?\It's saying that the fire is like the sea, right?\I want to see this sea of flames.\Like, if we set fire to this whole area, all the way to the horizon... response:	Would that make a sea of flames?
context: Hey, have you heard the phrase a sea of flames?\It's saying that the fire is like the sea, right?\I want to see this sea of flames.\Like, if we set fire to this whole area, all the way to the horizon...\Would that make a sea of flames? response:	Forget it.
context: Hey, have you heard the phrase a sea of flames?\It's saying that the fire is like the sea, right?\I want to see this sea of flames.\Like, if we set fire to this whole area, all the way to the horizon...\Would that make a sea of flames?\Forget it. response:	You might be able to set the fire, but I doubt you could quell it.
context: Hey, have you heard the phrase a sea of flames?\It's saying that the fire is like the sea, right?\I want to see this sea of flames.\Like, if we set fire to this whole area, all the way to the horizon...\Would that make a sea of flames?\Forget it.\You might be able to set the fire, but I doubt you could quell it. response:	Do not play with fire when you cannot control it, Akura-oh.
context: Hey, have you heard the phrase a sea of flames?\It's saying that the fire is like the sea, right?\I want to see this sea of flames.\Like, if we set fire to this whole area, all the way to the horizon...\Would that make a sea of flames?\Forget it.\You might be able to set the fire, but I doubt you could quell it.\Do not play with fire when you cannot control it, Akura-oh. response:	If you want to see a sea of flames,
context: It's saying that the fire is like the sea, right?\I want to see this sea of flames.\Like, if we set fire to this whole area, all the way to the horizon...\Would that make a sea of flames?\Forget it.\You might be able to set the fire, but I doubt you could quell it.\Do not play with fire when you cannot control it, Akura-oh.\If you want to see a sea of flames, response:	I will show you an ocean of foxfire that devours crimson flames.
context: I want to see this sea of flames.\Like, if we set fire to this whole area, all the way to the horizon...\Would that make a sea of flames?\Forget it.\You might be able to set the fire, but I doubt you could quell it.\Do not play with fire when you cannot control it, Akura-oh.\If you want to see a sea of flames,\I will show you an ocean of foxfire that devours crimson flames. response:	Someday.
context: Like, if we set fire to this whole area, all the way to the horizon...\Would that make a sea of flames?\Forget it.\You might be able to set the fire, but I doubt you could quell it.\Do not play with fire when you cannot control it, Akura-oh.\If you want to see a sea of flames,\I will show you an ocean of foxfire that devours crimson flames.\Someday. response:	I wonder what's happening on this world
context: Would that make a sea of flames?\Forget it.\You might be able to set the fire, but I doubt you could quell it.\Do not play with fire when you cannot control it, Akura-oh.\If you want to see a sea of flames,\I will show you an ocean of foxfire that devours crimson flames.\Someday.\I wonder what's happening on this world response:	I wonder what's happening on this world
context: Forget it.\You might be able to set the fire, but I doubt you could quell it.\Do not play with fire when you cannot control it, Akura-oh.\If you want to see a sea of flames,\I will show you an ocean of foxfire that devours crimson flames.\Someday.\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: You might be able to set the fire, but I doubt you could quell it.\Do not play with fire when you cannot control it, Akura-oh.\If you want to see a sea of flames,\I will show you an ocean of foxfire that devours crimson flames.\Someday.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: Do not play with fire when you cannot control it, Akura-oh.\If you want to see a sea of flames,\I will show you an ocean of foxfire that devours crimson flames.\Someday.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: If you want to see a sea of flames,\I will show you an ocean of foxfire that devours crimson flames.\Someday.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: I will show you an ocean of foxfire that devours crimson flames.\Someday.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: Someday.\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
context: I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine response:	I'm like a washing machine
context: and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine response:	Just kidding
context: and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding response:	Just kidding
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding response:	Yes, I'm spinning around
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around response:	Yes, I'm spinning around
context: With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around response:	Around, around the world
context: With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world response:	Around, around the world
context: I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world response:	Because there's no limit to my love
context: I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love response:	Because there's no limit to my love
context: Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love response:	Spinning around, around, around the world
context: Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world response:	Spinning around, around, around the world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
