context: Yuuichi! response:	Sorry! Were you waiting long?
context: Yuuichi!\Sorry! Were you waiting long? response:	Don't worry. I just got here.
context: Yuuichi!\Sorry! Were you waiting long?\Don't worry. I just got here. response:	You look as lovely as ever today, Aya.
context: Yuuichi!\Sorry! Were you waiting long?\Don't worry. I just got here.\You look as lovely as ever today, Aya. response:	Oh. Thank you.
context: Yuuichi!\Sorry! Were you waiting long?\Don't worry. I just got here.\You look as lovely as ever today, Aya.\Oh. Thank you. response:	It's a new dress.
context: Yuuichi!\Sorry! Were you waiting long?\Don't worry. I just got here.\You look as lovely as ever today, Aya.\Oh. Thank you.\It's a new dress. response:	Well, let's go!
context: Yuuichi!\Sorry! Were you waiting long?\Don't worry. I just got here.\You look as lovely as ever today, Aya.\Oh. Thank you.\It's a new dress.\Well, let's go! response:	This is how a typical man and woman go on a date.
context: Yuuichi!\Sorry! Were you waiting long?\Don't worry. I just got here.\You look as lovely as ever today, Aya.\Oh. Thank you.\It's a new dress.\Well, let's go!\This is how a typical man and woman go on a date. response:	And, on the other hand, you have...
context: Sorry! Were you waiting long?\Don't worry. I just got here.\You look as lovely as ever today, Aya.\Oh. Thank you.\It's a new dress.\Well, let's go!\This is how a typical man and woman go on a date.\And, on the other hand, you have... response:	This is how a non-typical, science-type man and woman go on a date.
context: Don't worry. I just got here.\You look as lovely as ever today, Aya.\Oh. Thank you.\It's a new dress.\Well, let's go!\This is how a typical man and woman go on a date.\And, on the other hand, you have...\This is how a non-typical, science-type man and woman go on a date. response:	You are 0.36 seconds late, Himuro.
context: You look as lovely as ever today, Aya.\Oh. Thank you.\It's a new dress.\Well, let's go!\This is how a typical man and woman go on a date.\And, on the other hand, you have...\This is how a non-typical, science-type man and woman go on a date.\You are 0.36 seconds late, Himuro. response:	That's just your opinion, Yukimura-kun.
context: Oh. Thank you.\It's a new dress.\Well, let's go!\This is how a typical man and woman go on a date.\And, on the other hand, you have...\This is how a non-typical, science-type man and woman go on a date.\You are 0.36 seconds late, Himuro.\That's just your opinion, Yukimura-kun. response:	The exact boundaries of our meeting place, in front of the Hachisuke statue,
context: It's a new dress.\Well, let's go!\This is how a typical man and woman go on a date.\And, on the other hand, you have...\This is how a non-typical, science-type man and woman go on a date.\You are 0.36 seconds late, Himuro.\That's just your opinion, Yukimura-kun.\The exact boundaries of our meeting place, in front of the Hachisuke statue, response:	were not clearly defined.
context: Well, let's go!\This is how a typical man and woman go on a date.\And, on the other hand, you have...\This is how a non-typical, science-type man and woman go on a date.\You are 0.36 seconds late, Himuro.\That's just your opinion, Yukimura-kun.\The exact boundaries of our meeting place, in front of the Hachisuke statue,\were not clearly defined. response:	I can see that your impudence, at least, is first-class as always today.
context: This is how a typical man and woman go on a date.\And, on the other hand, you have...\This is how a non-typical, science-type man and woman go on a date.\You are 0.36 seconds late, Himuro.\That's just your opinion, Yukimura-kun.\The exact boundaries of our meeting place, in front of the Hachisuke statue,\were not clearly defined.\I can see that your impudence, at least, is first-class as always today. response:	Why, thank you.
context: And, on the other hand, you have...\This is how a non-typical, science-type man and woman go on a date.\You are 0.36 seconds late, Himuro.\That's just your opinion, Yukimura-kun.\The exact boundaries of our meeting place, in front of the Hachisuke statue,\were not clearly defined.\I can see that your impudence, at least, is first-class as always today.\Why, thank you. response:	Plan for Date with Yukimura
context: This is how a non-typical, science-type man and woman go on a date.\You are 0.36 seconds late, Himuro.\That's just your opinion, Yukimura-kun.\The exact boundaries of our meeting place, in front of the Hachisuke statue,\were not clearly defined.\I can see that your impudence, at least, is first-class as always today.\Why, thank you.\Plan for Date with Yukimura response:	Itinerary
context: You are 0.36 seconds late, Himuro.\That's just your opinion, Yukimura-kun.\The exact boundaries of our meeting place, in front of the Hachisuke statue,\were not clearly defined.\I can see that your impudence, at least, is first-class as always today.\Why, thank you.\Plan for Date with Yukimura\Itinerary response:	Meet in front of the Hachisuke statue at Higashiyono Station. Proceed toward the Yono shopping district. Approx. 3 min 15 sec
