context: We kissed, held hands, response:	and walked to the convenience store without saying a word.
context: We kissed, held hands,\and walked to the convenience store without saying a word. response:	Blinking eyes call the wind
context: We kissed, held hands,\and walked to the convenience store without saying a word.\Blinking eyes call the wind response:	A smile clears all the noise away
context: We kissed, held hands,\and walked to the convenience store without saying a word.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: We kissed, held hands,\and walked to the convenience store without saying a word.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: We kissed, held hands,\and walked to the convenience store without saying a word.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: We kissed, held hands,\and walked to the convenience store without saying a word.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: We kissed, held hands,\and walked to the convenience store without saying a word.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: and walked to the convenience store without saying a word.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	His hand is so warm. Just like Nana's.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\His hand is so warm. Just like Nana's. response:	I don't ever wanna let go of this hand.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\His hand is so warm. Just like Nana's.\I don't ever wanna let go of this hand. response:	What do I need to do to have him understand this feeling?
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\His hand is so warm. Just like Nana's.\I don't ever wanna let go of this hand.\What do I need to do to have him understand this feeling? response:	I'm the girl who could not send Takumi back that time
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\His hand is so warm. Just like Nana's.\I don't ever wanna let go of this hand.\What do I need to do to have him understand this feeling?\I'm the girl who could not send Takumi back that time response:	when Nobu was with me.
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\His hand is so warm. Just like Nana's.\I don't ever wanna let go of this hand.\What do I need to do to have him understand this feeling?\I'm the girl who could not send Takumi back that time\when Nobu was with me. response:	No matter what I say, I feel like he's not gonna believe me at this point.
context: This sky is torn\By a single overflowing word\His hand is so warm. Just like Nana's.\I don't ever wanna let go of this hand.\What do I need to do to have him understand this feeling?\I'm the girl who could not send Takumi back that time\when Nobu was with me.\No matter what I say, I feel like he's not gonna believe me at this point. response:	But the truth is, I've been holding back the whole time.
context: By a single overflowing word\His hand is so warm. Just like Nana's.\I don't ever wanna let go of this hand.\What do I need to do to have him understand this feeling?\I'm the girl who could not send Takumi back that time\when Nobu was with me.\No matter what I say, I feel like he's not gonna believe me at this point.\But the truth is, I've been holding back the whole time. response:	I wanted to become Nobu's girlfriend. I wanted to touch him.
context: His hand is so warm. Just like Nana's.\I don't ever wanna let go of this hand.\What do I need to do to have him understand this feeling?\I'm the girl who could not send Takumi back that time\when Nobu was with me.\No matter what I say, I feel like he's not gonna believe me at this point.\But the truth is, I've been holding back the whole time.\I wanted to become Nobu's girlfriend. I wanted to touch him. response:	I had secretly been wishing
context: I don't ever wanna let go of this hand.\What do I need to do to have him understand this feeling?\I'm the girl who could not send Takumi back that time\when Nobu was with me.\No matter what I say, I feel like he's not gonna believe me at this point.\But the truth is, I've been holding back the whole time.\I wanted to become Nobu's girlfriend. I wanted to touch him.\I had secretly been wishing response:	for the day when he would hold me in his arms
context: What do I need to do to have him understand this feeling?\I'm the girl who could not send Takumi back that time\when Nobu was with me.\No matter what I say, I feel like he's not gonna believe me at this point.\But the truth is, I've been holding back the whole time.\I wanted to become Nobu's girlfriend. I wanted to touch him.\I had secretly been wishing\for the day when he would hold me in his arms response:	as we'd walk this path along the river.
context: I'm the girl who could not send Takumi back that time\when Nobu was with me.\No matter what I say, I feel like he's not gonna believe me at this point.\But the truth is, I've been holding back the whole time.\I wanted to become Nobu's girlfriend. I wanted to touch him.\I had secretly been wishing\for the day when he would hold me in his arms\as we'd walk this path along the river. response:	What expression do you have right now,
context: when Nobu was with me.\No matter what I say, I feel like he's not gonna believe me at this point.\But the truth is, I've been holding back the whole time.\I wanted to become Nobu's girlfriend. I wanted to touch him.\I had secretly been wishing\for the day when he would hold me in his arms\as we'd walk this path along the river.\What expression do you have right now, response:	and what are you thinking?
context: No matter what I say, I feel like he's not gonna believe me at this point.\But the truth is, I've been holding back the whole time.\I wanted to become Nobu's girlfriend. I wanted to touch him.\I had secretly been wishing\for the day when he would hold me in his arms\as we'd walk this path along the river.\What expression do you have right now,\and what are you thinking? response:	I'm too scared to find out.
context: But the truth is, I've been holding back the whole time.\I wanted to become Nobu's girlfriend. I wanted to touch him.\I had secretly been wishing\for the day when he would hold me in his arms\as we'd walk this path along the river.\What expression do you have right now,\and what are you thinking?\I'm too scared to find out. response:	It's okay if you wanna take me away somewhere.
context: I wanted to become Nobu's girlfriend. I wanted to touch him.\I had secretly been wishing\for the day when he would hold me in his arms\as we'd walk this path along the river.\What expression do you have right now,\and what are you thinking?\I'm too scared to find out.\It's okay if you wanna take me away somewhere. response:	But what if he then thinks I could easily fall for a guy
context: I had secretly been wishing\for the day when he would hold me in his arms\as we'd walk this path along the river.\What expression do you have right now,\and what are you thinking?\I'm too scared to find out.\It's okay if you wanna take me away somewhere.\But what if he then thinks I could easily fall for a guy response:	even though I have a boyfriend, and ends up seriously hating me?
context: for the day when he would hold me in his arms\as we'd walk this path along the river.\What expression do you have right now,\and what are you thinking?\I'm too scared to find out.\It's okay if you wanna take me away somewhere.\But what if he then thinks I could easily fall for a guy\even though I have a boyfriend, and ends up seriously hating me? response:	What's with all this boring talk, baldy?
context: as we'd walk this path along the river.\What expression do you have right now,\and what are you thinking?\I'm too scared to find out.\It's okay if you wanna take me away somewhere.\But what if he then thinks I could easily fall for a guy\even though I have a boyfriend, and ends up seriously hating me?\What's with all this boring talk, baldy? response:	We just have to sell records, right?
