context: EPISODE 12: HEMORRHAGIC SHOCK (PART 1) response:	Hemorrhagic Shock. Part 1.
context: EPISODE 12: HEMORRHAGIC SHOCK (PART 1)\Hemorrhagic Shock. Part 1. response:	Inside the human body,
context: EPISODE 12: HEMORRHAGIC SHOCK (PART 1)\Hemorrhagic Shock. Part 1.\Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: EPISODE 12: HEMORRHAGIC SHOCK (PART 1)\Hemorrhagic Shock. Part 1.\Inside the human body,\roughly 37.2 trillion cells work energetically, response:	DENDRITE
context: EPISODE 12: HEMORRHAGIC SHOCK (PART 1)\Hemorrhagic Shock. Part 1.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE response:	all day every day.
context: EPISODE 12: HEMORRHAGIC SHOCK (PART 1)\Hemorrhagic Shock. Part 1.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day. response:	ANTIBODY ENCYCLOPEDIA
context: EPISODE 12: HEMORRHAGIC SHOCK (PART 1)\Hemorrhagic Shock. Part 1.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA response:	24 hours and 365 days.
context: EPISODE 12: HEMORRHAGIC SHOCK (PART 1)\Hemorrhagic Shock. Part 1.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days. response:	WHITE BLOOD CELL
context: Hemorrhagic Shock. Part 1.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL response:	They are all working very hard.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard. response:	UNDER CONSTRUCTION
context: roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION response:	PLATELETS
context: DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS response:	This is the inside of a human body.
