context: Once in a while when I wake up response:	I find myself crying.
context: Once in a while when I wake up\I find myself crying. response:	The dream I must have had I can never recall.
context: Once in a while when I wake up\I find myself crying.\The dream I must have had I can never recall. response:	But...
context: Once in a while when I wake up\I find myself crying.\The dream I must have had I can never recall.\But... response:	But...
context: Once in a while when I wake up\I find myself crying.\The dream I must have had I can never recall.\But...\But... response:	the sensation that I've lost something
context: Once in a while when I wake up\I find myself crying.\The dream I must have had I can never recall.\But...\But...\the sensation that I've lost something response:	lingers for a long time after I wake up.
context: Once in a while when I wake up\I find myself crying.\The dream I must have had I can never recall.\But...\But...\the sensation that I've lost something\lingers for a long time after I wake up. response:	I'm always searching
context: Once in a while when I wake up\I find myself crying.\The dream I must have had I can never recall.\But...\But...\the sensation that I've lost something\lingers for a long time after I wake up.\I'm always searching response:	for something, for someone.
context: I find myself crying.\The dream I must have had I can never recall.\But...\But...\the sensation that I've lost something\lingers for a long time after I wake up.\I'm always searching\for something, for someone. response:	This feeling has possessed me I think from that day...
context: The dream I must have had I can never recall.\But...\But...\the sensation that I've lost something\lingers for a long time after I wake up.\I'm always searching\for something, for someone.\This feeling has possessed me I think from that day... response:	That day when the stars came falling.
context: But...\But...\the sensation that I've lost something\lingers for a long time after I wake up.\I'm always searching\for something, for someone.\This feeling has possessed me I think from that day...\That day when the stars came falling. response:	It was almost as if...
context: But...\the sensation that I've lost something\lingers for a long time after I wake up.\I'm always searching\for something, for someone.\This feeling has possessed me I think from that day...\That day when the stars came falling.\It was almost as if... response:	as if a scene from a dream.
context: the sensation that I've lost something\lingers for a long time after I wake up.\I'm always searching\for something, for someone.\This feeling has possessed me I think from that day...\That day when the stars came falling.\It was almost as if...\as if a scene from a dream. response:	Nothing more, nothing less
context: lingers for a long time after I wake up.\I'm always searching\for something, for someone.\This feeling has possessed me I think from that day...\That day when the stars came falling.\It was almost as if...\as if a scene from a dream.\Nothing more, nothing less response:	than a beautiful view.
context: I'm always searching\for something, for someone.\This feeling has possessed me I think from that day...\That day when the stars came falling.\It was almost as if...\as if a scene from a dream.\Nothing more, nothing less\than a beautiful view. response:	Taki. Taki.
context: for something, for someone.\This feeling has possessed me I think from that day...\That day when the stars came falling.\It was almost as if...\as if a scene from a dream.\Nothing more, nothing less\than a beautiful view.\Taki. Taki. response:	Don't you remember me?
context: This feeling has possessed me I think from that day...\That day when the stars came falling.\It was almost as if...\as if a scene from a dream.\Nothing more, nothing less\than a beautiful view.\Taki. Taki.\Don't you remember me? response:	My name is...
context: That day when the stars came falling.\It was almost as if...\as if a scene from a dream.\Nothing more, nothing less\than a beautiful view.\Taki. Taki.\Don't you remember me?\My name is... response:	Mitsuha!
context: It was almost as if...\as if a scene from a dream.\Nothing more, nothing less\than a beautiful view.\Taki. Taki.\Don't you remember me?\My name is...\Mitsuha! response:	Mitsuha, what are you doing?
context: as if a scene from a dream.\Nothing more, nothing less\than a beautiful view.\Taki. Taki.\Don't you remember me?\My name is...\Mitsuha!\Mitsuha, what are you doing? response:	Well, they feel incredibly realistic...
context: Nothing more, nothing less\than a beautiful view.\Taki. Taki.\Don't you remember me?\My name is...\Mitsuha!\Mitsuha, what are you doing?\Well, they feel incredibly realistic... response:	What? Mitsuha?
context: than a beautiful view.\Taki. Taki.\Don't you remember me?\My name is...\Mitsuha!\Mitsuha, what are you doing?\Well, they feel incredibly realistic...\What? Mitsuha? response:	Are you half asleep? Breakfast!
context: Taki. Taki.\Don't you remember me?\My name is...\Mitsuha!\Mitsuha, what are you doing?\Well, they feel incredibly realistic...\What? Mitsuha?\Are you half asleep? Breakfast! response:	Hurry UP!
context: Don't you remember me?\My name is...\Mitsuha!\Mitsuha, what are you doing?\Well, they feel incredibly realistic...\What? Mitsuha?\Are you half asleep? Breakfast!\Hurry UP! response:	What? What?
context: My name is...\Mitsuha!\Mitsuha, what are you doing?\Well, they feel incredibly realistic...\What? Mitsuha?\Are you half asleep? Breakfast!\Hurry UP!\What? What? response:	Do you want last night's leftovers?
context: Mitsuha!\Mitsuha, what are you doing?\Well, they feel incredibly realistic...\What? Mitsuha?\Are you half asleep? Breakfast!\Hurry UP!\What? What?\Do you want last night's leftovers? response:	You can have it.
context: Mitsuha, what are you doing?\Well, they feel incredibly realistic...\What? Mitsuha?\Are you half asleep? Breakfast!\Hurry UP!\What? What?\Do you want last night's leftovers?\You can have it. response:	- Good morning. - Good morning.
context: Well, they feel incredibly realistic...\What? Mitsuha?\Are you half asleep? Breakfast!\Hurry UP!\What? What?\Do you want last night's leftovers?\You can have it.\- Good morning. - Good morning. response:	Mitsuha, you're late!
context: What? Mitsuha?\Are you half asleep? Breakfast!\Hurry UP!\What? What?\Do you want last night's leftovers?\You can have it.\- Good morning. - Good morning.\Mitsuha, you're late! response:	I'll make breakfast tomorrow.
context: Are you half asleep? Breakfast!\Hurry UP!\What? What?\Do you want last night's leftovers?\You can have it.\- Good morning. - Good morning.\Mitsuha, you're late!\I'll make breakfast tomorrow. response:	Is this too much?
context: Hurry UP!\What? What?\Do you want last night's leftovers?\You can have it.\- Good morning. - Good morning.\Mitsuha, you're late!\I'll make breakfast tomorrow.\Is this too much? response:	Oh well.
context: What? What?\Do you want last night's leftovers?\You can have it.\- Good morning. - Good morning.\Mitsuha, you're late!\I'll make breakfast tomorrow.\Is this too much?\Oh well. response:	You're normal today.
context: Do you want last night's leftovers?\You can have it.\- Good morning. - Good morning.\Mitsuha, you're late!\I'll make breakfast tomorrow.\Is this too much?\Oh well.\You're normal today. response:	You were nuts yesterday.
