context: Thank you very much. response:	Okay. We'll take a fifteen minute break before we start the second round.
context: Thank you very much.\Okay. We'll take a fifteen minute break before we start the second round. response:	Man, I'm starving.
context: Thank you very much.\Okay. We'll take a fifteen minute break before we start the second round.\Man, I'm starving. response:	Chihaya-chan, I'm heading to the fountain. If anything comes up...
context: Thank you very much.\Okay. We'll take a fifteen minute break before we start the second round.\Man, I'm starving.\Chihaya-chan, I'm heading to the fountain. If anything comes up... response:	When I play against Kana-chan, I can move back seven lines.
context: Thank you very much.\Okay. We'll take a fifteen minute break before we start the second round.\Man, I'm starving.\Chihaya-chan, I'm heading to the fountain. If anything comes up...\When I play against Kana-chan, I can move back seven lines. response:	Same when I play Desktomu-kun.
context: Thank you very much.\Okay. We'll take a fifteen minute break before we start the second round.\Man, I'm starving.\Chihaya-chan, I'm heading to the fountain. If anything comes up...\When I play against Kana-chan, I can move back seven lines.\Same when I play Desktomu-kun. response:	Porky and Taichi are stronger now,
context: Thank you very much.\Okay. We'll take a fifteen minute break before we start the second round.\Man, I'm starving.\Chihaya-chan, I'm heading to the fountain. If anything comes up...\When I play against Kana-chan, I can move back seven lines.\Same when I play Desktomu-kun.\Porky and Taichi are stronger now, response:	but I don't want to rush myself,
context: Thank you very much.\Okay. We'll take a fifteen minute break before we start the second round.\Man, I'm starving.\Chihaya-chan, I'm heading to the fountain. If anything comes up...\When I play against Kana-chan, I can move back seven lines.\Same when I play Desktomu-kun.\Porky and Taichi are stronger now,\but I don't want to rush myself, response:	so I'll move back three lines.
context: Okay. We'll take a fifteen minute break before we start the second round.\Man, I'm starving.\Chihaya-chan, I'm heading to the fountain. If anything comes up...\When I play against Kana-chan, I can move back seven lines.\Same when I play Desktomu-kun.\Porky and Taichi are stronger now,\but I don't want to rush myself,\so I'll move back three lines. response:	Three-syllable timing... Four-syllable timing...
context: Man, I'm starving.\Chihaya-chan, I'm heading to the fountain. If anything comes up...\When I play against Kana-chan, I can move back seven lines.\Same when I play Desktomu-kun.\Porky and Taichi are stronger now,\but I don't want to rush myself,\so I'll move back three lines.\Three-syllable timing... Four-syllable timing... response:	So the flower pe
context: Chihaya-chan, I'm heading to the fountain. If anything comes up...\When I play against Kana-chan, I can move back seven lines.\Same when I play Desktomu-kun.\Porky and Taichi are stronger now,\but I don't want to rush myself,\so I'll move back three lines.\Three-syllable timing... Four-syllable timing...\So the flower pe response:	So the flower has...
context: When I play against Kana-chan, I can move back seven lines.\Same when I play Desktomu-kun.\Porky and Taichi are stronger now,\but I don't want to rush myself,\so I'll move back three lines.\Three-syllable timing... Four-syllable timing...\So the flower pe\So the flower has... response:	The storm blasts...
context: Same when I play Desktomu-kun.\Porky and Taichi are stronger now,\but I don't want to rush myself,\so I'll move back three lines.\Three-syllable timing... Four-syllable timing...\So the flower pe\So the flower has...\The storm blasts... response:	to set the Tatsuta River ablaze
context: Porky and Taichi are stronger now,\but I don't want to rush myself,\so I'll move back three lines.\Three-syllable timing... Four-syllable timing...\So the flower pe\So the flower has...\The storm blasts...\to set the Tatsuta River ablaze response:	Timing is important,
context: but I don't want to rush myself,\so I'll move back three lines.\Three-syllable timing... Four-syllable timing...\So the flower pe\So the flower has...\The storm blasts...\to set the Tatsuta River ablaze\Timing is important, response:	but you also need to have control.
context: so I'll move back three lines.\Three-syllable timing... Four-syllable timing...\So the flower pe\So the flower has...\The storm blasts...\to set the Tatsuta River ablaze\Timing is important,\but you also need to have control. response:	Still...
context: Three-syllable timing... Four-syllable timing...\So the flower pe\So the flower has...\The storm blasts...\to set the Tatsuta River ablaze\Timing is important,\but you also need to have control.\Still... response:	How do I get rid of that left hand?
context: So the flower pe\So the flower has...\The storm blasts...\to set the Tatsuta River ablaze\Timing is important,\but you also need to have control.\Still...\How do I get rid of that left hand? response:	What do I have besides my speed?
context: So the flower has...\The storm blasts...\to set the Tatsuta River ablaze\Timing is important,\but you also need to have control.\Still...\How do I get rid of that left hand?\What do I have besides my speed? response:	If she used 1/10 of that focus on studying,
context: The storm blasts...\to set the Tatsuta River ablaze\Timing is important,\but you also need to have control.\Still...\How do I get rid of that left hand?\What do I have besides my speed?\If she used 1/10 of that focus on studying, response:	her grades wouldn't be fifth from the bottom in our grade.
context: to set the Tatsuta River ablaze\Timing is important,\but you also need to have control.\Still...\How do I get rid of that left hand?\What do I have besides my speed?\If she used 1/10 of that focus on studying,\her grades wouldn't be fifth from the bottom in our grade. response:	Chihaya Furu
