context: Wanting to make someone smile is a wonderful thing, isn't it? response:	That's what being an Undine is all about!
context: Wanting to make someone smile is a wonderful thing, isn't it?\That's what being an Undine is all about! response:	But how do I do that? That's what being an Undine is all about!
context: Wanting to make someone smile is a wonderful thing, isn't it?\That's what being an Undine is all about!\But how do I do that? That's what being an Undine is all about! response:	But how do I do that?
context: Wanting to make someone smile is a wonderful thing, isn't it?\That's what being an Undine is all about!\But how do I do that? That's what being an Undine is all about!\But how do I do that? response:	What makes you two smile?
context: Wanting to make someone smile is a wonderful thing, isn't it?\That's what being an Undine is all about!\But how do I do that? That's what being an Undine is all about!\But how do I do that?\What makes you two smile? response:	For me, it's when I eat something delicious.
context: Wanting to make someone smile is a wonderful thing, isn't it?\That's what being an Undine is all about!\But how do I do that? That's what being an Undine is all about!\But how do I do that?\What makes you two smile?\For me, it's when I eat something delicious. response:	When Akira praises me!
context: Wanting to make someone smile is a wonderful thing, isn't it?\That's what being an Undine is all about!\But how do I do that? That's what being an Undine is all about!\But how do I do that?\What makes you two smile?\For me, it's when I eat something delicious.\When Akira praises me! response:	When President Maa smiles.
context: Wanting to make someone smile is a wonderful thing, isn't it?\That's what being an Undine is all about!\But how do I do that? That's what being an Undine is all about!\But how do I do that?\What makes you two smile?\For me, it's when I eat something delicious.\When Akira praises me!\When President Maa smiles. response:	Stop right there! When President Maa smiles.
context: That's what being an Undine is all about!\But how do I do that? That's what being an Undine is all about!\But how do I do that?\What makes you two smile?\For me, it's when I eat something delicious.\When Akira praises me!\When President Maa smiles.\Stop right there! When President Maa smiles. response:	Stop right there!
context: But how do I do that? That's what being an Undine is all about!\But how do I do that?\What makes you two smile?\For me, it's when I eat something delicious.\When Akira praises me!\When President Maa smiles.\Stop right there! When President Maa smiles.\Stop right there! response:	That's actually kind of scary...
context: But how do I do that?\What makes you two smile?\For me, it's when I eat something delicious.\When Akira praises me!\When President Maa smiles.\Stop right there! When President Maa smiles.\Stop right there!\That's actually kind of scary... response:	Dear Ai, the days continue to be warm here in Neo-Venezia,
context: What makes you two smile?\For me, it's when I eat something delicious.\When Akira praises me!\When President Maa smiles.\Stop right there! When President Maa smiles.\Stop right there!\That's actually kind of scary...\Dear Ai, the days continue to be warm here in Neo-Venezia, response:	so it's safe to say early summer has arrived.
context: For me, it's when I eat something delicious.\When Akira praises me!\When President Maa smiles.\Stop right there! When President Maa smiles.\Stop right there!\That's actually kind of scary...\Dear Ai, the days continue to be warm here in Neo-Venezia,\so it's safe to say early summer has arrived. response:	Starting next month, I'll have to say goodbye to my winter uniform for a while.
context: When Akira praises me!\When President Maa smiles.\Stop right there! When President Maa smiles.\Stop right there!\That's actually kind of scary...\Dear Ai, the days continue to be warm here in Neo-Venezia,\so it's safe to say early summer has arrived.\Starting next month, I'll have to say goodbye to my winter uniform for a while. response:	I'm looking forward to it, but I'm also a little sad about it, so it's a mysterious feeling.
context: When President Maa smiles.\Stop right there! When President Maa smiles.\Stop right there!\That's actually kind of scary...\Dear Ai, the days continue to be warm here in Neo-Venezia,\so it's safe to say early summer has arrived.\Starting next month, I'll have to say goodbye to my winter uniform for a while.\I'm looking forward to it, but I'm also a little sad about it, so it's a mysterious feeling. response:	It smells delicious.
context: Stop right there! When President Maa smiles.\Stop right there!\That's actually kind of scary...\Dear Ai, the days continue to be warm here in Neo-Venezia,\so it's safe to say early summer has arrived.\Starting next month, I'll have to say goodbye to my winter uniform for a while.\I'm looking forward to it, but I'm also a little sad about it, so it's a mysterious feeling.\It smells delicious. response:	I'm quite proud of this dish. It has cheese in it!
context: Stop right there!\That's actually kind of scary...\Dear Ai, the days continue to be warm here in Neo-Venezia,\so it's safe to say early summer has arrived.\Starting next month, I'll have to say goodbye to my winter uniform for a while.\I'm looking forward to it, but I'm also a little sad about it, so it's a mysterious feeling.\It smells delicious.\I'm quite proud of this dish. It has cheese in it! response:	My, my. I'm looking forward to it.
context: That's actually kind of scary...\Dear Ai, the days continue to be warm here in Neo-Venezia,\so it's safe to say early summer has arrived.\Starting next month, I'll have to say goodbye to my winter uniform for a while.\I'm looking forward to it, but I'm also a little sad about it, so it's a mysterious feeling.\It smells delicious.\I'm quite proud of this dish. It has cheese in it!\My, my. I'm looking forward to it. response:	Thank you for waiting, President Aria.
context: Dear Ai, the days continue to be warm here in Neo-Venezia,\so it's safe to say early summer has arrived.\Starting next month, I'll have to say goodbye to my winter uniform for a while.\I'm looking forward to it, but I'm also a little sad about it, so it's a mysterious feeling.\It smells delicious.\I'm quite proud of this dish. It has cheese in it!\My, my. I'm looking forward to it.\Thank you for waiting, President Aria. response:	President Aria, you don't seem like your usual self.
context: so it's safe to say early summer has arrived.\Starting next month, I'll have to say goodbye to my winter uniform for a while.\I'm looking forward to it, but I'm also a little sad about it, so it's a mysterious feeling.\It smells delicious.\I'm quite proud of this dish. It has cheese in it!\My, my. I'm looking forward to it.\Thank you for waiting, President Aria.\President Aria, you don't seem like your usual self. response:	Are you reading the Nyan Nyan Puu comic strip like you always do?
context: Starting next month, I'll have to say goodbye to my winter uniform for a while.\I'm looking forward to it, but I'm also a little sad about it, so it's a mysterious feeling.\It smells delicious.\I'm quite proud of this dish. It has cheese in it!\My, my. I'm looking forward to it.\Thank you for waiting, President Aria.\President Aria, you don't seem like your usual self.\Are you reading the Nyan Nyan Puu comic strip like you always do? response:	Huh? You're not?
context: I'm looking forward to it, but I'm also a little sad about it, so it's a mysterious feeling.\It smells delicious.\I'm quite proud of this dish. It has cheese in it!\My, my. I'm looking forward to it.\Thank you for waiting, President Aria.\President Aria, you don't seem like your usual self.\Are you reading the Nyan Nyan Puu comic strip like you always do?\Huh? You're not? response:	This is... an article about the Ca' d'Oro?
