context: High School Championship Tokyo Regional Final Tournament Bracket response:	Mizusawa High School Homei High School Hokuo Academy Shoha High School
context: High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High School Homei High School Hokuo Academy Shoha High School response:	The top two teams get to go to Nationals, right?
context: High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High School Homei High School Hokuo Academy Shoha High School\The top two teams get to go to Nationals, right? response:	We don't need to try that hard then.
context: High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High School Homei High School Hokuo Academy Shoha High School\The top two teams get to go to Nationals, right?\We don't need to try that hard then. response:	How can you say that, President Amakasu?!
context: High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High School Homei High School Hokuo Academy Shoha High School\The top two teams get to go to Nationals, right?\We don't need to try that hard then.\How can you say that, President Amakasu?! response:	Have you forgotten how we were humiliated last year?!
context: High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High School Homei High School Hokuo Academy Shoha High School\The top two teams get to go to Nationals, right?\We don't need to try that hard then.\How can you say that, President Amakasu?!\Have you forgotten how we were humiliated last year?! response:	We must defeat Mizusawa and reclaim our trophy!
context: High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High School Homei High School Hokuo Academy Shoha High School\The top two teams get to go to Nationals, right?\We don't need to try that hard then.\How can you say that, President Amakasu?!\Have you forgotten how we were humiliated last year?!\We must defeat Mizusawa and reclaim our trophy! response:	What? That's too much effort.
context: High School Championship Tokyo Regional Final Tournament Bracket\Mizusawa High School Homei High School Hokuo Academy Shoha High School\The top two teams get to go to Nationals, right?\We don't need to try that hard then.\How can you say that, President Amakasu?!\Have you forgotten how we were humiliated last year?!\We must defeat Mizusawa and reclaim our trophy!\What? That's too much effort. response:	Whatever.
context: Mizusawa High School Homei High School Hokuo Academy Shoha High School\The top two teams get to go to Nationals, right?\We don't need to try that hard then.\How can you say that, President Amakasu?!\Have you forgotten how we were humiliated last year?!\We must defeat Mizusawa and reclaim our trophy!\What? That's too much effort.\Whatever. response:	We still have our Retrot cards.
context: The top two teams get to go to Nationals, right?\We don't need to try that hard then.\How can you say that, President Amakasu?!\Have you forgotten how we were humiliated last year?!\We must defeat Mizusawa and reclaim our trophy!\What? That's too much effort.\Whatever.\We still have our Retrot cards. response:	Tell us the enemy order so we can win
context: We don't need to try that hard then.\How can you say that, President Amakasu?!\Have you forgotten how we were humiliated last year?!\We must defeat Mizusawa and reclaim our trophy!\What? That's too much effort.\Whatever.\We still have our Retrot cards.\Tell us the enemy order so we can win response:	with a minimal amount of effort.
