context: EPISODE 4: FOOD POISONING response:	Food Poisoning.
context: EPISODE 4: FOOD POISONING\Food Poisoning. response:	Inside the human body,
context: EPISODE 4: FOOD POISONING\Food Poisoning.\Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: EPISODE 4: FOOD POISONING\Food Poisoning.\Inside the human body,\roughly 37.2 trillion cells work energetically, response:	DENDRITE
context: EPISODE 4: FOOD POISONING\Food Poisoning.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE response:	All day every day.
context: EPISODE 4: FOOD POISONING\Food Poisoning.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day. response:	ANTIBODY ENCYCLOPEDIA
context: EPISODE 4: FOOD POISONING\Food Poisoning.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA response:	24 hours and 365 days.
context: EPISODE 4: FOOD POISONING\Food Poisoning.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days. response:	WHITE BLOOD CELL
context: Food Poisoning.\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL response:	They are all working very hard.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard. response:	UNDER CONSTRUCTION
context: roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION response:	PLATELETS
context: DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS response:	This is the inside of a human body.
context: All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body. response:	What is this?
context: ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this? response:	WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.
context: 24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. response:	It's gastric juice.
context: WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\It's gastric juice. response:	It's dissolving the lumps of nutrients.
context: They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\It's gastric juice.\It's dissolving the lumps of nutrients. response:	RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.
context: UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\It's gastric juice.\It's dissolving the lumps of nutrients.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation. response:	That's amazing!
context: PLATELETS\This is the inside of a human body.\What is this?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\It's gastric juice.\It's dissolving the lumps of nutrients.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\That's amazing! response:	STOMACH: Stores food that's been swallowed, sterilizing it with the gastric acid that it secretes from its walls. In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, carrying out the first step of digestion.
context: This is the inside of a human body.\What is this?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\It's gastric juice.\It's dissolving the lumps of nutrients.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\That's amazing!\STOMACH: Stores food that's been swallowed, sterilizing it with the gastric acid that it secretes from its walls. In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, carrying out the first step of digestion. response:	The stomach.
context: What is this?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\It's gastric juice.\It's dissolving the lumps of nutrients.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\That's amazing!\STOMACH: Stores food that's been swallowed, sterilizing it with the gastric acid that it secretes from its walls. In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, carrying out the first step of digestion.\The stomach. response:	Stores food that's been swallowed,
context: WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\It's gastric juice.\It's dissolving the lumps of nutrients.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\That's amazing!\STOMACH: Stores food that's been swallowed, sterilizing it with the gastric acid that it secretes from its walls. In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, carrying out the first step of digestion.\The stomach.\Stores food that's been swallowed, response:	sterilizing it with the gastric acid that it secretes from its walls.
context: It's gastric juice.\It's dissolving the lumps of nutrients.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\That's amazing!\STOMACH: Stores food that's been swallowed, sterilizing it with the gastric acid that it secretes from its walls. In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, carrying out the first step of digestion.\The stomach.\Stores food that's been swallowed,\sterilizing it with the gastric acid that it secretes from its walls. response:	In addition, it turns the food into mush thanks to pepsin, a digestive enzyme,
context: It's dissolving the lumps of nutrients.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\That's amazing!\STOMACH: Stores food that's been swallowed, sterilizing it with the gastric acid that it secretes from its walls. In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, carrying out the first step of digestion.\The stomach.\Stores food that's been swallowed,\sterilizing it with the gastric acid that it secretes from its walls.\In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, response:	carrying out the first step of digestion.
context: RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\That's amazing!\STOMACH: Stores food that's been swallowed, sterilizing it with the gastric acid that it secretes from its walls. In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, carrying out the first step of digestion.\The stomach.\Stores food that's been swallowed,\sterilizing it with the gastric acid that it secretes from its walls.\In addition, it turns the food into mush thanks to pepsin, a digestive enzyme,\carrying out the first step of digestion. response:	So this is how food gets digested, huh?
context: That's amazing!\STOMACH: Stores food that's been swallowed, sterilizing it with the gastric acid that it secretes from its walls. In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, carrying out the first step of digestion.\The stomach.\Stores food that's been swallowed,\sterilizing it with the gastric acid that it secretes from its walls.\In addition, it turns the food into mush thanks to pepsin, a digestive enzyme,\carrying out the first step of digestion.\So this is how food gets digested, huh? response:	Yeah.
context: STOMACH: Stores food that's been swallowed, sterilizing it with the gastric acid that it secretes from its walls. In addition, it turns the food into mush thanks to pepsin, a digestive enzyme, carrying out the first step of digestion.\The stomach.\Stores food that's been swallowed,\sterilizing it with the gastric acid that it secretes from its walls.\In addition, it turns the food into mush thanks to pepsin, a digestive enzyme,\carrying out the first step of digestion.\So this is how food gets digested, huh?\Yeah. response:	See, since I've been using all my energy to learn my routes,
context: The stomach.\Stores food that's been swallowed,\sterilizing it with the gastric acid that it secretes from its walls.\In addition, it turns the food into mush thanks to pepsin, a digestive enzyme,\carrying out the first step of digestion.\So this is how food gets digested, huh?\Yeah.\See, since I've been using all my energy to learn my routes, response:	I've never really gotten a good look at how this all works!
