context: I'm such a loser! response:	Leader, my ass!
context: I'm such a loser!\Leader, my ass! response:	I left my subordinates behind and turned tail...
context: I'm such a loser!\Leader, my ass!\I left my subordinates behind and turned tail... response:	I'm a loser...
context: I'm such a loser!\Leader, my ass!\I left my subordinates behind and turned tail...\I'm a loser... response:	All right, that's enough.
context: I'm such a loser!\Leader, my ass!\I left my subordinates behind and turned tail...\I'm a loser...\All right, that's enough. response:	Don't blame yourself so much.
context: I'm such a loser!\Leader, my ass!\I left my subordinates behind and turned tail...\I'm a loser...\All right, that's enough.\Don't blame yourself so much. response:	Everyone knows well enough
context: I'm such a loser!\Leader, my ass!\I left my subordinates behind and turned tail...\I'm a loser...\All right, that's enough.\Don't blame yourself so much.\Everyone knows well enough response:	that you are no leader, Pai-Pai.
context: I'm such a loser!\Leader, my ass!\I left my subordinates behind and turned tail...\I'm a loser...\All right, that's enough.\Don't blame yourself so much.\Everyone knows well enough\that you are no leader, Pai-Pai. response:	OD...
context: Leader, my ass!\I left my subordinates behind and turned tail...\I'm a loser...\All right, that's enough.\Don't blame yourself so much.\Everyone knows well enough\that you are no leader, Pai-Pai.\OD... response:	Just kidding.
context: I left my subordinates behind and turned tail...\I'm a loser...\All right, that's enough.\Don't blame yourself so much.\Everyone knows well enough\that you are no leader, Pai-Pai.\OD...\Just kidding. response:	Hey, OD...
context: I'm a loser...\All right, that's enough.\Don't blame yourself so much.\Everyone knows well enough\that you are no leader, Pai-Pai.\OD...\Just kidding.\Hey, OD... response:	Hmm?
context: All right, that's enough.\Don't blame yourself so much.\Everyone knows well enough\that you are no leader, Pai-Pai.\OD...\Just kidding.\Hey, OD...\Hmm? response:	Do you like this planet?
context: Don't blame yourself so much.\Everyone knows well enough\that you are no leader, Pai-Pai.\OD...\Just kidding.\Hey, OD...\Hmm?\Do you like this planet? response:	Where'd that come from?
context: Everyone knows well enough\that you are no leader, Pai-Pai.\OD...\Just kidding.\Hey, OD...\Hmm?\Do you like this planet?\Where'd that come from? response:	I sometimes wonder if I can protect this planet...
context: that you are no leader, Pai-Pai.\OD...\Just kidding.\Hey, OD...\Hmm?\Do you like this planet?\Where'd that come from?\I sometimes wonder if I can protect this planet... response:	If I can sacrifice my life when the time comes.
context: OD...\Just kidding.\Hey, OD...\Hmm?\Do you like this planet?\Where'd that come from?\I sometimes wonder if I can protect this planet...\If I can sacrifice my life when the time comes. response:	Well, let's get going.
context: Just kidding.\Hey, OD...\Hmm?\Do you like this planet?\Where'd that come from?\I sometimes wonder if I can protect this planet...\If I can sacrifice my life when the time comes.\Well, let's get going. response:	Thanks for always being there...
context: Hey, OD...\Hmm?\Do you like this planet?\Where'd that come from?\I sometimes wonder if I can protect this planet...\If I can sacrifice my life when the time comes.\Well, let's get going.\Thanks for always being there... response:	Take it easy today.
