context: On the wall discolored by the sun, the poster mark remained. response:	Blinking eyes call the wind
context: On the wall discolored by the sun, the poster mark remained.\Blinking eyes call the wind response:	A smile clears all the noise away
context: On the wall discolored by the sun, the poster mark remained.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: On the wall discolored by the sun, the poster mark remained.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: On the wall discolored by the sun, the poster mark remained.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: On the wall discolored by the sun, the poster mark remained.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: On the wall discolored by the sun, the poster mark remained.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: On the wall discolored by the sun, the poster mark remained.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	What?
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\What? response:	You're an only child, Nobu?
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\What?\You're an only child, Nobu? response:	Yeah. My parents must be crying about now.
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\What?\You're an only child, Nobu?\Yeah. My parents must be crying about now. response:	Or rather, they must be really pissed off.
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\What?\You're an only child, Nobu?\Yeah. My parents must be crying about now.\Or rather, they must be really pissed off. response:	I see. I guess you were supposed to take over your family inn, huh?
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\What?\You're an only child, Nobu?\Yeah. My parents must be crying about now.\Or rather, they must be really pissed off.\I see. I guess you were supposed to take over your family inn, huh? response:	How big is it?
context: This sky is torn\By a single overflowing word\What?\You're an only child, Nobu?\Yeah. My parents must be crying about now.\Or rather, they must be really pissed off.\I see. I guess you were supposed to take over your family inn, huh?\How big is it? response:	A SPOILED CHILD
context: By a single overflowing word\What?\You're an only child, Nobu?\Yeah. My parents must be crying about now.\Or rather, they must be really pissed off.\I see. I guess you were supposed to take over your family inn, huh?\How big is it?\A SPOILED CHILD response:	You only remember things like that, huh?
context: What?\You're an only child, Nobu?\Yeah. My parents must be crying about now.\Or rather, they must be really pissed off.\I see. I guess you were supposed to take over your family inn, huh?\How big is it?\A SPOILED CHILD\You only remember things like that, huh? response:	What's going on in this head?
context: You're an only child, Nobu?\Yeah. My parents must be crying about now.\Or rather, they must be really pissed off.\I see. I guess you were supposed to take over your family inn, huh?\How big is it?\A SPOILED CHILD\You only remember things like that, huh?\What's going on in this head? response:	But when BLAST debuts officially,
context: Yeah. My parents must be crying about now.\Or rather, they must be really pissed off.\I see. I guess you were supposed to take over your family inn, huh?\How big is it?\A SPOILED CHILD\You only remember things like that, huh?\What's going on in this head?\But when BLAST debuts officially, response:	I'll bet they'll be so thrilled they'll forgive you right away.
context: Or rather, they must be really pissed off.\I see. I guess you were supposed to take over your family inn, huh?\How big is it?\A SPOILED CHILD\You only remember things like that, huh?\What's going on in this head?\But when BLAST debuts officially,\I'll bet they'll be so thrilled they'll forgive you right away. response:	So you've gotta do your best.
context: I see. I guess you were supposed to take over your family inn, huh?\How big is it?\A SPOILED CHILD\You only remember things like that, huh?\What's going on in this head?\But when BLAST debuts officially,\I'll bet they'll be so thrilled they'll forgive you right away.\So you've gotta do your best. response:	Yeah.
context: How big is it?\A SPOILED CHILD\You only remember things like that, huh?\What's going on in this head?\But when BLAST debuts officially,\I'll bet they'll be so thrilled they'll forgive you right away.\So you've gotta do your best.\Yeah. response:	I'll do my best for your sake too, Hachi.
context: A SPOILED CHILD\You only remember things like that, huh?\What's going on in this head?\But when BLAST debuts officially,\I'll bet they'll be so thrilled they'll forgive you right away.\So you've gotta do your best.\Yeah.\I'll do my best for your sake too, Hachi. response:	I told you, don't call me Hachi.
context: You only remember things like that, huh?\What's going on in this head?\But when BLAST debuts officially,\I'll bet they'll be so thrilled they'll forgive you right away.\So you've gotta do your best.\Yeah.\I'll do my best for your sake too, Hachi.\I told you, don't call me Hachi. response:	But if I call you Nana,
context: What's going on in this head?\But when BLAST debuts officially,\I'll bet they'll be so thrilled they'll forgive you right away.\So you've gotta do your best.\Yeah.\I'll do my best for your sake too, Hachi.\I told you, don't call me Hachi.\But if I call you Nana, response:	I can't help but picture the face of that cat-eyed Queen.
context: But when BLAST debuts officially,\I'll bet they'll be so thrilled they'll forgive you right away.\So you've gotta do your best.\Yeah.\I'll do my best for your sake too, Hachi.\I told you, don't call me Hachi.\But if I call you Nana,\I can't help but picture the face of that cat-eyed Queen. response:	Cat-eyed?
context: I'll bet they'll be so thrilled they'll forgive you right away.\So you've gotta do your best.\Yeah.\I'll do my best for your sake too, Hachi.\I told you, don't call me Hachi.\But if I call you Nana,\I can't help but picture the face of that cat-eyed Queen.\Cat-eyed? response:	I've been calling her that since the tenth grade,
context: So you've gotta do your best.\Yeah.\I'll do my best for your sake too, Hachi.\I told you, don't call me Hachi.\But if I call you Nana,\I can't help but picture the face of that cat-eyed Queen.\Cat-eyed?\I've been calling her that since the tenth grade, response:	so it's become second nature now.
