context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Despair...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Despair... response:	You've lost!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Despair...\You've lost! response:	Asta mustered up everything he had and used it on this blow to Vetto.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Despair...\You've lost!\Asta mustered up everything he had and used it on this blow to Vetto. response:	How do you like that, you bastard?!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Despair...\You've lost!\Asta mustered up everything he had and used it on this blow to Vetto.\How do you like that, you bastard?! response:	But the battle wasn't over yet!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Despair...\You've lost!\Asta mustered up everything he had and used it on this blow to Vetto.\How do you like that, you bastard?!\But the battle wasn't over yet! response:	I'm taking you all down with me... No...
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Despair...\You've lost!\Asta mustered up everything he had and used it on this blow to Vetto.\How do you like that, you bastard?!\But the battle wasn't over yet!\I'm taking you all down with me... No... response:	I'll blow this whole temple to smithereens!
context: He was called the Wizard King, and he became a legend.\Despair...\You've lost!\Asta mustered up everything he had and used it on this blow to Vetto.\How do you like that, you bastard?!\But the battle wasn't over yet!\I'm taking you all down with me... No...\I'll blow this whole temple to smithereens! response:	And then...
context: Despair...\You've lost!\Asta mustered up everything he had and used it on this blow to Vetto.\How do you like that, you bastard?!\But the battle wasn't over yet!\I'm taking you all down with me... No...\I'll blow this whole temple to smithereens!\And then... response:	Right, consider it brought.
context: You've lost!\Asta mustered up everything he had and used it on this blow to Vetto.\How do you like that, you bastard?!\But the battle wasn't over yet!\I'm taking you all down with me... No...\I'll blow this whole temple to smithereens!\And then...\Right, consider it brought. response:	Hey, you dumbasses. You good?
context: Asta mustered up everything he had and used it on this blow to Vetto.\How do you like that, you bastard?!\But the battle wasn't over yet!\I'm taking you all down with me... No...\I'll blow this whole temple to smithereens!\And then...\Right, consider it brought.\Hey, you dumbasses. You good? response:	Captain Yami!
context: How do you like that, you bastard?!\But the battle wasn't over yet!\I'm taking you all down with me... No...\I'll blow this whole temple to smithereens!\And then...\Right, consider it brought.\Hey, you dumbasses. You good?\Captain Yami! response:	Accepting all the feelings of Asta and the other members,
context: But the battle wasn't over yet!\I'm taking you all down with me... No...\I'll blow this whole temple to smithereens!\And then...\Right, consider it brought.\Hey, you dumbasses. You good?\Captain Yami!\Accepting all the feelings of Asta and the other members, response:	Yami dealt a fatal blow.
context: I'm taking you all down with me... No...\I'll blow this whole temple to smithereens!\And then...\Right, consider it brought.\Hey, you dumbasses. You good?\Captain Yami!\Accepting all the feelings of Asta and the other members,\Yami dealt a fatal blow. response:	It doesn't matter how strong your magic is!
context: I'll blow this whole temple to smithereens!\And then...\Right, consider it brought.\Hey, you dumbasses. You good?\Captain Yami!\Accepting all the feelings of Asta and the other members,\Yami dealt a fatal blow.\It doesn't matter how strong your magic is! response:	Dark Magic: Dark Cloaked Dimension Slash!
context: And then...\Right, consider it brought.\Hey, you dumbasses. You good?\Captain Yami!\Accepting all the feelings of Asta and the other members,\Yami dealt a fatal blow.\It doesn't matter how strong your magic is!\Dark Magic: Dark Cloaked Dimension Slash! response:	Consider that my thanks for looking after my squad.
