context: All these altercations in only two days... response:	It's too many to be a coincidence.
context: All these altercations in only two days...\It's too many to be a coincidence. response:	But why attack Akihabara?
context: All these altercations in only two days...\It's too many to be a coincidence.\But why attack Akihabara? response:	It seems their method is to permeate the city, then cause minor disturbances
context: All these altercations in only two days...\It's too many to be a coincidence.\But why attack Akihabara?\It seems their method is to permeate the city, then cause minor disturbances response:	and spread groundless rumors.
context: All these altercations in only two days...\It's too many to be a coincidence.\But why attack Akihabara?\It seems their method is to permeate the city, then cause minor disturbances\and spread groundless rumors. response:	And their goal is probably
context: All these altercations in only two days...\It's too many to be a coincidence.\But why attack Akihabara?\It seems their method is to permeate the city, then cause minor disturbances\and spread groundless rumors.\And their goal is probably response:	to destroy the Round Table's reputation.
context: All these altercations in only two days...\It's too many to be a coincidence.\But why attack Akihabara?\It seems their method is to permeate the city, then cause minor disturbances\and spread groundless rumors.\And their goal is probably\to destroy the Round Table's reputation. response:	Then I was right?
context: All these altercations in only two days...\It's too many to be a coincidence.\But why attack Akihabara?\It seems their method is to permeate the city, then cause minor disturbances\and spread groundless rumors.\And their goal is probably\to destroy the Round Table's reputation.\Then I was right? response:	Shiroe agrees, as well.
context: It's too many to be a coincidence.\But why attack Akihabara?\It seems their method is to permeate the city, then cause minor disturbances\and spread groundless rumors.\And their goal is probably\to destroy the Round Table's reputation.\Then I was right?\Shiroe agrees, as well. response:	An attack?
context: But why attack Akihabara?\It seems their method is to permeate the city, then cause minor disturbances\and spread groundless rumors.\And their goal is probably\to destroy the Round Table's reputation.\Then I was right?\Shiroe agrees, as well.\An attack? response:	The transient fifteen percent of the current population
context: It seems their method is to permeate the city, then cause minor disturbances\and spread groundless rumors.\And their goal is probably\to destroy the Round Table's reputation.\Then I was right?\Shiroe agrees, as well.\An attack?\The transient fifteen percent of the current population response:	has caused over sixty percent of the problems.
context: and spread groundless rumors.\And their goal is probably\to destroy the Round Table's reputation.\Then I was right?\Shiroe agrees, as well.\An attack?\The transient fifteen percent of the current population\has caused over sixty percent of the problems. response:	Receipts Complaints
context: And their goal is probably\to destroy the Round Table's reputation.\Then I was right?\Shiroe agrees, as well.\An attack?\The transient fifteen percent of the current population\has caused over sixty percent of the problems.\Receipts Complaints response:	So they deliberately turned in faulty paperwork to confuse us?
