context: Grand Prix Final Final Competition response:	Barcelona, Spain
context: Grand Prix Final Final Competition\Barcelona, Spain response:	The top six skaters we'll see today have survived the brutal GP Series.
context: Grand Prix Final Final Competition\Barcelona, Spain\The top six skaters we'll see today have survived the brutal GP Series. response:	Here they come, on their way to the number one spot.
context: Grand Prix Final Final Competition\Barcelona, Spain\The top six skaters we'll see today have survived the brutal GP Series.\Here they come, on their way to the number one spot. response:	Men's Singles Top 6
context: Grand Prix Final Final Competition\Barcelona, Spain\The top six skaters we'll see today have survived the brutal GP Series.\Here they come, on their way to the number one spot.\Men's Singles Top 6 response:	In sixth place, Katsuki Yuri was the last qualifier.
context: Grand Prix Final Final Competition\Barcelona, Spain\The top six skaters we'll see today have survived the brutal GP Series.\Here they come, on their way to the number one spot.\Men's Singles Top 6\In sixth place, Katsuki Yuri was the last qualifier. response:	GP Series, 6th Place Katsuki Yuri (24)
context: Grand Prix Final Final Competition\Barcelona, Spain\The top six skaters we'll see today have survived the brutal GP Series.\Here they come, on their way to the number one spot.\Men's Singles Top 6\In sixth place, Katsuki Yuri was the last qualifier.\GP Series, 6th Place Katsuki Yuri (24) response:	Will he redeem himself in his second Final?
context: Grand Prix Final Final Competition\Barcelona, Spain\The top six skaters we'll see today have survived the brutal GP Series.\Here they come, on their way to the number one spot.\Men's Singles Top 6\In sixth place, Katsuki Yuri was the last qualifier.\GP Series, 6th Place Katsuki Yuri (24)\Will he redeem himself in his second Final? response:	Cup of China: 2nd Place Rostelecom Cup: 4th Place
context: Barcelona, Spain\The top six skaters we'll see today have survived the brutal GP Series.\Here they come, on their way to the number one spot.\Men's Singles Top 6\In sixth place, Katsuki Yuri was the last qualifier.\GP Series, 6th Place Katsuki Yuri (24)\Will he redeem himself in his second Final?\Cup of China: 2nd Place Rostelecom Cup: 4th Place response:	With Victor Nikiforov as his coach this season,
context: The top six skaters we'll see today have survived the brutal GP Series.\Here they come, on their way to the number one spot.\Men's Singles Top 6\In sixth place, Katsuki Yuri was the last qualifier.\GP Series, 6th Place Katsuki Yuri (24)\Will he redeem himself in his second Final?\Cup of China: 2nd Place Rostelecom Cup: 4th Place\With Victor Nikiforov as his coach this season, response:	he'll try to prove the power of love by winning gold in the Final.
context: Here they come, on their way to the number one spot.\Men's Singles Top 6\In sixth place, Katsuki Yuri was the last qualifier.\GP Series, 6th Place Katsuki Yuri (24)\Will he redeem himself in his second Final?\Cup of China: 2nd Place Rostelecom Cup: 4th Place\With Victor Nikiforov as his coach this season,\he'll try to prove the power of love by winning gold in the Final. response:	GP Series, 5th Place Phichit Chulanont (20)
context: Men's Singles Top 6\In sixth place, Katsuki Yuri was the last qualifier.\GP Series, 6th Place Katsuki Yuri (24)\Will he redeem himself in his second Final?\Cup of China: 2nd Place Rostelecom Cup: 4th Place\With Victor Nikiforov as his coach this season,\he'll try to prove the power of love by winning gold in the Final.\GP Series, 5th Place Phichit Chulanont (20) response:	Phichit Chulanont finished fifth in the Grand Prix Series.
context: In sixth place, Katsuki Yuri was the last qualifier.\GP Series, 6th Place Katsuki Yuri (24)\Will he redeem himself in his second Final?\Cup of China: 2nd Place Rostelecom Cup: 4th Place\With Victor Nikiforov as his coach this season,\he'll try to prove the power of love by winning gold in the Final.\GP Series, 5th Place Phichit Chulanont (20)\Phichit Chulanont finished fifth in the Grand Prix Series. response:	He's on a roll after becoming the first Thai skater to win gold at the Cup of China.
context: GP Series, 6th Place Katsuki Yuri (24)\Will he redeem himself in his second Final?\Cup of China: 2nd Place Rostelecom Cup: 4th Place\With Victor Nikiforov as his coach this season,\he'll try to prove the power of love by winning gold in the Final.\GP Series, 5th Place Phichit Chulanont (20)\Phichit Chulanont finished fifth in the Grand Prix Series.\He's on a roll after becoming the first Thai skater to win gold at the Cup of China. response:	Skate America: 4th Place Cup of China: Gold
context: Will he redeem himself in his second Final?\Cup of China: 2nd Place Rostelecom Cup: 4th Place\With Victor Nikiforov as his coach this season,\he'll try to prove the power of love by winning gold in the Final.\GP Series, 5th Place Phichit Chulanont (20)\Phichit Chulanont finished fifth in the Grand Prix Series.\He's on a roll after becoming the first Thai skater to win gold at the Cup of China.\Skate America: 4th Place Cup of China: Gold response:	In his first Final, he'll rewrite history for Southeast Asian figure skating.
context: Cup of China: 2nd Place Rostelecom Cup: 4th Place\With Victor Nikiforov as his coach this season,\he'll try to prove the power of love by winning gold in the Final.\GP Series, 5th Place Phichit Chulanont (20)\Phichit Chulanont finished fifth in the Grand Prix Series.\He's on a roll after becoming the first Thai skater to win gold at the Cup of China.\Skate America: 4th Place Cup of China: Gold\In his first Final, he'll rewrite history for Southeast Asian figure skating. response:	GP Series, 4th Place Yuri Plisetsky (15)
context: With Victor Nikiforov as his coach this season,\he'll try to prove the power of love by winning gold in the Final.\GP Series, 5th Place Phichit Chulanont (20)\Phichit Chulanont finished fifth in the Grand Prix Series.\He's on a roll after becoming the first Thai skater to win gold at the Cup of China.\Skate America: 4th Place Cup of China: Gold\In his first Final, he'll rewrite history for Southeast Asian figure skating.\GP Series, 4th Place Yuri Plisetsky (15) response:	Yuri Plisetsky finished fourth in the Series.
context: he'll try to prove the power of love by winning gold in the Final.\GP Series, 5th Place Phichit Chulanont (20)\Phichit Chulanont finished fifth in the Grand Prix Series.\He's on a roll after becoming the first Thai skater to win gold at the Cup of China.\Skate America: 4th Place Cup of China: Gold\In his first Final, he'll rewrite history for Southeast Asian figure skating.\GP Series, 4th Place Yuri Plisetsky (15)\Yuri Plisetsky finished fourth in the Series. response:	Last year's junior champion, this is his senior debut.
context: GP Series, 5th Place Phichit Chulanont (20)\Phichit Chulanont finished fifth in the Grand Prix Series.\He's on a roll after becoming the first Thai skater to win gold at the Cup of China.\Skate America: 4th Place Cup of China: Gold\In his first Final, he'll rewrite history for Southeast Asian figure skating.\GP Series, 4th Place Yuri Plisetsky (15)\Yuri Plisetsky finished fourth in the Series.\Last year's junior champion, this is his senior debut. response:	Skate Canada: 2nd Place Rostelecom Cup: 2nd Place
context: Phichit Chulanont finished fifth in the Grand Prix Series.\He's on a roll after becoming the first Thai skater to win gold at the Cup of China.\Skate America: 4th Place Cup of China: Gold\In his first Final, he'll rewrite history for Southeast Asian figure skating.\GP Series, 4th Place Yuri Plisetsky (15)\Yuri Plisetsky finished fourth in the Series.\Last year's junior champion, this is his senior debut.\Skate Canada: 2nd Place Rostelecom Cup: 2nd Place response:	He's been allowed to jump quads this season,
context: He's on a roll after becoming the first Thai skater to win gold at the Cup of China.\Skate America: 4th Place Cup of China: Gold\In his first Final, he'll rewrite history for Southeast Asian figure skating.\GP Series, 4th Place Yuri Plisetsky (15)\Yuri Plisetsky finished fourth in the Series.\Last year's junior champion, this is his senior debut.\Skate Canada: 2nd Place Rostelecom Cup: 2nd Place\He's been allowed to jump quads this season, response:	and he's done brilliantly, placing second in both qualifying events.
context: Skate America: 4th Place Cup of China: Gold\In his first Final, he'll rewrite history for Southeast Asian figure skating.\GP Series, 4th Place Yuri Plisetsky (15)\Yuri Plisetsky finished fourth in the Series.\Last year's junior champion, this is his senior debut.\Skate Canada: 2nd Place Rostelecom Cup: 2nd Place\He's been allowed to jump quads this season,\and he's done brilliantly, placing second in both qualifying events. response:	As the youngest skater at this Final,
context: In his first Final, he'll rewrite history for Southeast Asian figure skating.\GP Series, 4th Place Yuri Plisetsky (15)\Yuri Plisetsky finished fourth in the Series.\Last year's junior champion, this is his senior debut.\Skate Canada: 2nd Place Rostelecom Cup: 2nd Place\He's been allowed to jump quads this season,\and he's done brilliantly, placing second in both qualifying events.\As the youngest skater at this Final, response:	he seeks to defend Russia's prestige by securing his first victory.
context: GP Series, 4th Place Yuri Plisetsky (15)\Yuri Plisetsky finished fourth in the Series.\Last year's junior champion, this is his senior debut.\Skate Canada: 2nd Place Rostelecom Cup: 2nd Place\He's been allowed to jump quads this season,\and he's done brilliantly, placing second in both qualifying events.\As the youngest skater at this Final,\he seeks to defend Russia's prestige by securing his first victory. response:	GP Series, 3rd Place Christophe Giacometti (25)
context: Yuri Plisetsky finished fourth in the Series.\Last year's junior champion, this is his senior debut.\Skate Canada: 2nd Place Rostelecom Cup: 2nd Place\He's been allowed to jump quads this season,\and he's done brilliantly, placing second in both qualifying events.\As the youngest skater at this Final,\he seeks to defend Russia's prestige by securing his first victory.\GP Series, 3rd Place Christophe Giacometti (25) response:	Christophe Giacometti finished third in the Series.
context: Last year's junior champion, this is his senior debut.\Skate Canada: 2nd Place Rostelecom Cup: 2nd Place\He's been allowed to jump quads this season,\and he's done brilliantly, placing second in both qualifying events.\As the youngest skater at this Final,\he seeks to defend Russia's prestige by securing his first victory.\GP Series, 3rd Place Christophe Giacometti (25)\Christophe Giacometti finished third in the Series. response:	His mature skating and giant quadruple Lutz have bewitched the entire world.
