context: There, it's dealt with. response:	I don't know what it is you hear,
context: There, it's dealt with.\I don't know what it is you hear, response:	but I don't believe a word an Another says.
context: There, it's dealt with.\I don't know what it is you hear,\but I don't believe a word an Another says. response:	Or anything you say.
context: There, it's dealt with.\I don't know what it is you hear,\but I don't believe a word an Another says.\Or anything you say. response:	But still, I...
context: There, it's dealt with.\I don't know what it is you hear,\but I don't believe a word an Another says.\Or anything you say.\But still, I... response:	You want to solve problems with the Anothers by talking?
context: There, it's dealt with.\I don't know what it is you hear,\but I don't believe a word an Another says.\Or anything you say.\But still, I...\You want to solve problems with the Anothers by talking? response:	Very well.
context: There, it's dealt with.\I don't know what it is you hear,\but I don't believe a word an Another says.\Or anything you say.\But still, I...\You want to solve problems with the Anothers by talking?\Very well. response:	You can deal with a case I'm working on.
context: There, it's dealt with.\I don't know what it is you hear,\but I don't believe a word an Another says.\Or anything you say.\But still, I...\You want to solve problems with the Anothers by talking?\Very well.\You can deal with a case I'm working on. response:	Let's have you solve it with those Ears of yours.
context: I don't know what it is you hear,\but I don't believe a word an Another says.\Or anything you say.\But still, I...\You want to solve problems with the Anothers by talking?\Very well.\You can deal with a case I'm working on.\Let's have you solve it with those Ears of yours. response:	It involves something at the Olympic Stadium.
context: but I don't believe a word an Another says.\Or anything you say.\But still, I...\You want to solve problems with the Anothers by talking?\Very well.\You can deal with a case I'm working on.\Let's have you solve it with those Ears of yours.\It involves something at the Olympic Stadium. response:	10 White Cocoons and Blue Flames
context: Or anything you say.\But still, I...\You want to solve problems with the Anothers by talking?\Very well.\You can deal with a case I'm working on.\Let's have you solve it with those Ears of yours.\It involves something at the Olympic Stadium.\10 White Cocoons and Blue Flames response:	Miyako-san?
context: But still, I...\You want to solve problems with the Anothers by talking?\Very well.\You can deal with a case I'm working on.\Let's have you solve it with those Ears of yours.\It involves something at the Olympic Stadium.\10 White Cocoons and Blue Flames\Miyako-san? response:	Aida-san?
