context: OP response:	This is changed from last episode preview.
context: OP\This is changed from last episode preview. response:	sound effect?
context: OP\This is changed from last episode preview.\sound effect? response:	Poke!
context: OP\This is changed from last episode preview.\sound effect?\Poke! response:	noel
context: OP\This is changed from last episode preview.\sound effect?\Poke!\noel response:	She's making me HNNNGGG more and more.
context: OP\This is changed from last episode preview.\sound effect?\Poke!\noel\She's making me HNNNGGG more and more. response:	tsun
context: OP\This is changed from last episode preview.\sound effect?\Poke!\noel\She's making me HNNNGGG more and more.\tsun response:	tsun
context: OP\This is changed from last episode preview.\sound effect?\Poke!\noel\She's making me HNNNGGG more and more.\tsun\tsun response:	I want my finger in her mouth too. She just gets more awesome every time.
context: This is changed from last episode preview.\sound effect?\Poke!\noel\She's making me HNNNGGG more and more.\tsun\tsun\I want my finger in her mouth too. She just gets more awesome every time. response:	Kanata's catching on.
context: sound effect?\Poke!\noel\She's making me HNNNGGG more and more.\tsun\tsun\I want my finger in her mouth too. She just gets more awesome every time.\Kanata's catching on. response:	intermission
context: Poke!\noel\She's making me HNNNGGG more and more.\tsun\tsun\I want my finger in her mouth too. She just gets more awesome every time.\Kanata's catching on.\intermission response:	ed
context: noel\She's making me HNNNGGG more and more.\tsun\tsun\I want my finger in her mouth too. She just gets more awesome every time.\Kanata's catching on.\intermission\ed response:	The brilliant glow of this sky, does it carry right into your heart?
context: She's making me HNNNGGG more and more.\tsun\tsun\I want my finger in her mouth too. She just gets more awesome every time.\Kanata's catching on.\intermission\ed\The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: tsun\tsun\I want my finger in her mouth too. She just gets more awesome every time.\Kanata's catching on.\intermission\ed\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence response:	Even if your hands are still far from that dream,
context: tsun\I want my finger in her mouth too. She just gets more awesome every time.\Kanata's catching on.\intermission\ed\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream, response:	Come now and remember that kindly voice,
context: I want my finger in her mouth too. She just gets more awesome every time.\Kanata's catching on.\intermission\ed\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice, response:	Someone was there singing for you, singing those chords of happiness
context: Kanata's catching on.\intermission\ed\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness response:	Sound of the sky, echo on high, break through that overwhelming sadness
context: intermission\ed\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness response:	Everything that shines in your eyes
context: ed\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes response:	Is part of the real world
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world response:	Even your tears can't leave you here to stay forever
context: The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever response:	In this light pouring down onto you, play tomorrow's song
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	There we go.
context: Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\There we go. response:	It sure feels like fall.
context: Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\There we go.\It sure feels like fall. response:	One Typhoon Passes - What You Really See
