context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos,
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos, response:	the profession that everyone once dreamed about and admired
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired response:	came into the limelight.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight. response:	Heroes of justice fighting villains and saving people from distress.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress. response:	Yes, this is the story of how I became the greatest hero.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero. response:	I'll definitely become a hero and make money
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\I'll definitely become a hero and make money response:	and let my parents take it easy.
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\I'll definitely become a hero and make money\and let my parents take it easy. response:	You're amazing, Deku.
context: In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\I'll definitely become a hero and make money\and let my parents take it easy.\You're amazing, Deku. response:	I keep seeing more and more amazing sides to you.
context: the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\I'll definitely become a hero and make money\and let my parents take it easy.\You're amazing, Deku.\I keep seeing more and more amazing sides to you. response:	During the cavalry battle, I thought it'd be easier to team up with friends,
context: came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\I'll definitely become a hero and make money\and let my parents take it easy.\You're amazing, Deku.\I keep seeing more and more amazing sides to you.\During the cavalry battle, I thought it'd be easier to team up with friends, response:	but now that I think about it, I might've been trying to rely on you.
context: Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\I'll definitely become a hero and make money\and let my parents take it easy.\You're amazing, Deku.\I keep seeing more and more amazing sides to you.\During the cavalry battle, I thought it'd be easier to team up with friends,\but now that I think about it, I might've been trying to rely on you. response:	That's why, when Iida said he'd challenge you,
context: Yes, this is the story of how I became the greatest hero.\I'll definitely become a hero and make money\and let my parents take it easy.\You're amazing, Deku.\I keep seeing more and more amazing sides to you.\During the cavalry battle, I thought it'd be easier to team up with friends,\but now that I think about it, I might've been trying to rely on you.\That's why, when Iida said he'd challenge you, response:	it actually made me feel a little embarrassed.
context: I'll definitely become a hero and make money\and let my parents take it easy.\You're amazing, Deku.\I keep seeing more and more amazing sides to you.\During the cavalry battle, I thought it'd be easier to team up with friends,\but now that I think about it, I might've been trying to rely on you.\That's why, when Iida said he'd challenge you,\it actually made me feel a little embarrassed. response:	Uraraka...
context: and let my parents take it easy.\You're amazing, Deku.\I keep seeing more and more amazing sides to you.\During the cavalry battle, I thought it'd be easier to team up with friends,\but now that I think about it, I might've been trying to rely on you.\That's why, when Iida said he'd challenge you,\it actually made me feel a little embarrassed.\Uraraka... response:	Everyone's facing the future and trying their hardest.
context: You're amazing, Deku.\I keep seeing more and more amazing sides to you.\During the cavalry battle, I thought it'd be easier to team up with friends,\but now that I think about it, I might've been trying to rely on you.\That's why, when Iida said he'd challenge you,\it actually made me feel a little embarrassed.\Uraraka...\Everyone's facing the future and trying their hardest. response:	That means we're all rivals, right?
context: I keep seeing more and more amazing sides to you.\During the cavalry battle, I thought it'd be easier to team up with friends,\but now that I think about it, I might've been trying to rely on you.\That's why, when Iida said he'd challenge you,\it actually made me feel a little embarrassed.\Uraraka...\Everyone's facing the future and trying their hardest.\That means we're all rivals, right? response:	That's why...
context: During the cavalry battle, I thought it'd be easier to team up with friends,\but now that I think about it, I might've been trying to rely on you.\That's why, when Iida said he'd challenge you,\it actually made me feel a little embarrassed.\Uraraka...\Everyone's facing the future and trying their hardest.\That means we're all rivals, right?\That's why... response:	Let's meet in the finals!
context: but now that I think about it, I might've been trying to rely on you.\That's why, when Iida said he'd challenge you,\it actually made me feel a little embarrassed.\Uraraka...\Everyone's facing the future and trying their hardest.\That means we're all rivals, right?\That's why...\Let's meet in the finals! response:	Bakugo vs. Uraraka
context: That's why, when Iida said he'd challenge you,\it actually made me feel a little embarrassed.\Uraraka...\Everyone's facing the future and trying their hardest.\That means we're all rivals, right?\That's why...\Let's meet in the finals!\Bakugo vs. Uraraka response:	The eighth and last match of the first round!
context: it actually made me feel a little embarrassed.\Uraraka...\Everyone's facing the future and trying their hardest.\That means we're all rivals, right?\That's why...\Let's meet in the finals!\Bakugo vs. Uraraka\The eighth and last match of the first round! response:	He was kind of famous in middle school!
context: Uraraka...\Everyone's facing the future and trying their hardest.\That means we're all rivals, right?\That's why...\Let's meet in the finals!\Bakugo vs. Uraraka\The eighth and last match of the first round!\He was kind of famous in middle school! response:	This isn't the face of a regular person!
context: Everyone's facing the future and trying their hardest.\That means we're all rivals, right?\That's why...\Let's meet in the finals!\Bakugo vs. Uraraka\The eighth and last match of the first round!\He was kind of famous in middle school!\This isn't the face of a regular person! response:	From the hero course, it's Katsuki Bakugo!
context: That means we're all rivals, right?\That's why...\Let's meet in the finals!\Bakugo vs. Uraraka\The eighth and last match of the first round!\He was kind of famous in middle school!\This isn't the face of a regular person!\From the hero course, it's Katsuki Bakugo! response:	Versus-
context: That's why...\Let's meet in the finals!\Bakugo vs. Uraraka\The eighth and last match of the first round!\He was kind of famous in middle school!\This isn't the face of a regular person!\From the hero course, it's Katsuki Bakugo!\Versus- response:	She's the one I'm rooting for!
