context: What do you want to do today? response:	I don't know.
context: What do you want to do today?\I don't know. response:	Playing house got a little boring.
context: What do you want to do today?\I don't know.\Playing house got a little boring. response:	Yeah.
context: What do you want to do today?\I don't know.\Playing house got a little boring.\Yeah. response:	I wonder when Mommy's visitors are going to leave.
context: What do you want to do today?\I don't know.\Playing house got a little boring.\Yeah.\I wonder when Mommy's visitors are going to leave. response:	They should go home already.
context: What do you want to do today?\I don't know.\Playing house got a little boring.\Yeah.\I wonder when Mommy's visitors are going to leave.\They should go home already. response:	I know.
context: What do you want to do today?\I don't know.\Playing house got a little boring.\Yeah.\I wonder when Mommy's visitors are going to leave.\They should go home already.\I know. response:	What's that?
context: What do you want to do today?\I don't know.\Playing house got a little boring.\Yeah.\I wonder when Mommy's visitors are going to leave.\They should go home already.\I know.\What's that? response:	I saw a doll walking down the path.
context: I don't know.\Playing house got a little boring.\Yeah.\I wonder when Mommy's visitors are going to leave.\They should go home already.\I know.\What's that?\I saw a doll walking down the path. response:	A really big doll.
context: Playing house got a little boring.\Yeah.\I wonder when Mommy's visitors are going to leave.\They should go home already.\I know.\What's that?\I saw a doll walking down the path.\A really big doll. response:	She seemed like bad news for some reason.
context: Yeah.\I wonder when Mommy's visitors are going to leave.\They should go home already.\I know.\What's that?\I saw a doll walking down the path.\A really big doll.\She seemed like bad news for some reason. response:	Mommy, Mommy!
context: I wonder when Mommy's visitors are going to leave.\They should go home already.\I know.\What's that?\I saw a doll walking down the path.\A really big doll.\She seemed like bad news for some reason.\Mommy, Mommy! response:	Miss Ann!
context: They should go home already.\I know.\What's that?\I saw a doll walking down the path.\A really big doll.\She seemed like bad news for some reason.\Mommy, Mommy!\Miss Ann! response:	-I see what you're saying, but... -It's important to do.
context: I know.\What's that?\I saw a doll walking down the path.\A really big doll.\She seemed like bad news for some reason.\Mommy, Mommy!\Miss Ann!\-I see what you're saying, but... -It's important to do. response:	-Yes, but... -Mommy!
context: What's that?\I saw a doll walking down the path.\A really big doll.\She seemed like bad news for some reason.\Mommy, Mommy!\Miss Ann!\-I see what you're saying, but... -It's important to do.\-Yes, but... -Mommy! response:	Ann! Don't I always tell you that you have to knock first?
context: I saw a doll walking down the path.\A really big doll.\She seemed like bad news for some reason.\Mommy, Mommy!\Miss Ann!\-I see what you're saying, but... -It's important to do.\-Yes, but... -Mommy!\Ann! Don't I always tell you that you have to knock first? response:	Also, a proper greeting.
context: A really big doll.\She seemed like bad news for some reason.\Mommy, Mommy!\Miss Ann!\-I see what you're saying, but... -It's important to do.\-Yes, but... -Mommy!\Ann! Don't I always tell you that you have to knock first?\Also, a proper greeting. response:	-Pardon me, Mother. -My.
context: She seemed like bad news for some reason.\Mommy, Mommy!\Miss Ann!\-I see what you're saying, but... -It's important to do.\-Yes, but... -Mommy!\Ann! Don't I always tell you that you have to knock first?\Also, a proper greeting.\-Pardon me, Mother. -My. response:	Very good.
context: Mommy, Mommy!\Miss Ann!\-I see what you're saying, but... -It's important to do.\-Yes, but... -Mommy!\Ann! Don't I always tell you that you have to knock first?\Also, a proper greeting.\-Pardon me, Mother. -My.\Very good. response:	Now, what is it?
context: Miss Ann!\-I see what you're saying, but... -It's important to do.\-Yes, but... -Mommy!\Ann! Don't I always tell you that you have to knock first?\Also, a proper greeting.\-Pardon me, Mother. -My.\Very good.\Now, what is it? response:	Did you find another strange bug?
context: -I see what you're saying, but... -It's important to do.\-Yes, but... -Mommy!\Ann! Don't I always tell you that you have to knock first?\Also, a proper greeting.\-Pardon me, Mother. -My.\Very good.\Now, what is it?\Did you find another strange bug? response:	-I don't want to see it though, okay? -It's not a bug!
context: -Yes, but... -Mommy!\Ann! Don't I always tell you that you have to knock first?\Also, a proper greeting.\-Pardon me, Mother. -My.\Very good.\Now, what is it?\Did you find another strange bug?\-I don't want to see it though, okay? -It's not a bug! response:	I saw a doll walking over!
context: Ann! Don't I always tell you that you have to knock first?\Also, a proper greeting.\-Pardon me, Mother. -My.\Very good.\Now, what is it?\Did you find another strange bug?\-I don't want to see it though, okay? -It's not a bug!\I saw a doll walking over! response:	A doll?
context: Also, a proper greeting.\-Pardon me, Mother. -My.\Very good.\Now, what is it?\Did you find another strange bug?\-I don't want to see it though, okay? -It's not a bug!\I saw a doll walking over!\A doll? response:	Madam.
context: -Pardon me, Mother. -My.\Very good.\Now, what is it?\Did you find another strange bug?\-I don't want to see it though, okay? -It's not a bug!\I saw a doll walking over!\A doll?\Madam. response:	She's arrived.
context: Very good.\Now, what is it?\Did you find another strange bug?\-I don't want to see it though, okay? -It's not a bug!\I saw a doll walking over!\A doll?\Madam.\She's arrived. response:	Oh, that Doll! That was today, wasn't it?
context: Now, what is it?\Did you find another strange bug?\-I don't want to see it though, okay? -It's not a bug!\I saw a doll walking over!\A doll?\Madam.\She's arrived.\Oh, that Doll! That was today, wasn't it? response:	Please show her in.
context: Did you find another strange bug?\-I don't want to see it though, okay? -It's not a bug!\I saw a doll walking over!\A doll?\Madam.\She's arrived.\Oh, that Doll! That was today, wasn't it?\Please show her in. response:	-Yes, madam. -Wait a second!
context: -I don't want to see it though, okay? -It's not a bug!\I saw a doll walking over!\A doll?\Madam.\She's arrived.\Oh, that Doll! That was today, wasn't it?\Please show her in.\-Yes, madam. -Wait a second! response:	I'm very sorry, but we'll have to do this another time.
context: I saw a doll walking over!\A doll?\Madam.\She's arrived.\Oh, that Doll! That was today, wasn't it?\Please show her in.\-Yes, madam. -Wait a second!\I'm very sorry, but we'll have to do this another time. response:	Wait, what are you going to do with this mansion?
context: A doll?\Madam.\She's arrived.\Oh, that Doll! That was today, wasn't it?\Please show her in.\-Yes, madam. -Wait a second!\I'm very sorry, but we'll have to do this another time.\Wait, what are you going to do with this mansion? response:	She can't live here on her own. That's why we offered-
