context: Haven't I made everything work out all right?! response:	Without me, it would've been a lot worse.
context: Haven't I made everything work out all right?!\Without me, it would've been a lot worse. response:	All of it was because I was there!
context: Haven't I made everything work out all right?!\Without me, it would've been a lot worse.\All of it was because I was there! response:	You should have a greater debt to me than you could ever repay!
context: Haven't I made everything work out all right?!\Without me, it would've been a lot worse.\All of it was because I was there!\You should have a greater debt to me than you could ever repay! response:	Shall we stop for now?
context: Haven't I made everything work out all right?!\Without me, it would've been a lot worse.\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\Shall we stop for now? response:	So I'll repay all of them now.
context: Haven't I made everything work out all right?!\Without me, it would've been a lot worse.\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\Shall we stop for now?\So I'll repay all of them now. response:	And we'll end this.
context: Haven't I made everything work out all right?!\Without me, it would've been a lot worse.\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\Shall we stop for now?\So I'll repay all of them now.\And we'll end this. response:	I swear, Julius, your good nature is going to waste,
context: Haven't I made everything work out all right?!\Without me, it would've been a lot worse.\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\Shall we stop for now?\So I'll repay all of them now.\And we'll end this.\I swear, Julius, your good nature is going to waste, response:	playing the villain for someone like him.
context: Without me, it would've been a lot worse.\All of it was because I was there!\You should have a greater debt to me than you could ever repay!\Shall we stop for now?\So I'll repay all of them now.\And we'll end this.\I swear, Julius, your good nature is going to waste,\playing the villain for someone like him. response:	I haven't the slightest idea what you're talking about.
context: All of it was because I was there!\You should have a greater debt to me than you could ever repay!\Shall we stop for now?\So I'll repay all of them now.\And we'll end this.\I swear, Julius, your good nature is going to waste,\playing the villain for someone like him.\I haven't the slightest idea what you're talking about. response:	How could you get yourself punished, trying to protect a guy like that?
context: You should have a greater debt to me than you could ever repay!\Shall we stop for now?\So I'll repay all of them now.\And we'll end this.\I swear, Julius, your good nature is going to waste,\playing the villain for someone like him.\I haven't the slightest idea what you're talking about.\How could you get yourself punished, trying to protect a guy like that? response:	It's foolish!
context: Shall we stop for now?\So I'll repay all of them now.\And we'll end this.\I swear, Julius, your good nature is going to waste,\playing the villain for someone like him.\I haven't the slightest idea what you're talking about.\How could you get yourself punished, trying to protect a guy like that?\It's foolish! response:	I only acted as I wished, true to my own nature.
context: So I'll repay all of them now.\And we'll end this.\I swear, Julius, your good nature is going to waste,\playing the villain for someone like him.\I haven't the slightest idea what you're talking about.\How could you get yourself punished, trying to protect a guy like that?\It's foolish!\I only acted as I wished, true to my own nature. response:	Righteously, in my own way,
context: And we'll end this.\I swear, Julius, your good nature is going to waste,\playing the villain for someone like him.\I haven't the slightest idea what you're talking about.\How could you get yourself punished, trying to protect a guy like that?\It's foolish!\I only acted as I wished, true to my own nature.\Righteously, in my own way, response:	and without shame, as I wished.
context: I swear, Julius, your good nature is going to waste,\playing the villain for someone like him.\I haven't the slightest idea what you're talking about.\How could you get yourself punished, trying to protect a guy like that?\It's foolish!\I only acted as I wished, true to my own nature.\Righteously, in my own way,\and without shame, as I wished. response:	Are you sure about this?
context: playing the villain for someone like him.\I haven't the slightest idea what you're talking about.\How could you get yourself punished, trying to protect a guy like that?\It's foolish!\I only acted as I wished, true to my own nature.\Righteously, in my own way,\and without shame, as I wished.\Are you sure about this? response:	Old Man Wil is busy preparing, too...
context: I haven't the slightest idea what you're talking about.\How could you get yourself punished, trying to protect a guy like that?\It's foolish!\I only acted as I wished, true to my own nature.\Righteously, in my own way,\and without shame, as I wished.\Are you sure about this?\Old Man Wil is busy preparing, too... response:	It was a request from our guest.
context: How could you get yourself punished, trying to protect a guy like that?\It's foolish!\I only acted as I wished, true to my own nature.\Righteously, in my own way,\and without shame, as I wished.\Are you sure about this?\Old Man Wil is busy preparing, too...\It was a request from our guest. response:	I cannot ignore it.
context: It's foolish!\I only acted as I wished, true to my own nature.\Righteously, in my own way,\and without shame, as I wished.\Are you sure about this?\Old Man Wil is busy preparing, too...\It was a request from our guest.\I cannot ignore it. response:	If they're just practicing, it's nyo big deal, but...
context: I only acted as I wished, true to my own nature.\Righteously, in my own way,\and without shame, as I wished.\Are you sure about this?\Old Man Wil is busy preparing, too...\It was a request from our guest.\I cannot ignore it.\If they're just practicing, it's nyo big deal, but... response:	Frankly, it appears to me he's just making excuses.
context: Righteously, in my own way,\and without shame, as I wished.\Are you sure about this?\Old Man Wil is busy preparing, too...\It was a request from our guest.\I cannot ignore it.\If they're just practicing, it's nyo big deal, but...\Frankly, it appears to me he's just making excuses. response:	Excuses?
context: and without shame, as I wished.\Are you sure about this?\Old Man Wil is busy preparing, too...\It was a request from our guest.\I cannot ignore it.\If they're just practicing, it's nyo big deal, but...\Frankly, it appears to me he's just making excuses.\Excuses? response:	He wants to say, I'm just fine. I'm working hard.
context: Are you sure about this?\Old Man Wil is busy preparing, too...\It was a request from our guest.\I cannot ignore it.\If they're just practicing, it's nyo big deal, but...\Frankly, it appears to me he's just making excuses.\Excuses?\He wants to say, I'm just fine. I'm working hard. response:	Can you blame him?
context: Old Man Wil is busy preparing, too...\It was a request from our guest.\I cannot ignore it.\If they're just practicing, it's nyo big deal, but...\Frankly, it appears to me he's just making excuses.\Excuses?\He wants to say, I'm just fine. I'm working hard.\Can you blame him? response:	Forgive me.
context: It was a request from our guest.\I cannot ignore it.\If they're just practicing, it's nyo big deal, but...\Frankly, it appears to me he's just making excuses.\Excuses?\He wants to say, I'm just fine. I'm working hard.\Can you blame him?\Forgive me. response:	Hang on...
context: I cannot ignore it.\If they're just practicing, it's nyo big deal, but...\Frankly, it appears to me he's just making excuses.\Excuses?\He wants to say, I'm just fine. I'm working hard.\Can you blame him?\Forgive me.\Hang on... response:	What do you have to apologize for?
context: If they're just practicing, it's nyo big deal, but...\Frankly, it appears to me he's just making excuses.\Excuses?\He wants to say, I'm just fine. I'm working hard.\Can you blame him?\Forgive me.\Hang on...\What do you have to apologize for? response:	None of this was your fault!
context: Frankly, it appears to me he's just making excuses.\Excuses?\He wants to say, I'm just fine. I'm working hard.\Can you blame him?\Forgive me.\Hang on...\What do you have to apologize for?\None of this was your fault! response:	No, I am a friend to you, as well as to Julius.
context: Excuses?\He wants to say, I'm just fine. I'm working hard.\Can you blame him?\Forgive me.\Hang on...\What do you have to apologize for?\None of this was your fault!\No, I am a friend to you, as well as to Julius. response:	My own lack of virtue was responsible for my failure
context: He wants to say, I'm just fine. I'm working hard.\Can you blame him?\Forgive me.\Hang on...\What do you have to apologize for?\None of this was your fault!\No, I am a friend to you, as well as to Julius.\My own lack of virtue was responsible for my failure response:	to stop a disagreement between my two friends.
context: Can you blame him?\Forgive me.\Hang on...\What do you have to apologize for?\None of this was your fault!\No, I am a friend to you, as well as to Julius.\My own lack of virtue was responsible for my failure\to stop a disagreement between my two friends. response:	That duel had no meaning.
context: Forgive me.\Hang on...\What do you have to apologize for?\None of this was your fault!\No, I am a friend to you, as well as to Julius.\My own lack of virtue was responsible for my failure\to stop a disagreement between my two friends.\That duel had no meaning. response:	No meaning?
context: Hang on...\What do you have to apologize for?\None of this was your fault!\No, I am a friend to you, as well as to Julius.\My own lack of virtue was responsible for my failure\to stop a disagreement between my two friends.\That duel had no meaning.\No meaning? response:	No...
context: What do you have to apologize for?\None of this was your fault!\No, I am a friend to you, as well as to Julius.\My own lack of virtue was responsible for my failure\to stop a disagreement between my two friends.\That duel had no meaning.\No meaning?\No... response:	What came of you two fighting there?
context: None of this was your fault!\No, I am a friend to you, as well as to Julius.\My own lack of virtue was responsible for my failure\to stop a disagreement between my two friends.\That duel had no meaning.\No meaning?\No...\What came of you two fighting there? response:	You were hurt,
context: No, I am a friend to you, as well as to Julius.\My own lack of virtue was responsible for my failure\to stop a disagreement between my two friends.\That duel had no meaning.\No meaning?\No...\What came of you two fighting there?\You were hurt, response:	and Julius tarnished his own career.
context: My own lack of virtue was responsible for my failure\to stop a disagreement between my two friends.\That duel had no meaning.\No meaning?\No...\What came of you two fighting there?\You were hurt,\and Julius tarnished his own career. response:	Why not try to have a calm, open discussion with him?
