context: Umm...! response:	It was all a lie! I had those two set this whole thing up for me.
context: Umm...!\It was all a lie! I had those two set this whole thing up for me. response:	I just really wanted to see you again!
context: Umm...!\It was all a lie! I had those two set this whole thing up for me.\I just really wanted to see you again! response:	Since I didn't have a chance to talk to you the other day.
context: Umm...!\It was all a lie! I had those two set this whole thing up for me.\I just really wanted to see you again!\Since I didn't have a chance to talk to you the other day. response:	I know you don't like these sorts of things.
context: Umm...!\It was all a lie! I had those two set this whole thing up for me.\I just really wanted to see you again!\Since I didn't have a chance to talk to you the other day.\I know you don't like these sorts of things. response:	But would you please consider hanging out with me some more?
context: Umm...!\It was all a lie! I had those two set this whole thing up for me.\I just really wanted to see you again!\Since I didn't have a chance to talk to you the other day.\I know you don't like these sorts of things.\But would you please consider hanging out with me some more? response:	Would you please give me a chance and go out with me for just one month?
context: Umm...!\It was all a lie! I had those two set this whole thing up for me.\I just really wanted to see you again!\Since I didn't have a chance to talk to you the other day.\I know you don't like these sorts of things.\But would you please consider hanging out with me some more?\Would you please give me a chance and go out with me for just one month? response:	Why are you getting so mad?
context: Umm...!\It was all a lie! I had those two set this whole thing up for me.\I just really wanted to see you again!\Since I didn't have a chance to talk to you the other day.\I know you don't like these sorts of things.\But would you please consider hanging out with me some more?\Would you please give me a chance and go out with me for just one month?\Why are you getting so mad? response:	Just try going out with her for a month.
context: It was all a lie! I had those two set this whole thing up for me.\I just really wanted to see you again!\Since I didn't have a chance to talk to you the other day.\I know you don't like these sorts of things.\But would you please consider hanging out with me some more?\Would you please give me a chance and go out with me for just one month?\Why are you getting so mad?\Just try going out with her for a month. response:	Well, it looks like I really couldn't fall for you. Sorry!
context: I just really wanted to see you again!\Since I didn't have a chance to talk to you the other day.\I know you don't like these sorts of things.\But would you please consider hanging out with me some more?\Would you please give me a chance and go out with me for just one month?\Why are you getting so mad?\Just try going out with her for a month.\Well, it looks like I really couldn't fall for you. Sorry! response:	It would've been much better to decline at the beginning.
context: Since I didn't have a chance to talk to you the other day.\I know you don't like these sorts of things.\But would you please consider hanging out with me some more?\Would you please give me a chance and go out with me for just one month?\Why are you getting so mad?\Just try going out with her for a month.\Well, it looks like I really couldn't fall for you. Sorry!\It would've been much better to decline at the beginning. response:	Then what do you suggest?
