context: She's a pretty... response:	Yup.
context: She's a pretty...\Yup. response:	Sky Priestess Farine, are you all right?
context: She's a pretty...\Yup.\Sky Priestess Farine, are you all right? response:	Yes. No problem at all.
context: She's a pretty...\Yup.\Sky Priestess Farine, are you all right?\Yes. No problem at all. response:	The Sky Priestess and the Star People
context: She's a pretty...\Yup.\Sky Priestess Farine, are you all right?\Yes. No problem at all.\The Sky Priestess and the Star People response:	You're from the surface, aren't you?
context: She's a pretty...\Yup.\Sky Priestess Farine, are you all right?\Yes. No problem at all.\The Sky Priestess and the Star People\You're from the surface, aren't you? response:	I'd love to put some
context: She's a pretty...\Yup.\Sky Priestess Farine, are you all right?\Yes. No problem at all.\The Sky Priestess and the Star People\You're from the surface, aren't you?\I'd love to put some response:	tea on and chat, but...
context: She's a pretty...\Yup.\Sky Priestess Farine, are you all right?\Yes. No problem at all.\The Sky Priestess and the Star People\You're from the surface, aren't you?\I'd love to put some\tea on and chat, but... response:	I'm a little busy now.
context: Yup.\Sky Priestess Farine, are you all right?\Yes. No problem at all.\The Sky Priestess and the Star People\You're from the surface, aren't you?\I'd love to put some\tea on and chat, but...\I'm a little busy now. response:	I see.
context: Sky Priestess Farine, are you all right?\Yes. No problem at all.\The Sky Priestess and the Star People\You're from the surface, aren't you?\I'd love to put some\tea on and chat, but...\I'm a little busy now.\I see. response:	Pega said something might've happened to you and the Star Whale!
context: Yes. No problem at all.\The Sky Priestess and the Star People\You're from the surface, aren't you?\I'd love to put some\tea on and chat, but...\I'm a little busy now.\I see.\Pega said something might've happened to you and the Star Whale! response:	I see.
context: The Sky Priestess and the Star People\You're from the surface, aren't you?\I'd love to put some\tea on and chat, but...\I'm a little busy now.\I see.\Pega said something might've happened to you and the Star Whale!\I see. response:	Priestess, behind you!
context: You're from the surface, aren't you?\I'd love to put some\tea on and chat, but...\I'm a little busy now.\I see.\Pega said something might've happened to you and the Star Whale!\I see.\Priestess, behind you! response:	Excuse me.
context: I'd love to put some\tea on and chat, but...\I'm a little busy now.\I see.\Pega said something might've happened to you and the Star Whale!\I see.\Priestess, behind you!\Excuse me. response:	As you can see, the Star Whale is
