context: I braided it the other day, too. response:	You just let her do what she wants, huh.
context: I braided it the other day, too.\You just let her do what she wants, huh. response:	Oh, wow!
context: I braided it the other day, too.\You just let her do what she wants, huh.\Oh, wow! response:	That's so cute, Miyamura-kun!
context: I braided it the other day, too.\You just let her do what she wants, huh.\Oh, wow!\That's so cute, Miyamura-kun! response:	I love your hair like that!
context: I braided it the other day, too.\You just let her do what she wants, huh.\Oh, wow!\That's so cute, Miyamura-kun!\I love your hair like that! response:	Me, too! You should keep it that way!
context: I braided it the other day, too.\You just let her do what she wants, huh.\Oh, wow!\That's so cute, Miyamura-kun!\I love your hair like that!\Me, too! You should keep it that way! response:	Oh, Hori-san did it for you? It's adorable!
context: I braided it the other day, too.\You just let her do what she wants, huh.\Oh, wow!\That's so cute, Miyamura-kun!\I love your hair like that!\Me, too! You should keep it that way!\Oh, Hori-san did it for you? It's adorable! response:	Man, your face is so tiny and cute, too!
context: I braided it the other day, too.\You just let her do what she wants, huh.\Oh, wow!\That's so cute, Miyamura-kun!\I love your hair like that!\Me, too! You should keep it that way!\Oh, Hori-san did it for you? It's adorable!\Man, your face is so tiny and cute, too! response:	Oh, there's the bell.
context: You just let her do what she wants, huh.\Oh, wow!\That's so cute, Miyamura-kun!\I love your hair like that!\Me, too! You should keep it that way!\Oh, Hori-san did it for you? It's adorable!\Man, your face is so tiny and cute, too!\Oh, there's the bell. response:	See you tomorrow!
context: Oh, wow!\That's so cute, Miyamura-kun!\I love your hair like that!\Me, too! You should keep it that way!\Oh, Hori-san did it for you? It's adorable!\Man, your face is so tiny and cute, too!\Oh, there's the bell.\See you tomorrow! response:	-Ow!
context: That's so cute, Miyamura-kun!\I love your hair like that!\Me, too! You should keep it that way!\Oh, Hori-san did it for you? It's adorable!\Man, your face is so tiny and cute, too!\Oh, there's the bell.\See you tomorrow!\-Ow! response:	-Hori! It's not his fault! -Ow!
context: I love your hair like that!\Me, too! You should keep it that way!\Oh, Hori-san did it for you? It's adorable!\Man, your face is so tiny and cute, too!\Oh, there's the bell.\See you tomorrow!\-Ow!\-Hori! It's not his fault! -Ow! response:	-Hori! It's not his fault!
context: Me, too! You should keep it that way!\Oh, Hori-san did it for you? It's adorable!\Man, your face is so tiny and cute, too!\Oh, there's the bell.\See you tomorrow!\-Ow!\-Hori! It's not his fault! -Ow!\-Hori! It's not his fault! response:	C'mon, let's go!
context: Oh, Hori-san did it for you? It's adorable!\Man, your face is so tiny and cute, too!\Oh, there's the bell.\See you tomorrow!\-Ow!\-Hori! It's not his fault! -Ow!\-Hori! It's not his fault!\C'mon, let's go! response:	Hey...
context: Man, your face is so tiny and cute, too!\Oh, there's the bell.\See you tomorrow!\-Ow!\-Hori! It's not his fault! -Ow!\-Hori! It's not his fault!\C'mon, let's go!\Hey... response:	Horimiya
context: Oh, there's the bell.\See you tomorrow!\-Ow!\-Hori! It's not his fault! -Ow!\-Hori! It's not his fault!\C'mon, let's go!\Hey...\Horimiya response:	Hey, can I have my bag?
context: See you tomorrow!\-Ow!\-Hori! It's not his fault! -Ow!\-Hori! It's not his fault!\C'mon, let's go!\Hey...\Horimiya\Hey, can I have my bag? response:	Are you mad at me?
