context: The Third Dish response:	Five
context: The Third Dish\Five response:	And first place goes to
context: The Third Dish\Five\And first place goes to response:	Yukihira Soma's Chinese Cuisine Stall!
context: The Third Dish\Five\And first place goes to\Yukihira Soma's Chinese Cuisine Stall! response:	Damn, Kuga. You lost!
context: The Third Dish\Five\And first place goes to\Yukihira Soma's Chinese Cuisine Stall!\Damn, Kuga. You lost! response:	I gotta do something.
context: The Third Dish\Five\And first place goes to\Yukihira Soma's Chinese Cuisine Stall!\Damn, Kuga. You lost!\I gotta do something. response:	Food Wars
context: The Third Dish\Five\And first place goes to\Yukihira Soma's Chinese Cuisine Stall!\Damn, Kuga. You lost!\I gotta do something.\Food Wars response:	The Third Plate
context: The Third Dish\Five\And first place goes to\Yukihira Soma's Chinese Cuisine Stall!\Damn, Kuga. You lost!\I gotta do something.\Food Wars\The Third Plate response:	The Darkening Dinner Table
context: Five\And first place goes to\Yukihira Soma's Chinese Cuisine Stall!\Damn, Kuga. You lost!\I gotta do something.\Food Wars\The Third Plate\The Darkening Dinner Table response:	We lost?!
context: And first place goes to\Yukihira Soma's Chinese Cuisine Stall!\Damn, Kuga. You lost!\I gotta do something.\Food Wars\The Third Plate\The Darkening Dinner Table\We lost?! response:	Yukihira-chin...
context: Yukihira Soma's Chinese Cuisine Stall!\Damn, Kuga. You lost!\I gotta do something.\Food Wars\The Third Plate\The Darkening Dinner Table\We lost?!\Yukihira-chin... response:	Central Area 1st Place: Yukihira Soma 2nd Place: Kuga Restaurant
context: Damn, Kuga. You lost!\I gotta do something.\Food Wars\The Third Plate\The Darkening Dinner Table\We lost?!\Yukihira-chin...\Central Area 1st Place: Yukihira Soma 2nd Place: Kuga Restaurant response:	Damn it.
context: I gotta do something.\Food Wars\The Third Plate\The Darkening Dinner Table\We lost?!\Yukihira-chin...\Central Area 1st Place: Yukihira Soma 2nd Place: Kuga Restaurant\Damn it. response:	I was so close.
context: Food Wars\The Third Plate\The Darkening Dinner Table\We lost?!\Yukihira-chin...\Central Area 1st Place: Yukihira Soma 2nd Place: Kuga Restaurant\Damn it.\I was so close. response:	Kuga!
context: The Third Plate\The Darkening Dinner Table\We lost?!\Yukihira-chin...\Central Area 1st Place: Yukihira Soma 2nd Place: Kuga Restaurant\Damn it.\I was so close.\Kuga! response:	Kuga!
context: The Darkening Dinner Table\We lost?!\Yukihira-chin...\Central Area 1st Place: Yukihira Soma 2nd Place: Kuga Restaurant\Damn it.\I was so close.\Kuga!\Kuga! response:	You lost in sales, Kuga?
context: We lost?!\Yukihira-chin...\Central Area 1st Place: Yukihira Soma 2nd Place: Kuga Restaurant\Damn it.\I was so close.\Kuga!\Kuga!\You lost in sales, Kuga? response:	Crap!
context: Yukihira-chin...\Central Area 1st Place: Yukihira Soma 2nd Place: Kuga Restaurant\Damn it.\I was so close.\Kuga!\Kuga!\You lost in sales, Kuga?\Crap! response:	Rindo-senpai!
context: Central Area 1st Place: Yukihira Soma 2nd Place: Kuga Restaurant\Damn it.\I was so close.\Kuga!\Kuga!\You lost in sales, Kuga?\Crap!\Rindo-senpai! response:	The Second Seat...
