context: Autumn, it is the season for maidens. response:	That goes for earthworms, mole crickets,
context: Autumn, it is the season for maidens.\That goes for earthworms, mole crickets, response:	pond skaters, and even Rei.
context: Autumn, it is the season for maidens.\That goes for earthworms, mole crickets,\pond skaters, and even Rei. response:	Everyone! Everyone falls in love!
context: Autumn, it is the season for maidens.\That goes for earthworms, mole crickets,\pond skaters, and even Rei.\Everyone! Everyone falls in love! response:	Anyone who gets in the way of human love, or rather, animal love...
context: Autumn, it is the season for maidens.\That goes for earthworms, mole crickets,\pond skaters, and even Rei.\Everyone! Everyone falls in love!\Anyone who gets in the way of human love, or rather, animal love... response:	In the name of SPCA, Sailor Moon will punish you!
context: Autumn, it is the season for maidens.\That goes for earthworms, mole crickets,\pond skaters, and even Rei.\Everyone! Everyone falls in love!\Anyone who gets in the way of human love, or rather, animal love...\In the name of SPCA, Sailor Moon will punish you! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Autumn, it is the season for maidens.\That goes for earthworms, mole crickets,\pond skaters, and even Rei.\Everyone! Everyone falls in love!\Anyone who gets in the way of human love, or rather, animal love...\In the name of SPCA, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Autumn, it is the season for maidens.\That goes for earthworms, mole crickets,\pond skaters, and even Rei.\Everyone! Everyone falls in love!\Anyone who gets in the way of human love, or rather, animal love...\In the name of SPCA, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: That goes for earthworms, mole crickets,\pond skaters, and even Rei.\Everyone! Everyone falls in love!\Anyone who gets in the way of human love, or rather, animal love...\In the name of SPCA, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: pond skaters, and even Rei.\Everyone! Everyone falls in love!\Anyone who gets in the way of human love, or rather, animal love...\In the name of SPCA, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: Everyone! Everyone falls in love!\Anyone who gets in the way of human love, or rather, animal love...\In the name of SPCA, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: Anyone who gets in the way of human love, or rather, animal love...\In the name of SPCA, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
