context: Impossible... The Chancellor is one of those monsters? response:	Orders, ma'am? What about the attack?
context: Impossible... The Chancellor is one of those monsters?\Orders, ma'am? What about the attack? response:	We haven't received instructions. Wait.
context: Impossible... The Chancellor is one of those monsters?\Orders, ma'am? What about the attack?\We haven't received instructions. Wait. response:	Wait! Stop!
context: Impossible... The Chancellor is one of those monsters?\Orders, ma'am? What about the attack?\We haven't received instructions. Wait.\Wait! Stop! response:	What are you doing? Fire your cannon!
context: Impossible... The Chancellor is one of those monsters?\Orders, ma'am? What about the attack?\We haven't received instructions. Wait.\Wait! Stop!\What are you doing? Fire your cannon! response:	Look at that live feed! Something weird is going on!
context: Impossible... The Chancellor is one of those monsters?\Orders, ma'am? What about the attack?\We haven't received instructions. Wait.\Wait! Stop!\What are you doing? Fire your cannon!\Look at that live feed! Something weird is going on! response:	- What live feed? - Switch your drones to standby mode!
context: Impossible... The Chancellor is one of those monsters?\Orders, ma'am? What about the attack?\We haven't received instructions. Wait.\Wait! Stop!\What are you doing? Fire your cannon!\Look at that live feed! Something weird is going on!\- What live feed? - Switch your drones to standby mode! response:	The enemy's withdrawing?
context: Impossible... The Chancellor is one of those monsters?\Orders, ma'am? What about the attack?\We haven't received instructions. Wait.\Wait! Stop!\What are you doing? Fire your cannon!\Look at that live feed! Something weird is going on!\- What live feed? - Switch your drones to standby mode!\The enemy's withdrawing? response:	This is bad... What is the Council going to do about this?
context: Orders, ma'am? What about the attack?\We haven't received instructions. Wait.\Wait! Stop!\What are you doing? Fire your cannon!\Look at that live feed! Something weird is going on!\- What live feed? - Switch your drones to standby mode!\The enemy's withdrawing?\This is bad... What is the Council going to do about this? response:	L-Let go of His Excellency!
context: We haven't received instructions. Wait.\Wait! Stop!\What are you doing? Fire your cannon!\Look at that live feed! Something weird is going on!\- What live feed? - Switch your drones to standby mode!\The enemy's withdrawing?\This is bad... What is the Council going to do about this?\L-Let go of His Excellency! response:	Stand down! This is not someone who deserves your oath of loyalty!
context: Wait! Stop!\What are you doing? Fire your cannon!\Look at that live feed! Something weird is going on!\- What live feed? - Switch your drones to standby mode!\The enemy's withdrawing?\This is bad... What is the Council going to do about this?\L-Let go of His Excellency!\Stand down! This is not someone who deserves your oath of loyalty! response:	- It's war! - What about those students, then?
context: What are you doing? Fire your cannon!\Look at that live feed! Something weird is going on!\- What live feed? - Switch your drones to standby mode!\The enemy's withdrawing?\This is bad... What is the Council going to do about this?\L-Let go of His Excellency!\Stand down! This is not someone who deserves your oath of loyalty!\- It's war! - What about those students, then? response:	- It's Dorssian soldiers who are doing this! - Like you can believe anything Dorssia says.
context: Look at that live feed! Something weird is going on!\- What live feed? - Switch your drones to standby mode!\The enemy's withdrawing?\This is bad... What is the Council going to do about this?\L-Let go of His Excellency!\Stand down! This is not someone who deserves your oath of loyalty!\- It's war! - What about those students, then?\- It's Dorssian soldiers who are doing this! - Like you can believe anything Dorssia says. response:	If the Chancellor himself is one of these hazardous organisms,
context: - What live feed? - Switch your drones to standby mode!\The enemy's withdrawing?\This is bad... What is the Council going to do about this?\L-Let go of His Excellency!\Stand down! This is not someone who deserves your oath of loyalty!\- It's war! - What about those students, then?\- It's Dorssian soldiers who are doing this! - Like you can believe anything Dorssia says.\If the Chancellor himself is one of these hazardous organisms, response:	how can anything Dorssia does be trusted?
context: The enemy's withdrawing?\This is bad... What is the Council going to do about this?\L-Let go of His Excellency!\Stand down! This is not someone who deserves your oath of loyalty!\- It's war! - What about those students, then?\- It's Dorssian soldiers who are doing this! - Like you can believe anything Dorssia says.\If the Chancellor himself is one of these hazardous organisms,\how can anything Dorssia does be trusted? response:	I don't believe it...
context: This is bad... What is the Council going to do about this?\L-Let go of His Excellency!\Stand down! This is not someone who deserves your oath of loyalty!\- It's war! - What about those students, then?\- It's Dorssian soldiers who are doing this! - Like you can believe anything Dorssia says.\If the Chancellor himself is one of these hazardous organisms,\how can anything Dorssia does be trusted?\I don't believe it... response:	How much of what he said is true?
context: L-Let go of His Excellency!\Stand down! This is not someone who deserves your oath of loyalty!\- It's war! - What about those students, then?\- It's Dorssian soldiers who are doing this! - Like you can believe anything Dorssia says.\If the Chancellor himself is one of these hazardous organisms,\how can anything Dorssia does be trusted?\I don't believe it...\How much of what he said is true? response:	- We did it! - Not much fun, is it, you Dorssian bastards!
context: Stand down! This is not someone who deserves your oath of loyalty!\- It's war! - What about those students, then?\- It's Dorssian soldiers who are doing this! - Like you can believe anything Dorssia says.\If the Chancellor himself is one of these hazardous organisms,\how can anything Dorssia does be trusted?\I don't believe it...\How much of what he said is true?\- We did it! - Not much fun, is it, you Dorssian bastards! response:	This will turn the tide!
context: - It's war! - What about those students, then?\- It's Dorssian soldiers who are doing this! - Like you can believe anything Dorssia says.\If the Chancellor himself is one of these hazardous organisms,\how can anything Dorssia does be trusted?\I don't believe it...\How much of what he said is true?\- We did it! - Not much fun, is it, you Dorssian bastards!\This will turn the tide! response:	This also spells the end of the Dorssia-ARUS alliance, doesn't it?
context: - It's Dorssian soldiers who are doing this! - Like you can believe anything Dorssia says.\If the Chancellor himself is one of these hazardous organisms,\how can anything Dorssia does be trusted?\I don't believe it...\How much of what he said is true?\- We did it! - Not much fun, is it, you Dorssian bastards!\This will turn the tide!\This also spells the end of the Dorssia-ARUS alliance, doesn't it? response:	Can we... go back to school?
context: If the Chancellor himself is one of these hazardous organisms,\how can anything Dorssia does be trusted?\I don't believe it...\How much of what he said is true?\- We did it! - Not much fun, is it, you Dorssian bastards!\This will turn the tide!\This also spells the end of the Dorssia-ARUS alliance, doesn't it?\Can we... go back to school? response:	Of course!
context: how can anything Dorssia does be trusted?\I don't believe it...\How much of what he said is true?\- We did it! - Not much fun, is it, you Dorssian bastards!\This will turn the tide!\This also spells the end of the Dorssia-ARUS alliance, doesn't it?\Can we... go back to school?\Of course! response:	Though that all depends on what stance ARUS takes after this.
context: I don't believe it...\How much of what he said is true?\- We did it! - Not much fun, is it, you Dorssian bastards!\This will turn the tide!\This also spells the end of the Dorssia-ARUS alliance, doesn't it?\Can we... go back to school?\Of course!\Though that all depends on what stance ARUS takes after this. response:	Things look bad for Dorssia. They're looking at a civil war at this rate.
context: How much of what he said is true?\- We did it! - Not much fun, is it, you Dorssian bastards!\This will turn the tide!\This also spells the end of the Dorssia-ARUS alliance, doesn't it?\Can we... go back to school?\Of course!\Though that all depends on what stance ARUS takes after this.\Things look bad for Dorssia. They're looking at a civil war at this rate. response:	We staked it all on one roll of the dice, and that turned the tables!
context: - We did it! - Not much fun, is it, you Dorssian bastards!\This will turn the tide!\This also spells the end of the Dorssia-ARUS alliance, doesn't it?\Can we... go back to school?\Of course!\Though that all depends on what stance ARUS takes after this.\Things look bad for Dorssia. They're looking at a civil war at this rate.\We staked it all on one roll of the dice, and that turned the tables! response:	We did it! We did it, Yamada!
context: This will turn the tide!\This also spells the end of the Dorssia-ARUS alliance, doesn't it?\Can we... go back to school?\Of course!\Though that all depends on what stance ARUS takes after this.\Things look bad for Dorssia. They're looking at a civil war at this rate.\We staked it all on one roll of the dice, and that turned the tables!\We did it! We did it, Yamada! response:	It's fast!
context: This also spells the end of the Dorssia-ARUS alliance, doesn't it?\Can we... go back to school?\Of course!\Though that all depends on what stance ARUS takes after this.\Things look bad for Dorssia. They're looking at a civil war at this rate.\We staked it all on one roll of the dice, and that turned the tables!\We did it! We did it, Yamada!\It's fast! response:	- What the? - What's going on?
context: Can we... go back to school?\Of course!\Though that all depends on what stance ARUS takes after this.\Things look bad for Dorssia. They're looking at a civil war at this rate.\We staked it all on one roll of the dice, and that turned the tables!\We did it! We did it, Yamada!\It's fast!\- What the? - What's going on? response:	You lowly Valvrave knockoff...
