context: Strawberry Custard Danish response:	Green Tea
context: Strawberry Custard Danish\Green Tea response:	I just remembered,
context: Strawberry Custard Danish\Green Tea\I just remembered, response:	we're changing seats today.
context: Strawberry Custard Danish\Green Tea\I just remembered,\we're changing seats today. response:	I guess I'll be saying goodbye to my seat in a few hours, then.
context: Strawberry Custard Danish\Green Tea\I just remembered,\we're changing seats today.\I guess I'll be saying goodbye to my seat in a few hours, then. response:	I guess...
context: Strawberry Custard Danish\Green Tea\I just remembered,\we're changing seats today.\I guess I'll be saying goodbye to my seat in a few hours, then.\I guess... response:	Depending on where he's seated, he can't slack off carelessly,
context: Strawberry Custard Danish\Green Tea\I just remembered,\we're changing seats today.\I guess I'll be saying goodbye to my seat in a few hours, then.\I guess...\Depending on where he's seated, he can't slack off carelessly, response:	so I figured changing seats would be a significant event for Tanaka...
context: Strawberry Custard Danish\Green Tea\I just remembered,\we're changing seats today.\I guess I'll be saying goodbye to my seat in a few hours, then.\I guess...\Depending on where he's seated, he can't slack off carelessly,\so I figured changing seats would be a significant event for Tanaka... response:	But he's calmer than I expected.
context: Green Tea\I just remembered,\we're changing seats today.\I guess I'll be saying goodbye to my seat in a few hours, then.\I guess...\Depending on where he's seated, he can't slack off carelessly,\so I figured changing seats would be a significant event for Tanaka...\But he's calmer than I expected. response:	No, he's cast some kind of spell on himself.
context: I just remembered,\we're changing seats today.\I guess I'll be saying goodbye to my seat in a few hours, then.\I guess...\Depending on where he's seated, he can't slack off carelessly,\so I figured changing seats would be a significant event for Tanaka...\But he's calmer than I expected.\No, he's cast some kind of spell on himself. response:	I see... So he is concerned.
context: we're changing seats today.\I guess I'll be saying goodbye to my seat in a few hours, then.\I guess...\Depending on where he's seated, he can't slack off carelessly,\so I figured changing seats would be a significant event for Tanaka...\But he's calmer than I expected.\No, he's cast some kind of spell on himself.\I see... So he is concerned. response:	I'm already getting excited to see which seat I'll get. I can't wait.
context: I guess I'll be saying goodbye to my seat in a few hours, then.\I guess...\Depending on where he's seated, he can't slack off carelessly,\so I figured changing seats would be a significant event for Tanaka...\But he's calmer than I expected.\No, he's cast some kind of spell on himself.\I see... So he is concerned.\I'm already getting excited to see which seat I'll get. I can't wait. response:	I just hope I don't get the front row center seat.
context: I guess...\Depending on where he's seated, he can't slack off carelessly,\so I figured changing seats would be a significant event for Tanaka...\But he's calmer than I expected.\No, he's cast some kind of spell on himself.\I see... So he is concerned.\I'm already getting excited to see which seat I'll get. I can't wait.\I just hope I don't get the front row center seat. response:	Yeah, I know!
context: Depending on where he's seated, he can't slack off carelessly,\so I figured changing seats would be a significant event for Tanaka...\But he's calmer than I expected.\No, he's cast some kind of spell on himself.\I see... So he is concerned.\I'm already getting excited to see which seat I'll get. I can't wait.\I just hope I don't get the front row center seat.\Yeah, I know! response:	As expected, the front row is the least popular.
context: so I figured changing seats would be a significant event for Tanaka...\But he's calmer than I expected.\No, he's cast some kind of spell on himself.\I see... So he is concerned.\I'm already getting excited to see which seat I'll get. I can't wait.\I just hope I don't get the front row center seat.\Yeah, I know!\As expected, the front row is the least popular. response:	Is the back corner seat the most relaxing for you, Tanaka?
context: But he's calmer than I expected.\No, he's cast some kind of spell on himself.\I see... So he is concerned.\I'm already getting excited to see which seat I'll get. I can't wait.\I just hope I don't get the front row center seat.\Yeah, I know!\As expected, the front row is the least popular.\Is the back corner seat the most relaxing for you, Tanaka? response:	Tanaka, did you hear me?
context: No, he's cast some kind of spell on himself.\I see... So he is concerned.\I'm already getting excited to see which seat I'll get. I can't wait.\I just hope I don't get the front row center seat.\Yeah, I know!\As expected, the front row is the least popular.\Is the back corner seat the most relaxing for you, Tanaka?\Tanaka, did you hear me? response:	This morning's horoscope said, Your luck will go down if you talk during a meal,
context: I see... So he is concerned.\I'm already getting excited to see which seat I'll get. I can't wait.\I just hope I don't get the front row center seat.\Yeah, I know!\As expected, the front row is the least popular.\Is the back corner seat the most relaxing for you, Tanaka?\Tanaka, did you hear me?\This morning's horoscope said, Your luck will go down if you talk during a meal, response:	so can you be quiet, Ohta?
context: I'm already getting excited to see which seat I'll get. I can't wait.\I just hope I don't get the front row center seat.\Yeah, I know!\As expected, the front row is the least popular.\Is the back corner seat the most relaxing for you, Tanaka?\Tanaka, did you hear me?\This morning's horoscope said, Your luck will go down if you talk during a meal,\so can you be quiet, Ohta? response:	Oh... Sorry.
context: I just hope I don't get the front row center seat.\Yeah, I know!\As expected, the front row is the least popular.\Is the back corner seat the most relaxing for you, Tanaka?\Tanaka, did you hear me?\This morning's horoscope said, Your luck will go down if you talk during a meal,\so can you be quiet, Ohta?\Oh... Sorry. response:	This isn't just an event for him... His eyes look as though he's going to war!
context: Yeah, I know!\As expected, the front row is the least popular.\Is the back corner seat the most relaxing for you, Tanaka?\Tanaka, did you hear me?\This morning's horoscope said, Your luck will go down if you talk during a meal,\so can you be quiet, Ohta?\Oh... Sorry.\This isn't just an event for him... His eyes look as though he's going to war! response:	I've never had a front row seat, from middle school up through now.
context: As expected, the front row is the least popular.\Is the back corner seat the most relaxing for you, Tanaka?\Tanaka, did you hear me?\This morning's horoscope said, Your luck will go down if you talk during a meal,\so can you be quiet, Ohta?\Oh... Sorry.\This isn't just an event for him... His eyes look as though he's going to war!\I've never had a front row seat, from middle school up through now. response:	Yeah? You're lucky.
context: Is the back corner seat the most relaxing for you, Tanaka?\Tanaka, did you hear me?\This morning's horoscope said, Your luck will go down if you talk during a meal,\so can you be quiet, Ohta?\Oh... Sorry.\This isn't just an event for him... His eyes look as though he's going to war!\I've never had a front row seat, from middle school up through now.\Yeah? You're lucky. response:	Yep.
context: Tanaka, did you hear me?\This morning's horoscope said, Your luck will go down if you talk during a meal,\so can you be quiet, Ohta?\Oh... Sorry.\This isn't just an event for him... His eyes look as though he's going to war!\I've never had a front row seat, from middle school up through now.\Yeah? You're lucky.\Yep. response:	Nice flag, Katou.
context: This morning's horoscope said, Your luck will go down if you talk during a meal,\so can you be quiet, Ohta?\Oh... Sorry.\This isn't just an event for him... His eyes look as though he's going to war!\I've never had a front row seat, from middle school up through now.\Yeah? You're lucky.\Yep.\Nice flag, Katou. response:	Don't wish misfortune on others.
context: so can you be quiet, Ohta?\Oh... Sorry.\This isn't just an event for him... His eyes look as though he's going to war!\I've never had a front row seat, from middle school up through now.\Yeah? You're lucky.\Yep.\Nice flag, Katou.\Don't wish misfortune on others. response:	Everyone seems to be getting pretty complacent.
context: Oh... Sorry.\This isn't just an event for him... His eyes look as though he's going to war!\I've never had a front row seat, from middle school up through now.\Yeah? You're lucky.\Yep.\Nice flag, Katou.\Don't wish misfortune on others.\Everyone seems to be getting pretty complacent. response:	They won't stand a chance against my feelings toward this seating change.
context: This isn't just an event for him... His eyes look as though he's going to war!\I've never had a front row seat, from middle school up through now.\Yeah? You're lucky.\Yep.\Nice flag, Katou.\Don't wish misfortune on others.\Everyone seems to be getting pretty complacent.\They won't stand a chance against my feelings toward this seating change. response:	Long Homeroom
context: I've never had a front row seat, from middle school up through now.\Yeah? You're lucky.\Yep.\Nice flag, Katou.\Don't wish misfortune on others.\Everyone seems to be getting pretty complacent.\They won't stand a chance against my feelings toward this seating change.\Long Homeroom response:	Seating change
context: Yeah? You're lucky.\Yep.\Nice flag, Katou.\Don't wish misfortune on others.\Everyone seems to be getting pretty complacent.\They won't stand a chance against my feelings toward this seating change.\Long Homeroom\Seating change response:	Tanaka... Don't be so openly listless right after changing your seat.
context: Yep.\Nice flag, Katou.\Don't wish misfortune on others.\Everyone seems to be getting pretty complacent.\They won't stand a chance against my feelings toward this seating change.\Long Homeroom\Seating change\Tanaka... Don't be so openly listless right after changing your seat. response:	You're going to make me cry.
context: Nice flag, Katou.\Don't wish misfortune on others.\Everyone seems to be getting pretty complacent.\They won't stand a chance against my feelings toward this seating change.\Long Homeroom\Seating change\Tanaka... Don't be so openly listless right after changing your seat.\You're going to make me cry. response:	I think he's probably drooping, actually, not being listless.
context: Don't wish misfortune on others.\Everyone seems to be getting pretty complacent.\They won't stand a chance against my feelings toward this seating change.\Long Homeroom\Seating change\Tanaka... Don't be so openly listless right after changing your seat.\You're going to make me cry.\I think he's probably drooping, actually, not being listless. response:	Teacher, this is dreadful!
context: Everyone seems to be getting pretty complacent.\They won't stand a chance against my feelings toward this seating change.\Long Homeroom\Seating change\Tanaka... Don't be so openly listless right after changing your seat.\You're going to make me cry.\I think he's probably drooping, actually, not being listless.\Teacher, this is dreadful! response:	This seat is abnormally close to the blackboard!
context: They won't stand a chance against my feelings toward this seating change.\Long Homeroom\Seating change\Tanaka... Don't be so openly listless right after changing your seat.\You're going to make me cry.\I think he's probably drooping, actually, not being listless.\Teacher, this is dreadful!\This seat is abnormally close to the blackboard! response:	Calm down. That's not a blackboard, it's Ohta's back, Miyano.
