context: Episode 13: Memories to Come response:	Shisogapo, Lumpur International Airport
context: Episode 13: Memories to Come\Shisogapo, Lumpur International Airport response:	What's the purpose of your visit?
context: Episode 13: Memories to Come\Shisogapo, Lumpur International Airport\What's the purpose of your visit? response:	Well, um...
context: Episode 13: Memories to Come\Shisogapo, Lumpur International Airport\What's the purpose of your visit?\Well, um... response:	Sightseeing.
context: Episode 13: Memories to Come\Shisogapo, Lumpur International Airport\What's the purpose of your visit?\Well, um...\Sightseeing. response:	Hmph. Okay.
context: Episode 13: Memories to Come\Shisogapo, Lumpur International Airport\What's the purpose of your visit?\Well, um...\Sightseeing.\Hmph. Okay. response:	Have a nice trip.
context: Episode 13: Memories to Come\Shisogapo, Lumpur International Airport\What's the purpose of your visit?\Well, um...\Sightseeing.\Hmph. Okay.\Have a nice trip. response:	Please, the list.
context: Episode 13: Memories to Come\Shisogapo, Lumpur International Airport\What's the purpose of your visit?\Well, um...\Sightseeing.\Hmph. Okay.\Have a nice trip.\Please, the list. response:	First, I need to find someone with an ability to search.
context: Shisogapo, Lumpur International Airport\What's the purpose of your visit?\Well, um...\Sightseeing.\Hmph. Okay.\Have a nice trip.\Please, the list.\First, I need to find someone with an ability to search. response:	I guess I'll ask their leader.
context: What's the purpose of your visit?\Well, um...\Sightseeing.\Hmph. Okay.\Have a nice trip.\Please, the list.\First, I need to find someone with an ability to search.\I guess I'll ask their leader. response:	A city in the Philippines
context: Well, um...\Sightseeing.\Hmph. Okay.\Have a nice trip.\Please, the list.\First, I need to find someone with an ability to search.\I guess I'll ask their leader.\A city in the Philippines response:	It's got to be this one.
context: Sightseeing.\Hmph. Okay.\Have a nice trip.\Please, the list.\First, I need to find someone with an ability to search.\I guess I'll ask their leader.\A city in the Philippines\It's got to be this one. response:	Now... What kind of an ability will he have...
context: Hmph. Okay.\Have a nice trip.\Please, the list.\First, I need to find someone with an ability to search.\I guess I'll ask their leader.\A city in the Philippines\It's got to be this one.\Now... What kind of an ability will he have... response:	This guy?
context: Have a nice trip.\Please, the list.\First, I need to find someone with an ability to search.\I guess I'll ask their leader.\A city in the Philippines\It's got to be this one.\Now... What kind of an ability will he have...\This guy? response:	Let's see...
