context: Roar! response:	Roar!
context: Roar!\Roar! response:	Monster-san, your face.
context: Roar!\Roar!\Monster-san, your face. response:	Noel-chan!
context: Roar!\Roar!\Monster-san, your face.\Noel-chan! response:	Koharu. Oh, no!
context: Roar!\Roar!\Monster-san, your face.\Noel-chan!\Koharu. Oh, no! response:	Monster-san is sick!
context: Roar!\Roar!\Monster-san, your face.\Noel-chan!\Koharu. Oh, no!\Monster-san is sick! response:	Sick?
context: Roar!\Roar!\Monster-san, your face.\Noel-chan!\Koharu. Oh, no!\Monster-san is sick!\Sick? response:	Don't worry about it.
context: Roar!\Roar!\Monster-san, your face.\Noel-chan!\Koharu. Oh, no!\Monster-san is sick!\Sick?\Don't worry about it. response:	It was getting old.
context: Roar!\Monster-san, your face.\Noel-chan!\Koharu. Oh, no!\Monster-san is sick!\Sick?\Don't worry about it.\It was getting old. response:	I was thinking of switching it out with a new one.
context: Monster-san, your face.\Noel-chan!\Koharu. Oh, no!\Monster-san is sick!\Sick?\Don't worry about it.\It was getting old.\I was thinking of switching it out with a new one. response:	But
context: Noel-chan!\Koharu. Oh, no!\Monster-san is sick!\Sick?\Don't worry about it.\It was getting old.\I was thinking of switching it out with a new one.\But response:	Koharu!
context: Koharu. Oh, no!\Monster-san is sick!\Sick?\Don't worry about it.\It was getting old.\I was thinking of switching it out with a new one.\But\Koharu! response:	What are you doing?
context: Monster-san is sick!\Sick?\Don't worry about it.\It was getting old.\I was thinking of switching it out with a new one.\But\Koharu!\What are you doing? response:	Let's go!
context: Sick?\Don't worry about it.\It was getting old.\I was thinking of switching it out with a new one.\But\Koharu!\What are you doing?\Let's go! response:	Sorry for making you pick me up.
context: Don't worry about it.\It was getting old.\I was thinking of switching it out with a new one.\But\Koharu!\What are you doing?\Let's go!\Sorry for making you pick me up. response:	Morning.
context: It was getting old.\I was thinking of switching it out with a new one.\But\Koharu!\What are you doing?\Let's go!\Sorry for making you pick me up.\Morning. response:	Morning.
context: I was thinking of switching it out with a new one.\But\Koharu!\What are you doing?\Let's go!\Sorry for making you pick me up.\Morning.\Morning. response:	Noel!
context: But\Koharu!\What are you doing?\Let's go!\Sorry for making you pick me up.\Morning.\Morning.\Noel! response:	Oh, yeah. Do you want to come with us?
context: Koharu!\What are you doing?\Let's go!\Sorry for making you pick me up.\Morning.\Morning.\Noel!\Oh, yeah. Do you want to come with us? response:	Sorry.
context: What are you doing?\Let's go!\Sorry for making you pick me up.\Morning.\Morning.\Noel!\Oh, yeah. Do you want to come with us?\Sorry. response:	Come on, let's go.
context: Let's go!\Sorry for making you pick me up.\Morning.\Morning.\Noel!\Oh, yeah. Do you want to come with us?\Sorry.\Come on, let's go. response:	I invited her, too.
context: Sorry for making you pick me up.\Morning.\Morning.\Noel!\Oh, yeah. Do you want to come with us?\Sorry.\Come on, let's go.\I invited her, too. response:	I keep getting rejected.
context: Morning.\Morning.\Noel!\Oh, yeah. Do you want to come with us?\Sorry.\Come on, let's go.\I invited her, too.\I keep getting rejected. response:	I'll be with Monster-san.
context: Morning.\Noel!\Oh, yeah. Do you want to come with us?\Sorry.\Come on, let's go.\I invited her, too.\I keep getting rejected.\I'll be with Monster-san. response:	Monster-san?
context: Noel!\Oh, yeah. Do you want to come with us?\Sorry.\Come on, let's go.\I invited her, too.\I keep getting rejected.\I'll be with Monster-san.\Monster-san? response:	Monster-san.
context: Oh, yeah. Do you want to come with us?\Sorry.\Come on, let's go.\I invited her, too.\I keep getting rejected.\I'll be with Monster-san.\Monster-san?\Monster-san. response:	What I Lost
context: Sorry.\Come on, let's go.\I invited her, too.\I keep getting rejected.\I'll be with Monster-san.\Monster-san?\Monster-san.\What I Lost response:	Thank you.
context: Come on, let's go.\I invited her, too.\I keep getting rejected.\I'll be with Monster-san.\Monster-san?\Monster-san.\What I Lost\Thank you. response:	This really helps.
context: I invited her, too.\I keep getting rejected.\I'll be with Monster-san.\Monster-san?\Monster-san.\What I Lost\Thank you.\This really helps. response:	Don't worry about it, it was on my way to work.
context: I keep getting rejected.\I'll be with Monster-san.\Monster-san?\Monster-san.\What I Lost\Thank you.\This really helps.\Don't worry about it, it was on my way to work. response:	Stop showing off.
context: I'll be with Monster-san.\Monster-san?\Monster-san.\What I Lost\Thank you.\This really helps.\Don't worry about it, it was on my way to work.\Stop showing off. response:	All right. We're going.
context: Monster-san?\Monster-san.\What I Lost\Thank you.\This really helps.\Don't worry about it, it was on my way to work.\Stop showing off.\All right. We're going. response:	Yeah.
context: Monster-san.\What I Lost\Thank you.\This really helps.\Don't worry about it, it was on my way to work.\Stop showing off.\All right. We're going.\Yeah. response:	Hokubi Station
context: What I Lost\Thank you.\This really helps.\Don't worry about it, it was on my way to work.\Stop showing off.\All right. We're going.\Yeah.\Hokubi Station response:	Hurry, hurry!
context: Thank you.\This really helps.\Don't worry about it, it was on my way to work.\Stop showing off.\All right. We're going.\Yeah.\Hokubi Station\Hurry, hurry! response:	Aren't you going to sit?
context: This really helps.\Don't worry about it, it was on my way to work.\Stop showing off.\All right. We're going.\Yeah.\Hokubi Station\Hurry, hurry!\Aren't you going to sit? response:	It'd be a waste.
context: Don't worry about it, it was on my way to work.\Stop showing off.\All right. We're going.\Yeah.\Hokubi Station\Hurry, hurry!\Aren't you going to sit?\It'd be a waste. response:	I've never been to this area.
context: Stop showing off.\All right. We're going.\Yeah.\Hokubi Station\Hurry, hurry!\Aren't you going to sit?\It'd be a waste.\I've never been to this area. response:	I have to savor it.
context: All right. We're going.\Yeah.\Hokubi Station\Hurry, hurry!\Aren't you going to sit?\It'd be a waste.\I've never been to this area.\I have to savor it. response:	We won't have time in our third year to just relax.
context: Yeah.\Hokubi Station\Hurry, hurry!\Aren't you going to sit?\It'd be a waste.\I've never been to this area.\I have to savor it.\We won't have time in our third year to just relax. response:	And we don't know what to present at Hokubi Festival.
context: Hokubi Station\Hurry, hurry!\Aren't you going to sit?\It'd be a waste.\I've never been to this area.\I have to savor it.\We won't have time in our third year to just relax.\And we don't know what to present at Hokubi Festival. response:	Don't you have any ideas, Nonoka?
context: Hurry, hurry!\Aren't you going to sit?\It'd be a waste.\I've never been to this area.\I have to savor it.\We won't have time in our third year to just relax.\And we don't know what to present at Hokubi Festival.\Don't you have any ideas, Nonoka? response:	Me?
context: Aren't you going to sit?\It'd be a waste.\I've never been to this area.\I have to savor it.\We won't have time in our third year to just relax.\And we don't know what to present at Hokubi Festival.\Don't you have any ideas, Nonoka?\Me? response:	Cows!
context: It'd be a waste.\I've never been to this area.\I have to savor it.\We won't have time in our third year to just relax.\And we don't know what to present at Hokubi Festival.\Don't you have any ideas, Nonoka?\Me?\Cows! response:	She never grows up.
context: I've never been to this area.\I have to savor it.\We won't have time in our third year to just relax.\And we don't know what to present at Hokubi Festival.\Don't you have any ideas, Nonoka?\Me?\Cows!\She never grows up. response:	I know.
context: I have to savor it.\We won't have time in our third year to just relax.\And we don't know what to present at Hokubi Festival.\Don't you have any ideas, Nonoka?\Me?\Cows!\She never grows up.\I know. response:	But you haven't really changed either, Koharu.
context: We won't have time in our third year to just relax.\And we don't know what to present at Hokubi Festival.\Don't you have any ideas, Nonoka?\Me?\Cows!\She never grows up.\I know.\But you haven't really changed either, Koharu. response:	Me?
context: And we don't know what to present at Hokubi Festival.\Don't you have any ideas, Nonoka?\Me?\Cows!\She never grows up.\I know.\But you haven't really changed either, Koharu.\Me? response:	Yeah.
context: Don't you have any ideas, Nonoka?\Me?\Cows!\She never grows up.\I know.\But you haven't really changed either, Koharu.\Me?\Yeah. response:	You're always pulling Yuzuki forward.
context: Me?\Cows!\She never grows up.\I know.\But you haven't really changed either, Koharu.\Me?\Yeah.\You're always pulling Yuzuki forward. response:	You were the mature one.
context: Cows!\She never grows up.\I know.\But you haven't really changed either, Koharu.\Me?\Yeah.\You're always pulling Yuzuki forward.\You were the mature one. response:	That's not true.
context: She never grows up.\I know.\But you haven't really changed either, Koharu.\Me?\Yeah.\You're always pulling Yuzuki forward.\You were the mature one.\That's not true. response:	I'm just...
context: I know.\But you haven't really changed either, Koharu.\Me?\Yeah.\You're always pulling Yuzuki forward.\You were the mature one.\That's not true.\I'm just... response:	But if that's how you saw me...
context: But you haven't really changed either, Koharu.\Me?\Yeah.\You're always pulling Yuzuki forward.\You were the mature one.\That's not true.\I'm just...\But if that's how you saw me... response:	It's your glasses.
context: Me?\Yeah.\You're always pulling Yuzuki forward.\You were the mature one.\That's not true.\I'm just...\But if that's how you saw me...\It's your glasses. response:	I'd look grown-up with glasses, too.
context: Yeah.\You're always pulling Yuzuki forward.\You were the mature one.\That's not true.\I'm just...\But if that's how you saw me...\It's your glasses.\I'd look grown-up with glasses, too. response:	Are you done looking at the scenery?
context: You're always pulling Yuzuki forward.\You were the mature one.\That's not true.\I'm just...\But if that's how you saw me...\It's your glasses.\I'd look grown-up with glasses, too.\Are you done looking at the scenery? response:	I want to enjoy it more. I have to savor it.
context: You were the mature one.\That's not true.\I'm just...\But if that's how you saw me...\It's your glasses.\I'd look grown-up with glasses, too.\Are you done looking at the scenery?\I want to enjoy it more. I have to savor it. response:	Really, Noel and Shione should have come.
context: That's not true.\I'm just...\But if that's how you saw me...\It's your glasses.\I'd look grown-up with glasses, too.\Are you done looking at the scenery?\I want to enjoy it more. I have to savor it.\Really, Noel and Shione should have come. response:	Togawa-san?
context: I'm just...\But if that's how you saw me...\It's your glasses.\I'd look grown-up with glasses, too.\Are you done looking at the scenery?\I want to enjoy it more. I have to savor it.\Really, Noel and Shione should have come.\Togawa-san? response:	Didn't I tell you?
context: But if that's how you saw me...\It's your glasses.\I'd look grown-up with glasses, too.\Are you done looking at the scenery?\I want to enjoy it more. I have to savor it.\Really, Noel and Shione should have come.\Togawa-san?\Didn't I tell you? response:	We invited Shione.
context: It's your glasses.\I'd look grown-up with glasses, too.\Are you done looking at the scenery?\I want to enjoy it more. I have to savor it.\Really, Noel and Shione should have come.\Togawa-san?\Didn't I tell you?\We invited Shione. response:	But she's like,
context: I'd look grown-up with glasses, too.\Are you done looking at the scenery?\I want to enjoy it more. I have to savor it.\Really, Noel and Shione should have come.\Togawa-san?\Didn't I tell you?\We invited Shione.\But she's like, response:	I have a prior engagement that day.
context: Are you done looking at the scenery?\I want to enjoy it more. I have to savor it.\Really, Noel and Shione should have come.\Togawa-san?\Didn't I tell you?\We invited Shione.\But she's like,\I have a prior engagement that day. response:	From years ago.
context: I want to enjoy it more. I have to savor it.\Really, Noel and Shione should have come.\Togawa-san?\Didn't I tell you?\We invited Shione.\But she's like,\I have a prior engagement that day.\From years ago. response:	Oh.
context: Really, Noel and Shione should have come.\Togawa-san?\Didn't I tell you?\We invited Shione.\But she's like,\I have a prior engagement that day.\From years ago.\Oh. response:	She's just making it up.
context: Togawa-san?\Didn't I tell you?\We invited Shione.\But she's like,\I have a prior engagement that day.\From years ago.\Oh.\She's just making it up. response:	She's really not honest.
context: Didn't I tell you?\We invited Shione.\But she's like,\I have a prior engagement that day.\From years ago.\Oh.\She's just making it up.\She's really not honest. response:	Pain, pain, go away!
context: We invited Shione.\But she's like,\I have a prior engagement that day.\From years ago.\Oh.\She's just making it up.\She's really not honest.\Pain, pain, go away! response:	Ow.
context: But she's like,\I have a prior engagement that day.\From years ago.\Oh.\She's just making it up.\She's really not honest.\Pain, pain, go away!\Ow. response:	Monster-san!
context: I have a prior engagement that day.\From years ago.\Oh.\She's just making it up.\She's really not honest.\Pain, pain, go away!\Ow.\Monster-san! response:	I'm sorry!
context: From years ago.\Oh.\She's just making it up.\She's really not honest.\Pain, pain, go away!\Ow.\Monster-san!\I'm sorry! response:	It's my fault.
context: Oh.\She's just making it up.\She's really not honest.\Pain, pain, go away!\Ow.\Monster-san!\I'm sorry!\It's my fault. response:	Monster-san!
context: She's just making it up.\She's really not honest.\Pain, pain, go away!\Ow.\Monster-san!\I'm sorry!\It's my fault.\Monster-san! response:	It hurts, it hurts!
context: She's really not honest.\Pain, pain, go away!\Ow.\Monster-san!\I'm sorry!\It's my fault.\Monster-san!\It hurts, it hurts! response:	My stomach, I'm going to die!
context: Pain, pain, go away!\Ow.\Monster-san!\I'm sorry!\It's my fault.\Monster-san!\It hurts, it hurts!\My stomach, I'm going to die! response:	I'm sorry.
context: Ow.\Monster-san!\I'm sorry!\It's my fault.\Monster-san!\It hurts, it hurts!\My stomach, I'm going to die!\I'm sorry. response:	Don't die, Monster-san!
context: Monster-san!\I'm sorry!\It's my fault.\Monster-san!\It hurts, it hurts!\My stomach, I'm going to die!\I'm sorry.\Don't die, Monster-san! response:	Please, don't die!
context: I'm sorry!\It's my fault.\Monster-san!\It hurts, it hurts!\My stomach, I'm going to die!\I'm sorry.\Don't die, Monster-san!\Please, don't die! response:	Calm down.
context: It's my fault.\Monster-san!\It hurts, it hurts!\My stomach, I'm going to die!\I'm sorry.\Don't die, Monster-san!\Please, don't die!\Calm down. response:	Sorry, that was me.
context: Monster-san!\It hurts, it hurts!\My stomach, I'm going to die!\I'm sorry.\Don't die, Monster-san!\Please, don't die!\Calm down.\Sorry, that was me. response:	It's my fault that Monster-san...
context: It hurts, it hurts!\My stomach, I'm going to die!\I'm sorry.\Don't die, Monster-san!\Please, don't die!\Calm down.\Sorry, that was me.\It's my fault that Monster-san... response:	No, that's not it.
context: My stomach, I'm going to die!\I'm sorry.\Don't die, Monster-san!\Please, don't die!\Calm down.\Sorry, that was me.\It's my fault that Monster-san...\No, that's not it. response:	Right?
context: I'm sorry.\Don't die, Monster-san!\Please, don't die!\Calm down.\Sorry, that was me.\It's my fault that Monster-san...\No, that's not it.\Right? response:	It was a joke.
context: Don't die, Monster-san!\Please, don't die!\Calm down.\Sorry, that was me.\It's my fault that Monster-san...\No, that's not it.\Right?\It was a joke. response:	A joke.
context: Please, don't die!\Calm down.\Sorry, that was me.\It's my fault that Monster-san...\No, that's not it.\Right?\It was a joke.\A joke. response:	I was just messing with you.
context: Calm down.\Sorry, that was me.\It's my fault that Monster-san...\No, that's not it.\Right?\It was a joke.\A joke.\I was just messing with you. response:	All right, I'll help you treat him.
context: Sorry, that was me.\It's my fault that Monster-san...\No, that's not it.\Right?\It was a joke.\A joke.\I was just messing with you.\All right, I'll help you treat him. response:	Really?
